Detailed Statistics Departures  
Origin Airport: Richmond, VA: Richmond International (RIC)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","1218","327NV","SFB","18:26","18:26","119","122","0","18:47","21","0","0","0","0","0"
"G4","12/02/2021","1612","293NV","PGD","15:00","15:00","123","125","0","15:15","15","0","0","0","0","0"
"G4","12/02/2022","0352","191NV","BNA","13:17","13:16","114","96","-1","13:26","10","0","0","0","0","0"
"G4","12/03/2021","0623","323NV","BNA","22:00","21:57","114","102","-3","22:09","12","0","0","0","0","0"
"G4","12/03/2021","0667","323NV","PIE","16:19","16:22","133","139","3","16:44","22","0","0","0","0","0"
"G4","12/03/2022","3003","280NV","SRQ","10:51","11:07","136","129","16","11:20","13","0","0","0","0","0"
"G4","12/03/2023","0327","249NV","BNA","21:05","20:58","121","120","-7","21:12","14","0","0","0","0","0"
"G4","12/03/2023","2481","197NV","PGD","19:25","19:05","146","0","-20","19:16","11","0","0","0","0","0"
"G4","12/03/2023","2847","241NV","SFB","15:36","16:05","125","128","29","16:18","13","29","0","3","0","0"
"G4","12/04/2021","2240","294NV","SFB","20:22","20:11","119","122","-11","20:24","13","0","0","0","0","0"
"G4","12/04/2022","1218","337NV","SFB","17:56","17:54","119","109","-2","18:07","13","0","0","0","0","0"
"G4","12/05/2021","1612","232NV","PGD","15:00","14:42","123","137","-18","14:57","15","0","0","0","0","0"
"G4","12/05/2022","0352","191NV","BNA","13:17","13:07","114","114","-10","13:21","14","0","0","0","0","0"
"G4","12/06/2021","0623","323NV","BNA","22:00","21:32","114","115","-28","21:46","14","0","0","0","0","0"
"G4","12/06/2021","0667","323NV","PIE","16:19","16:11","133","129","-8","16:21","10","0","0","0","0","0"
"G4","12/07/2023","0876","297NV","PGD","11:11","11:03","144","131","-8","11:16","13","0","0","0","0","0"
"G4","12/07/2023","1949","249NV","BNA","21:54","21:47","122","93","-7","21:56","9","0","0","0","0","0"
"G4","12/07/2023","2833","240NV","SFB","15:45","17:39","124","118","114","17:51","12","108","0","0","0","0"
"G4","12/08/2022","2851","337NV","SFB","18:29","18:32","119","116","3","18:45","13","0","0","0","0","0"
"G4","12/09/2021","1612","279NV","PGD","15:00","15:00","123","135","0","15:13","13","0","0","0","0","0"
"G4","12/09/2022","0352","322NV","BNA","13:17","15:50","114","123","153","16:07","17","0","53","9","0","100"
"G4","12/10/2021","0623","322NV","BNA","22:00","21:49","114","108","-11","22:00","11","0","0","0","0","0"
"G4","12/10/2021","0667","322NV","PIE","16:19","16:12","133","126","-7","16:24","12","0","0","0","0","0"
"G4","12/10/2022","3009","292NV","SRQ","10:52","10:53","137","147","1","11:07","14","0","0","0","0","0"
"G4","12/10/2023","1249","328NV","SFB","15:45","17:22","124","125","97","17:36","14","44","0","1","0","53"
"G4","12/10/2023","1949","254NV","BNA","21:54","22:25","122","112","31","22:38","13","0","2","0","0","19"
"G4","12/10/2023","2558","208NV","PGD","11:11","19:18","144","154","487","19:29","11","487","0","10","0","0"
"G4","12/11/2021","2240","287NV","SFB","20:22","20:05","119","114","-17","20:21","16","0","0","0","0","0"
"G4","12/11/2022","2851","229NV","SFB","18:29","18:38","119","134","9","19:10","32","0","0","15","0","9"
"G4","12/12/2021","1612","297NV","PGD","15:00","14:54","123","132","-6","15:05","11","0","0","0","0","0"
"G4","12/12/2022","0352","278NV","BNA","13:17","13:29","114","120","12","13:59","30","12","0","6","0","0"
"G4","12/13/2021","0623","322NV","BNA","22:00","21:41","114","100","-19","21:51","10","0","0","0","0","0"
"G4","12/13/2021","0667","322NV","PIE","16:19","16:04","133","125","-15","16:14","10","0","0","0","0","0"
"G4","12/14/2022","3001","277NV","SRQ","13:51","14:31","137","138","40","14:46","15","23","0","1","0","17"
"G4","12/14/2023","0876","297NV","PGD","11:11","10:56","144","128","-15","11:06","10","0","0","0","0","0"
"G4","12/14/2023","1949","280NV","BNA","21:54","22:27","122","100","33","22:42","15","0","0","0","0","0"
"G4","12/14/2023","2833","275NV","SFB","16:00","16:17","124","114","17","16:30","13","0","0","0","0","0"
"G4","12/15/2022","1319","301NV","SFB","09:36","09:39","119","140","3","10:05","26","0","0","21","0","3"
"G4","12/16/2021","1693","283NV","PGD","14:56","15:25","121","138","29","15:37","12","12","0","17","0","17"
"G4","12/16/2021","2268","310NV","SFB","08:39","08:45","119","109","6","08:55","10","0","0","0","0","0"
"G4","12/17/2021","0639","241NV","BNA","17:21","17:34","113","116","13","17:44","10","0","0","3","0","13"
"G4","12/17/2021","0652","241NV","PIE","11:43","11:43","132","131","0","11:59","16","0","0","0","0","0"
"G4","12/17/2022","0309","318NV","BNA","15:47","15:41","114","133","-6","15:56","15","0","0","0","0","0"
"G4","12/17/2022","1016","290NV","PIE","21:31","21:23","133","153","-8","21:39","16","0","0","0","0","0"
"G4","12/17/2022","1361","297NV","SRQ","08:52","08:52","137","153","0","09:11","19","0","0","16","0","0"
"G4","12/17/2023","1249","275NV","SFB","16:00","16:13","124","119","13","16:26","13","0","0","0","0","0"
"G4","12/17/2023","1949","249NV","BNA","21:54","22:11","122","102","17","22:26","15","0","0","0","0","0"
"G4","12/17/2023","2558","292NV","PGD","11:11","11:04","144","138","-7","11:14","10","0","0","0","0","0"
"G4","12/18/2021","2554","262NV","SRQ","15:25","16:41","132","128","76","16:50","9","0","0","72","0","0"
"G4","12/18/2022","2845","215NV","SFB","14:49","15:52","119","116","63","16:03","11","60","0","0","0","0"
"G4","12/19/2021","1594","293NV","PGD","21:38","23:07","121","156","89","23:50","43","0","0","35","0","89"
"G4","12/19/2021","2268","294NV","SFB","08:49","09:13","119","112","24","09:24","11","17","0","0","0","0"
"G4","12/20/2021","0602","322NV","PIE","16:13","17:04","132","141","51","17:21","17","0","0","9","0","51"
"G4","12/20/2021","0639","322NV","BNA","21:51","23:00","113","108","69","23:12","12","5","0","0","0","59"
"G4","12/20/2022","0315","314NV","BNA","22:46","22:27","114","146","-19","22:39","12","0","0","0","0","0"
"G4","12/20/2022","2628","289NV","PIE","21:31","21:24","133","134","-7","21:37","13","0","0","0","0","0"
"G4","12/20/2023","2972","331NV","SFB","12:47","13:10","124","111","23","13:24","14","0","0","0","0","0"
"G4","12/21/2021","2600","219NV","SRQ","20:07","20:07","132","142","0","20:26","19","0","0","0","0","0"
"G4","12/21/2022","0352","314NV","BNA","11:44","11:48","114","120","4","12:10","22","0","0","0","0","0"
"G4","12/21/2022","2831","244NV","SFB","14:50","14:50","119","117","0","15:06","16","0","0","0","0","0"
"G4","12/21/2022","3001","292NV","SRQ","18:34","18:34","137","141","0","18:55","21","0","0","0","0","0"
"G4","12/21/2023","0871","197NV","PGD","09:31","10:10","144","130","39","10:22","12","10","0","15","0","0"
"G4","12/21/2023","1983","249NV","BNA","15:55","15:57","122","104","2","16:15","18","0","0","0","0","0"
"G4","12/22/2021","1817","254NV","PGD","11:21","11:21","121","139","0","11:33","12","0","0","18","0","0"
"G4","12/22/2021","1880","254NV","PIE","16:54","17:01","132","126","7","17:15","14","0","0","0","0","0"
"G4","12/22/2022","0944","216NV","PGD","21:20","21:42","138","148","22","21:57","15","14","0","10","0","8"
"G4","12/22/2022","1023","289NV","PIE","15:45","17:43","133","128","118","17:55","12","19","0","0","0","94"
"G4","12/22/2023","2650","216NV","PIE","16:12","16:39","138","125","27","16:49","10","0","0","0","0","0"
"G4","12/23/2021","0394","230NV","SFB","18:01","18:01","119","111","0","18:22","21","0","0","0","0","0"
"G4","12/23/2021","0639","323NV","BNA","22:32","22:19","113","144","-13","22:30","11","18","0","0","0","0"
"G4","12/23/2021","2597","243NV","SRQ","19:57","20:38","132","112","41","20:47","9","0","0","0","0","21"
"G4","12/23/2022","0321","","BNA","10:44","00:00","114","0","0","00:00","0","0","0","0","0","0"
"G4","12/23/2023","0360","254NV","BNA","15:49","15:49","122","96","0","15:57","8","0","0","0","0","0"
"G4","12/23/2023","2891","328NV","SFB","10:52","10:57","124","103","5","11:08","11","0","0","0","0","0"
