Detailed Statistics Departures  
Origin Airport: Richmond, VA: Richmond International (RIC)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2021","3468","N732YX","EWR","12:00","12:00","90","80","0","12:15","15","0","0","0","0","0"
"YX","12/01/2021","4534","N423YX","JFK","09:36","09:27","84","76","-9","09:38","11","0","0","0","0","0"
"YX","12/01/2021","4536","N120HQ","JFK","13:35","13:27","84","86","-8","13:48","21","0","0","0","0","0"
"YX","12/01/2021","4603","N129HQ","LGA","18:04","17:54","78","73","-10","18:11","17","0","0","0","0","0"
"YX","12/01/2021","4671","N423YX","JFK","20:22","20:12","84","88","-10","20:32","20","0","0","0","0","0"
"YX","12/01/2021","4712","N453YX","JFK","11:54","11:42","85","82","-12","11:56","14","0","0","0","0","0"
"YX","12/01/2021","4763","N112HQ","LGA","10:39","10:35","81","72","-4","10:48","13","0","0","0","0","0"
"YX","12/01/2021","4787","N871RW","LGA","05:27","05:26","82","84","-1","05:48","22","0","0","0","0","0"
"YX","12/01/2021","5725","N239JQ","JFK","17:14","17:07","91","93","-7","17:32","25","0","0","0","0","0"
"YX","12/01/2022","3483","N743YX","EWR","10:05","10:00","85","82","-5","10:18","18","0","0","0","0","0"
"YX","12/01/2022","3535","N642RW","EWR","19:30","19:25","89","116","-5","20:11","46","0","0","22","0","0"
"YX","12/01/2022","3565","N858RW","ORD","17:22","17:12","148","133","-10","17:34","22","0","0","0","0","0"
"YX","12/01/2022","4451","N422YX","LGA","06:00","05:48","79","67","-12","06:01","13","0","0","0","0","0"
"YX","12/01/2022","4537","N872RW","LGA","18:38","18:28","81","71","-10","18:39","11","0","0","0","0","0"
"YX","12/01/2022","4620","N123HQ","LGA","10:23","10:09","81","71","-14","10:22","13","0","0","0","0","0"
