Detailed Statistics Departures  
Origin Airport: Richmond, VA: Richmond International (RIC)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","1643","N896UA","DEN","08:00","08:05","253","237","5","08:21","16","0","0","0","0","0"
"UA","12/01/2021","1859","N876UA","DEN","15:55","15:54","248","231","-1","16:04","10","0","0","0","0","0"
"UA","12/01/2021","2234","N470UA","ORD","06:45","07:00","132","121","15","07:16","16","0","0","0","0","0"
"UA","12/01/2022","1183","N826UA","DEN","15:54","16:02","250","241","8","16:17","15","0","0","0","0","0"
"UA","12/01/2022","1643","N855UA","DEN","08:01","08:03","252","240","2","08:16","13","0","0","0","0","0"
"UA","12/01/2022","1732","N808UA","IAH","08:30","08:25","201","208","-5","08:49","24","0","0","0","0","0"
"UA","12/01/2022","2234","N37510","ORD","06:40","06:39","141","137","-1","06:52","13","0","0","0","0","0"
"UA","12/01/2023","2010","N871UA","IAH","06:15","06:05","201","199","-10","06:20","15","0","0","0","0","0"
"UA","12/01/2023","2170","N468UA","DEN","07:00","07:06","250","242","6","07:19","13","0","0","0","0","0"
"UA","12/01/2023","2360","N426UA","ORD","06:30","06:22","138","142","-8","06:34","12","0","0","0","0","0"
"UA","12/02/2021","1643","N462UA","DEN","08:00","08:30","253","238","30","08:43","13","15","0","0","0","0"
"UA","12/02/2021","1859","N820UA","DEN","15:55","16:36","248","230","41","16:46","10","19","0","0","0","4"
"UA","12/02/2021","2234","N416UA","ORD","06:45","07:31","132","136","46","07:50","19","46","0","4","0","0"
