Detailed Statistics Departures  
Origin Airport: Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field (BTR)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3564","N232NN","DFW","08:00","07:58","102","86","-2","08:08","10","0","0","0","0","0"
"MQ","12/01/2021","4112","N667GB","DFW","19:28","19:19","93","73","-9","19:26","7","0","0","0","0","0"
"MQ","12/01/2021","4165","N688AE","DFW","14:25","14:15","90","91","-10","14:34","19","0","0","0","0","0"
"MQ","12/01/2022","3512","N230NN","DFW","12:20","12:15","96","93","-5","12:27","12","0","0","0","0","0"
"MQ","12/01/2022","3622","N252NN","DFW","06:02","05:57","100","88","-5","06:06","9","0","0","0","0","0"
"MQ","12/01/2023","3342","N310JZ","DFW","07:42","07:41","101","121","-1","08:28","47","0","0","19","0","0"
"MQ","12/01/2023","3343","N211NN","DFW","05:52","05:52","101","92","0","06:04","12","0","0","0","0","0"
"MQ","12/01/2023","3427","N304KM","DFW","14:42","14:39","100","89","-3","14:52","13","0","0","0","0","0"
"MQ","12/01/2023","3428","N216NN","DFW","10:33","10:38","100","81","5","10:48","10","0","0","0","0","0"
"MQ","12/01/2023","3729","N249NN","DFW","19:57","19:45","100","83","-12","19:52","7","0","0","0","0","0"
"MQ","12/01/2023","4007","N215NN","DCA","06:30","06:26","152","185","-4","06:39","13","0","0","29","0","0"
"MQ","12/02/2021","3564","N216NN","DFW","08:00","08:06","102","92","6","08:15","9","0","0","0","0","0"
"MQ","12/02/2021","4112","N676AE","DFW","19:28","19:31","93","120","3","19:47","16","1","0","27","0","2"
"MQ","12/02/2021","4165","N616AE","DFW","14:24","14:43","90","85","19","14:55","12","0","0","0","0","0"
"MQ","12/02/2022","3512","N264NN","DFW","12:20","12:19","96","90","-1","12:28","9","0","0","0","0","0"
"MQ","12/02/2022","3622","N224NN","DFW","06:02","05:59","100","96","-3","06:11","12","0","0","0","0","0"
