Detailed Statistics Departures  
Origin Airport: Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field (BTR)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5131","N578NN","CLT","10:55","10:49","125","122","-6","10:58","9","0","0","0","0","0"
"OH","12/01/2021","5132","N515AE","CLT","18:23","18:16","126","125","-7","18:27","11","0","0","0","0","0"
"OH","12/01/2021","5612","N605NN","CLT","06:37","06:27","132","127","-10","06:38","11","0","0","0","0","0"
"OH","12/01/2022","5131","N607NN","CLT","12:48","12:43","121","119","-5","13:04","21","0","0","0","0","0"
"OH","12/01/2022","5612","N610NN","CLT","05:25","05:22","121","116","-3","05:40","18","0","0","0","0","0"
"OH","12/01/2023","5131","N575NN","CLT","12:56","13:05","121","115","9","13:19","14","0","0","0","0","0"
"OH","12/01/2023","5612","N608NN","CLT","07:00","06:53","124","120","-7","07:07","14","0","0","0","0","0"
"OH","12/02/2021","5131","N555NN","CLT","10:55","11:17","125","130","22","11:31","14","5","0","5","0","17"
"OH","12/02/2021","5132","N505AE","CLT","18:23","18:15","126","125","-8","18:27","12","0","0","0","0","0"
"OH","12/02/2021","5612","N591NN","CLT","06:37","06:28","132","154","-9","06:38","10","0","0","0","0","0"
"OH","12/02/2022","5131","N584NN","CLT","12:48","12:37","121","120","-11","12:50","13","0","0","0","0","0"
"OH","12/02/2022","5612","N597NN","CLT","05:25","05:25","121","111","0","05:36","11","0","0","0","0","0"
"OH","12/02/2023","5131","N615NN","CLT","12:56","14:15","121","118","79","14:29","14","0","0","0","0","76"
"OH","12/02/2023","5612","N612NN","CLT","07:00","06:56","124","111","-4","07:08","12","0","0","0","0","0"
"OH","12/03/2021","5131","N607NN","CLT","10:55","11:19","125","113","24","11:33","14","0","0","0","0","0"
"OH","12/03/2021","5132","N546FF","CLT","18:23","18:17","126","140","-6","18:38","21","0","0","0","0","0"
"OH","12/03/2021","5612","N583NN","CLT","06:37","06:33","132","115","-4","06:46","13","0","0","0","0","0"
"OH","12/03/2022","5131","N609NN","CLT","12:48","12:57","121","110","9","13:09","12","0","0","0","0","0"
"OH","12/03/2022","5612","N554NN","CLT","05:25","05:18","121","122","-7","05:33","15","0","0","0","0","0"
"OH","12/03/2023","5131","N565NN","CLT","12:56","12:48","121","101","-8","12:58","10","0","0","0","0","0"
"OH","12/03/2023","5612","N557NN","CLT","07:00","06:49","124","120","-11","07:08","19","0","0","0","0","0"
"OH","12/04/2021","5612","N597NN","CLT","06:37","06:25","132","112","-12","06:42","17","0","0","0","0","0"
"OH","12/04/2022","5131","N588NN","CLT","12:48","13:03","121","105","15","13:14","11","0","0","0","0","0"
"OH","12/04/2022","5612","N583NN","CLT","05:25","05:24","121","109","-1","05:33","9","0","0","0","0","0"
"OH","12/04/2023","5131","N595NN","CLT","12:56","12:56","121","128","0","13:24","28","0","0","0","0","0"
"OH","12/04/2023","5612","N604NN","CLT","07:00","06:48","124","110","-12","07:02","14","0","0","0","0","0"
"OH","12/05/2021","5131","N556NN","CLT","10:55","11:51","125","103","56","12:02","11","15","0","0","0","19"
"OH","12/05/2021","5132","N571NN","CLT","18:23","18:20","126","123","-3","18:33","13","0","0","0","0","0"
