Detailed Statistics Departures  
Origin Airport: Bellingham, WA: Bellingham International (BLI)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2021","0511","308NV","LAS","09:00","08:51","150","164","-9","09:14","23","0","0","0","0","0"
"G4","12/01/2022","0271","338NV","LAS","08:00","07:54","149","154","-6","08:03","9","0","0","0","0","0"
"G4","12/01/2022","0273","315NV","AZA","14:36","14:34","173","176","-2","14:44","10","0","0","0","0","0"
"G4","12/01/2022","0296","315NV","PSP","07:00","06:52","162","179","-8","07:09","17","0","0","0","0","0"
"G4","12/01/2023","0271","322NV","LAS","07:30","07:33","154","137","3","07:45","12","0","0","0","0","0"
"G4","12/01/2023","0287","333NV","OAK","08:30","08:28","129","116","-2","08:39","11","0","0","0","0","0"
"G4","12/01/2023","0291","322NV","LAS","15:06","14:56","154","143","-10","15:09","13","0","0","0","0","0"
"G4","12/01/2023","0302","333NV","PSP","14:36","14:30","168","158","-6","14:47","17","0","0","0","0","0"
"G4","12/02/2021","0511","324NV","LAS","08:00","07:55","150","151","-5","08:08","13","0","0","0","0","0"
"G4","12/02/2021","0539","308NV","PSP","08:30","08:49","163","168","19","09:00","11","19","0","5","0","0"
"G4","12/02/2021","1231","256NV","AZA","19:47","19:54","174","176","7","20:06","12","0","0","0","0","0"
"G4","12/02/2022","0271","315NV","LAS","09:00","08:52","149","153","-8","09:09","17","0","0","0","0","0"
"G4","12/02/2022","0277","338NV","OAK","15:36","15:29","125","131","-7","15:39","10","0","0","0","0","0"
"G4","12/02/2022","0287","338NV","LAX","08:00","07:55","162","168","-5","08:10","15","0","0","0","0","0"
"G4","12/03/2021","0511","308NV","LAS","08:00","07:59","150","154","-1","08:13","14","0","0","0","0","0"
"G4","12/03/2021","0519","335NV","LAX","14:46","14:40","161","158","-6","14:52","12","0","0","0","0","0"
"G4","12/03/2021","0523","335NV","OAK","08:30","08:22","127","158","-8","09:07","45","0","0","23","0","0"
"G4","12/03/2022","0271","338NV","LAS","11:00","11:10","149","158","10","11:24","14","0","10","9","0","0"
"G4","12/03/2023","0272","322NV","AZA","07:00","06:50","178","182","-10","07:03","13","0","0","0","0","0"
"G4","12/03/2023","0291","333NV","LAS","08:00","07:48","154","143","-12","08:00","12","0","0","0","0","0"
"G4","12/03/2023","0297","322NV","LAS","14:55","14:49","154","146","-6","14:59","10","0","0","0","0","0"
"G4","12/03/2023","0303","333NV","LAX","15:25","15:20","164","169","-5","15:32","12","0","0","0","0","0"
"G4","12/04/2021","0511","316NV","LAS","09:00","08:54","150","155","-6","09:15","21","0","0","0","0","0"
"G4","12/04/2022","0271","315NV","LAS","08:00","07:54","149","159","-6","08:10","16","0","0","0","0","0"
"G4","12/04/2022","0273","338NV","AZA","14:36","14:28","173","182","-8","14:38","10","0","0","0","0","0"
"G4","12/04/2022","0296","338NV","PSP","07:00","06:52","162","178","-8","07:05","13","0","0","0","0","0"
"G4","12/04/2023","0271","322NV","LAS","07:30","07:12","154","146","-18","07:25","13","0","0","0","0","0"
"G4","12/04/2023","0273","333NV","LAS","15:06","15:03","154","161","-3","15:21","18","0","0","0","0","0"
"G4","12/04/2023","0287","333NV","OAK","08:30","08:30","129","158","0","08:48","18","0","0","29","0","0"
"G4","12/04/2023","0302","322NV","PSP","14:36","14:18","168","162","-18","14:29","11","0","0","0","0","0"
"G4","12/05/2021","0511","332NV","LAS","15:10","15:04","150","145","-6","15:16","12","0","0","0","0","0"
"G4","12/05/2021","0516","308NV","AZA","08:30","08:24","174","169","-6","08:47","23","0","0","0","0","0"
"G4","12/05/2021","0539","332NV","PSP","08:00","07:51","163","154","-9","08:07","16","0","0","0","0","0"
"G4","12/05/2022","0271","315NV","LAS","09:00","08:55","149","164","-5","09:14","19","0","0","0","0","0"
"G4","12/05/2022","0277","338NV","OAK","15:36","15:18","125","123","-18","15:33","15","0","0","0","0","0"
"G4","12/05/2022","0287","338NV","LAX","08:00","08:04","162","165","4","08:18","14","0","0","0","0","0"
"G4","12/06/2021","0511","308NV","LAS","08:00","07:51","150","182","-9","08:43","52","0","0","23","0","0"
"G4","12/06/2021","0519","332NV","LAX","14:46","14:42","161","161","-4","14:56","14","0","0","0","0","0"
"G4","12/06/2021","0523","332NV","OAK","08:30","08:40","127","155","10","09:23","43","0","10","28","0","0"
"G4","12/07/2022","0271","338NV","LAS","09:00","08:51","151","149","-9","09:02","11","0","0","0","0","0"
"G4","12/07/2023","0271","322NV","LAS","08:00","07:47","157","152","-13","08:00","13","0","0","0","0","0"
"G4","12/07/2023","0277","333NV","AZA","14:53","14:44","184","174","-9","14:57","13","0","0","0","0","0"
"G4","12/07/2023","0283","333NV","LAX","07:30","07:23","167","157","-7","07:35","12","0","0","0","0","0"
"G4","12/07/2023","0291","322NV","LAS","15:23","15:12","157","149","-11","15:26","14","0","0","0","0","0"
"G4","12/08/2021","0511","308NV","LAS","09:00","08:51","150","139","-9","09:04","13","0","0","0","0","0"
"G4","12/08/2022","0271","315NV","LAS","08:00","07:50","151","153","-10","08:02","12","0","0","0","0","0"
"G4","12/08/2022","0273","338NV","AZA","14:36","14:33","177","191","-3","14:44","11","0","0","0","0","0"
"G4","12/08/2022","0296","338NV","PSP","07:00","06:53","166","168","-7","07:07","14","0","0","0","0","0"
"G4","12/08/2023","0271","333NV","LAS","07:30","07:17","157","161","-13","07:54","37","0","0","0","0","0"
"G4","12/08/2023","0273","295NV","LAS","15:08","22:26","157","131","438","22:40","14","399","0","0","0","13"
"G4","12/08/2023","0287","322NV","OAK","08:30","08:26","137","113","-4","08:38","12","0","0","0","0","0"
"G4","12/08/2023","0302","333NV","PSP","14:38","14:54","173","149","16","15:07","13","0","0","0","0","0"
"G4","12/09/2021","0511","332NV","LAS","08:00","08:00","150","147","0","08:14","14","0","0","0","0","0"
"G4","12/09/2021","0539","308NV","PSP","08:30","08:24","163","161","-6","08:36","12","0","0","0","0","0"
"G4","12/09/2021","1356","290NV","AZA","10:22","10:17","176","164","-5","10:25","8","0","0","0","0","0"
"G4","12/09/2022","0271","338NV","LAS","09:00","08:47","151","142","-13","09:01","14","0","0","0","0","0"
"G4","12/09/2022","0277","315NV","OAK","15:44","15:37","131","125","-7","15:47","10","0","0","0","0","0"
"G4","12/09/2022","0287","315NV","LAX","08:00","08:00","164","151","0","08:10","10","0","0","0","0","0"
"G4","12/10/2021","0511","332NV","LAS","13:09","14:33","150","148","84","14:59","26","82","0","0","0","0"
"G4","12/10/2021","0519","332NV","LAX","06:00","05:57","161","143","-3","06:08","11","0","0","0","0","0"
"G4","12/10/2021","0523","308NV","OAK","08:30","08:22","127","115","-8","08:37","15","0","0","0","0","0"
"G4","12/10/2022","0271","315NV","LAS","11:00","10:52","151","149","-8","11:05","13","0","0","0","0","0"
