Detailed Statistics Departures  
Origin Airport: Bemidji, MN: Bemidji Regional (BJI)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","4276","N919EV","MSP","05:55","05:50","64","52","-5","06:04","14","0","0","0","0","0"
"OO","12/01/2021","4278","N878AS","MSP","14:50","16:03","64","50","73","16:11","8","0","59","0","0","0"
"OO","12/01/2022","4278","N878AS","MSP","10:59","10:49","73","53","-10","10:59","10","0","0","0","0","0"
"OO","12/01/2022","4280","N878AS","MSP","14:47","14:38","73","69","-9","14:47","9","0","0","0","0","0"
"OO","12/01/2022","4287","N461SW","BRD","06:45","06:40","57","57","-5","06:47","7","0","0","0","0","0"
"OO","12/01/2023","4283","N738SK","MSP","14:53","14:43","72","54","-10","14:52","9","0","0","0","0","0"
"OO","12/01/2023","4303","N738SK","MSP","07:06","06:57","74","43","-9","07:02","5","0","0","0","0","0"
"OO","12/02/2021","4276","N498CA","MSP","05:55","05:55","64","55","0","06:03","8","0","0","0","0","0"
"OO","12/02/2021","4278","N498CA","MSP","14:50","14:41","64","52","-9","14:46","5","0","0","0","0","0"
"OO","12/02/2022","4278","N878AS","MSP","10:59","10:45","73","55","-14","10:54","9","0","0","0","0","0"
"OO","12/02/2022","4280","N702BR","MSP","19:06","18:56","77","82","-10","19:22","26","0","0","0","0","0"
"OO","12/02/2023","4283","N625CA","MSP","12:28","12:15","72","66","-13","12:25","10","0","0","0","0","0"
"OO","12/02/2023","4303","N712SK","MSP","07:06","07:08","74","55","2","07:23","15","0","0","0","0","0"
"OO","12/03/2021","4276","N477CA","MSP","05:55","05:47","64","81","-8","06:27","40","0","0","0","0","0"
"OO","12/03/2021","4278","N477CA","MSP","14:50","14:44","64","62","-6","14:58","14","0","0","0","0","0"
"OO","12/03/2022","4274","N446SW","MSP","19:50","19:43","76","41","-7","19:47","4","0","0","0","0","0"
"OO","12/03/2022","4278","N459SW","MSP","10:59","10:54","73","53","-5","11:05","11","0","0","0","0","0"
