Detailed Statistics Departures  
Origin Airport: Billings, MT: Billings Logan International (BIL)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","4095","N271NN","DFW","13:29","13:18","167","150","-11","13:26","8","0","0","0","0","0"
"MQ","12/01/2022","4095","N221NN","DFW","13:45","13:36","163","159","-9","13:48","12","0","0","0","0","0"
"MQ","12/01/2023","4095","N270NN","DFW","13:58","13:51","170","170","-7","14:02","11","0","0","0","0","0"
"MQ","12/02/2021","3689","N213NN","DFW","07:15","07:14","178","164","-1","07:29","15","0","0","0","0","0"
"MQ","12/02/2021","4095","N220NN","DFW","13:29","13:25","167","153","-4","13:33","8","0","0","0","0","0"
"MQ","12/02/2022","4095","N240NN","DFW","13:45","13:39","163","152","-6","13:51","12","0","0","0","0","0"
"MQ","12/02/2023","4095","N224NN","DFW","13:58","13:57","170","158","-1","14:10","13","0","0","0","0","0"
"MQ","12/03/2021","3689","N230NN","DFW","07:15","07:13","178","174","-2","07:34","21","0","0","0","0","0"
"MQ","12/03/2021","4095","N246NN","DFW","13:29","13:23","167","167","-6","13:36","13","0","0","0","0","0"
"MQ","12/03/2022","4095","N236NN","DFW","13:45","14:09","163","164","24","14:22","13","0","0","1","0","24"
"MQ","12/03/2023","4095","N207AN","DFW","13:58","14:22","170","146","24","14:31","9","0","0","0","0","0"
"MQ","12/04/2021","3689","N250NN","DFW","07:15","07:12","178","157","-3","07:23","11","0","0","0","0","0"
"MQ","12/04/2021","4095","N215NN","DFW","13:29","13:24","167","157","-5","13:36","12","0","0","0","0","0"
"MQ","12/04/2022","4095","N289MW","DFW","13:45","13:48","163","155","3","14:02","14","0","0","0","0","0"
"MQ","12/04/2023","4095","N261NN","DFW","13:58","14:12","170","144","14","14:21","9","0","0","0","0","0"
"MQ","12/05/2021","3689","N265NN","DFW","07:15","07:42","178","195","27","08:44","62","0","27","17","0","0"
"MQ","12/05/2021","4095","N214NN","DFW","13:29","13:50","167","143","21","14:01","11","0","0","0","0","0"
"MQ","12/05/2022","4095","N273NN","DFW","13:45","14:10","163","154","25","14:21","11","0","0","0","0","16"
