Detailed Statistics Departures  
Origin Airport: Albany, NY: Albany International (ALB)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2022","3603","N203NN","ORD","07:00","06:54","158","176","-6","07:05","11","0","0","0","0","0"
"MQ","12/01/2022","3612","N265NN","ORD","14:20","14:12","158","147","-8","14:24","12","0","0","0","0","0"
"MQ","12/01/2023","3732","N868RW","ORD","12:30","12:39","149","146","9","12:49","10","0","0","0","0","0"
"MQ","12/02/2022","3603","N271NN","ORD","07:00","06:57","158","146","-3","07:07","10","0","0","0","0","0"
"MQ","12/02/2022","3612","N282NN","ORD","14:20","14:18","158","146","-2","14:35","17","0","0","0","0","0"
"MQ","12/03/2022","3424","N209NN","MIA","05:50","06:24","209","187","34","06:36","12","0","0","0","0","0"
"MQ","12/03/2022","3633","N263NN","ORD","14:20","14:16","158","146","-4","14:25","9","0","0","0","0","0"
"MQ","12/03/2022","3652","N234JW","ORD","05:20","05:15","158","146","-5","05:24","9","0","0","0","0","0"
"MQ","12/03/2023","3732","N637RW","ORD","12:49","13:19","149","146","30","13:28","9","1","0","0","0","26"
"MQ","12/04/2022","3603","N214NN","ORD","05:20","05:13","158","146","-7","05:22","9","0","0","0","0","0"
"MQ","12/04/2022","3751","N239NN","DCA","06:13","06:05","101","95","-8","06:31","26","0","0","0","0","0"
"MQ","12/04/2022","3806","N923AE","ORD","13:46","15:14","158","145","88","15:27","13","75","0","0","0","0"
"MQ","12/04/2023","3732","N806MD","ORD","12:30","12:22","149","128","-8","12:33","11","0","0","0","0","0"
"MQ","12/05/2022","3603","N235NN","ORD","07:00","06:56","158","165","-4","07:28","32","0","0","0","0","0"
"MQ","12/05/2022","3806","N762DT","ORD","13:46","13:41","158","142","-5","13:51","10","0","0","0","0","0"
"MQ","12/06/2022","3603","N766JM","ORD","07:00","06:56","158","149","-4","07:05","9","0","0","0","0","0"
"MQ","12/06/2022","3612","N247NN","ORD","14:20","14:22","158","159","2","14:31","9","0","0","0","0","0"
"MQ","12/07/2022","3603","N243NN","ORD","07:00","07:28","158","160","28","07:40","12","28","0","2","0","0"
"MQ","12/07/2022","3612","N232NN","ORD","14:20","14:16","158","154","-4","14:27","11","0","0","0","0","0"
"MQ","12/08/2022","3603","N761RW","ORD","07:00","06:55","158","175","-5","07:07","12","0","0","0","0","0"
"MQ","12/08/2022","3612","N228NN","ORD","14:20","14:10","158","161","-10","14:20","10","0","0","0","0","0"
"MQ","12/09/2022","3603","N218NN","ORD","07:00","06:51","158","206","-9","07:23","32","0","0","39","0","0"
"MQ","12/09/2022","3612","N235NN","ORD","14:20","14:16","158","141","-4","14:25","9","0","0","0","0","0"
"MQ","12/09/2023","3787","N762DT","ORD","12:16","12:38","170","142","22","12:49","11","0","0","0","0","0"
"MQ","12/10/2022","3424","N243NN","MIA","05:50","05:50","209","203","0","06:22","32","0","0","0","0","0"
"MQ","12/10/2022","3633","N224NN","ORD","14:20","14:13","158","150","-7","14:21","8","0","0","0","0","0"
"MQ","12/10/2022","3652","N206NN","ORD","05:20","05:22","158","157","2","05:51","29","0","0","0","0","0"
"MQ","12/11/2022","3603","N200NN","ORD","05:20","05:17","158","129","-3","05:30","13","0","0","0","0","0"
"MQ","12/11/2022","3751","N232NN","DCA","06:13","06:12","101","89","-1","06:33","21","0","0","0","0","0"
"MQ","12/11/2022","3806","N760MQ","ORD","13:46","14:01","158","177","15","14:54","53","15","0","19","0","0"
"MQ","12/12/2022","3603","N763CC","ORD","07:00","06:58","158","180","-2","07:47","49","0","0","20","0","0"
"MQ","12/12/2022","3806","N763CC","ORD","13:46","13:54","158","149","8","14:07","13","0","0","0","0","0"
"MQ","12/13/2022","3603","N283NN","ORD","07:00","06:55","158","163","-5","07:19","24","0","0","0","0","0"
"MQ","12/13/2022","3612","N212NN","ORD","14:20","14:14","158","150","-6","14:28","14","0","0","0","0","0"
"MQ","12/14/2022","3603","N218NN","ORD","07:00","07:00","158","184","0","07:39","39","0","0","26","0","0"
"MQ","12/14/2022","3612","N299JJ","ORD","14:20","14:15","158","151","-5","14:26","11","0","0","0","0","0"
"MQ","12/15/2022","3355","N277NN","ORD","05:20","05:13","154","161","-7","05:47","34","0","0","0","0","0"
"MQ","12/15/2022","3380","N766JM","ORD","16:49","16:48","154","142","-1","17:00","12","0","0","0","0","0"
"MQ","12/16/2022","3355","N762DT","ORD","05:20","05:14","154","162","-6","05:56","42","0","0","0","0","0"
"MQ","12/16/2022","3380","N764JD","ORD","16:49","00:00","154","0","0","00:00","0","0","0","0","0","0"
"MQ","12/17/2022","3355","N761RW","ORD","05:20","07:49","154","154","149","08:18","29","149","0","0","0","0"
"MQ","12/17/2022","3380","N763CC","ORD","16:49","17:18","154","139","29","17:30","12","0","0","0","0","0"
"MQ","12/18/2022","3355","N761RW","ORD","05:20","05:15","154","153","-5","05:44","29","0","0","0","0","0"
"MQ","12/18/2022","3380","N766JM","ORD","16:49","17:02","154","148","13","17:14","12","0","0","0","0","0"
"MQ","12/19/2022","3355","N909AE","ORD","05:20","07:22","154","187","122","07:50","28","122","0","33","0","0"
"MQ","12/19/2023","3787","N779RN","ORD","13:46","13:46","170","127","0","13:55","9","0","0","0","0","0"
"MQ","12/20/2022","3355","N762DT","ORD","05:20","05:17","154","138","-3","05:26","9","0","0","0","0","0"
"MQ","12/21/2022","3355","N763CC","ORD","05:20","05:16","154","169","-4","05:55","39","0","0","0","0","0"
"MQ","12/21/2022","3380","N763CC","ORD","16:49","17:14","154","161","25","17:26","12","9","0","7","0","16"
"MQ","12/22/2022","3355","N764JD","ORD","05:20","05:17","154","153","-3","05:39","22","0","0","0","0","0"
"MQ","12/22/2022","3380","N760MQ","ORD","16:49","19:50","154","159","181","20:30","40","11","0","5","0","170"
"MQ","12/23/2022","3355","N764JD","ORD","05:20","05:54","154","138","34","06:07","13","18","0","0","0","0"
"MQ","12/23/2022","3380","N764JD","ORD","16:49","00:00","154","0","0","00:00","0","0","0","0","0","0"
"MQ","12/24/2022","3355","N760MQ","ORD","05:20","08:29","154","150","189","08:40","11","185","0","0","0","0"
"MQ","12/25/2022","3612","N764JD","ORD","10:00","10:00","154","135","0","10:13","13","0","0","0","0","0"
"MQ","12/26/2022","3355","N247NN","ORD","05:20","05:24","154","156","4","05:52","28","0","0","0","0","0"
"MQ","12/26/2022","3380","N259NN","ORD","16:49","18:04","154","140","75","18:15","11","4","0","0","0","57"
"MQ","12/27/2022","3355","N761RW","ORD","05:20","05:15","154","136","-5","05:26","11","0","0","0","0","0"
"MQ","12/27/2022","3380","N762DT","ORD","16:49","16:55","154","144","6","17:03","8","0","0","0","0","0"
"MQ","12/28/2022","3355","N760MQ","ORD","05:20","05:20","154","148","0","05:35","15","0","0","0","0","0"
"MQ","12/28/2022","3380","N763CC","ORD","16:49","17:43","154","149","54","17:52","9","2","0","0","0","47"
"MQ","12/29/2022","3355","N761RW","ORD","05:20","05:19","154","150","-1","05:46","27","0","0","0","0","0"
"MQ","12/29/2022","3380","N764JD","ORD","16:49","16:42","154","133","-7","16:51","9","0","0","0","0","0"
"MQ","12/30/2022","3355","N766JM","ORD","05:20","05:13","154","145","-7","05:25","12","0","0","0","0","0"
"MQ","12/30/2022","3380","N766JM","ORD","16:49","16:48","154","140","-1","17:00","12","0","0","0","0","0"
"MQ","12/31/2022","3355","N216NN","ORD","05:20","05:15","154","147","-5","05:29","14","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
