Detailed Statistics Departures  
Origin Airport: Billings, MT: Billings Logan International (BIL)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3079","N709SK","PHX","18:03","17:59","156","137","-4","18:15","16","0","0","0","0","0"
"OO","12/01/2021","3548","N293SY","SLC","18:28","18:23","95","78","-5","18:33","10","0","0","0","0","0"
"OO","12/01/2021","3817","N244SY","SLC","12:16","12:12","88","74","-4","12:21","9","0","0","0","0","0"
"OO","12/01/2022","3192","N727SK","PHX","17:41","17:31","140","152","-10","17:44","13","0","0","0","0","0"
"OO","12/01/2022","3548","N272SY","SLC","18:45","18:37","95","94","-8","18:53","16","0","0","0","0","0"
"OO","12/01/2022","3817","N265SY","SLC","11:56","11:48","85","84","-8","12:00","12","0","0","0","0","0"
"OO","12/01/2023","3155","N765SK","PHX","07:00","06:52","145","148","-8","07:07","15","0","0","0","0","0"
"OO","12/01/2023","4032","N610CZ","SLC","12:30","12:18","86","96","-12","12:39","21","0","0","0","0","0"
"OO","12/02/2021","3079","N765SK","PHX","18:03","18:34","156","148","31","18:57","23","0","0","0","0","23"
"OO","12/02/2021","3548","N250SY","SLC","18:28","18:24","95","81","-4","18:39","15","0","0","0","0","0"
"OO","12/02/2021","3817","N256SY","SLC","12:16","12:07","88","82","-9","12:21","14","0","0","0","0","0"
"OO","12/02/2022","3192","N603SK","PHX","17:41","17:33","140","181","-8","18:07","34","33","0","0","0","0"
"OO","12/02/2022","3548","N267SY","SLC","18:45","18:39","95","83","-6","18:54","15","0","0","0","0","0"
"OO","12/02/2022","3817","N268SY","SLC","11:56","12:08","85","79","12","12:21","13","0","0","0","0","0"
"OO","12/02/2023","3155","N708SK","PHX","07:00","06:50","145","142","-10","07:12","22","0","0","0","0","0"
"OO","12/02/2023","4032","N603CZ","SLC","12:30","12:45","86","71","15","12:56","11","0","0","0","0","0"
"OO","12/03/2021","3079","N633SK","PHX","18:03","17:53","156","132","-10","18:05","12","0","0","0","0","0"
"OO","12/03/2021","3548","N254SY","SLC","18:28","18:25","95","90","-3","18:46","21","0","0","0","0","0"
"OO","12/03/2021","3817","N242SY","SLC","12:16","12:14","88","79","-2","12:25","11","0","0","0","0","0"
"OO","12/03/2022","3192","N748EV","PHX","18:06","17:58","140","151","-8","18:09","11","0","0","0","0","0"
"OO","12/03/2022","3817","N273SY","SLC","11:56","11:46","85","92","-10","12:03","17","0","0","0","0","0"
"OO","12/03/2023","3155","N702SK","PHX","07:00","06:43","145","122","-17","06:55","12","0","0","0","0","0"
"OO","12/03/2023","4032","N242SY","SLC","12:30","12:21","86","71","-9","12:32","11","0","0","0","0","0"
"OO","12/04/2021","3079","N614SK","PHX","18:03","17:56","156","128","-7","18:06","10","0","0","0","0","0"
"OO","12/04/2021","3817","N297SY","SLC","12:16","12:10","88","78","-6","12:23","13","0","0","0","0","0"
