Detailed Statistics Departures  
Origin Airport: Birmingham, AL: Birmingham-Shuttlesworth International (BHM)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5124","N538EG","CLT","11:37","11:28","89","99","-9","11:49","21","0","0","0","0","0"
"OH","12/01/2021","5147","N507AE","DCA","18:35","19:06","115","104","31","19:17","11","0","0","0","0","20"
"OH","12/01/2021","5158","N543EA","PHL","15:45","15:40","133","137","-5","15:53","13","0","0","0","0","0"
"OH","12/01/2021","5228","N596NN","DCA","10:22","10:29","112","114","7","10:49","20","0","0","0","0","0"
"OH","12/01/2021","5270","N563NN","CLT","09:05","08:56","96","93","-9","09:15","19","0","0","0","0","0"
"OH","12/01/2021","5436","N578NN","CLT","16:07","16:16","101","90","9","16:32","16","0","0","0","0","0"
"OH","12/01/2021","5562","N712PS","DCA","06:16","06:14","116","104","-2","06:27","13","0","0","0","0","0"
"OH","12/01/2021","5574","N535EA","CLT","19:21","19:09","95","96","-12","19:28","19","0","0","0","0","0"
"OH","12/01/2022","5124","N572NN","CLT","12:50","16:02","93","86","192","16:19","17","93","0","0","0","92"
"OH","12/01/2022","5147","N515AE","DCA","16:01","15:55","124","120","-6","16:17","22","0","0","0","0","0"
"OH","12/01/2022","5179","N596NN","PHL","14:25","14:14","130","141","-11","14:33","19","0","0","0","0","0"
"OH","12/01/2022","5332","N526EA","DCA","09:47","09:37","124","114","-10","09:58","21","0","0","0","0","0"
"OH","12/01/2022","5562","N523AE","DCA","06:15","06:07","124","109","-8","06:18","11","0","0","0","0","0"
"OH","12/01/2022","5591","N568NN","CLT","06:00","05:55","95","88","-5","06:15","20","0","0","0","0","0"
"OH","12/01/2023","5185","N576NN","CLT","14:51","14:58","94","100","7","15:29","31","0","0","0","0","0"
"OH","12/01/2023","5186","N706PS","DCA","10:08","13:36","123","130","208","13:51","15","0","0","7","0","208"
"OH","12/01/2023","5187","N611NN","PHL","13:45","13:34","131","127","-11","13:50","16","0","0","0","0","0"
"OH","12/01/2023","5191","N558NN","CLT","07:20","07:11","98","99","-9","07:29","18","0","0","0","0","0"
"OH","12/01/2023","5270","N567NN","CLT","10:14","11:21","94","101","67","11:51","30","67","0","7","0","0"
"OH","12/01/2023","5539","N595NN","CLT","17:24","17:10","94","136","-14","17:32","22","0","0","28","0","0"
"OH","12/01/2023","5541","N558NN","CLT","12:19","12:13","94","103","-6","12:29","16","0","0","0","0","0"
