Detailed Statistics Departures  
Origin Airport: Bismarck/Mandan, ND: Bismarck Municipal (BIS)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2021","1274","256NV","AZA","12:22","12:22","171","153","0","12:33","11","0","0","0","0","0"
"G4","12/01/2022","1628","328NV","LAS","22:01","22:50","163","191","49","23:02","12","0","0","28","0","49"
"G4","12/01/2023","0657","193NV","AZA","20:51","20:36","173","166","-15","20:45","9","0","0","0","0","0"
"G4","12/02/2021","0016","309NV","LAS","11:31","11:25","158","156","-6","11:33","8","0","0","0","0","0"
"G4","12/02/2022","0646","218NV","AZA","12:27","12:53","167","197","26","13:17","24","0","0","56","0","0"
"G4","12/02/2022","1628","293NV","LAS","21:57","22:42","163","176","45","22:50","8","11","0","13","0","34"
"G4","12/02/2023","1196","217NV","SFB","13:01","12:53","222","216","-8","13:02","9","0","0","0","0","0"
"G4","12/03/2021","0177","324NV","LAS","11:56","11:50","158","165","-6","12:00","10","0","0","0","0","0"
"G4","12/03/2021","1274","276NV","AZA","21:24","21:22","171","168","-2","21:35","13","0","0","0","0","0"
"G4","12/03/2022","2820","229NV","SFB","14:39","15:05","212","189","26","15:16","11","0","0","0","0","0"
"G4","12/03/2023","0012","329NV","LAS","22:50","22:43","174","158","-7","22:52","9","0","0","0","0","0"
"G4","12/04/2021","0016","253NV","LAS","19:22","19:31","158","186","9","20:08","37","0","0","28","0","9"
"G4","12/04/2021","2231","248NV","SFB","11:50","12:02","218","202","12","12:09","7","0","0","0","0","0"
"G4","12/04/2022","1702","307NV","LAS","12:57","12:49","163","179","-8","12:58","9","0","0","0","0","0"
"G4","12/04/2023","0657","286NV","AZA","20:20","20:25","173","145","5","20:34","9","0","0","0","0","0"
"G4","12/05/2021","0016","337NV","LAS","11:31","11:27","158","149","-4","11:36","9","0","0","0","0","0"
"G4","12/05/2022","0646","259NV","AZA","12:27","12:40","167","194","13","12:54","14","13","0","27","0","0"
"G4","12/05/2022","1628","262NV","LAS","21:20","22:17","163","241","57","23:28","71","0","35","78","0","22"
"G4","12/06/2021","0016","289NV","LAS","11:56","11:55","158","166","-1","12:06","11","0","0","0","0","0"
"G4","12/06/2021","1274","246NV","AZA","21:20","21:16","171","171","-4","21:24","8","0","0","0","0","0"
"G4","12/06/2023","0657","299NV","AZA","15:34","15:33","190","161","-1","15:42","9","0","0","0","0","0"
"G4","12/07/2022","0646","254NV","AZA","14:23","14:38","178","187","15","14:48","10","0","15","9","0","0"
"G4","12/07/2023","0062","295NV","LAS","12:07","12:35","187","169","28","12:46","11","0","0","0","0","0"
"G4","12/08/2021","1274","276NV","AZA","12:22","12:21","171","173","-1","12:32","11","0","0","0","0","0"
"G4","12/08/2022","0126","291NV","LAS","21:08","21:36","171","170","28","21:47","11","3","0","0","0","24"
"G4","12/08/2023","0012","312NV","LAS","12:32","12:29","187","202","-3","12:38","9","0","0","0","0","0"
"G4","12/08/2023","0657","255NV","AZA","21:05","20:57","190","193","-8","21:40","43","0","0","0","0","0"
"G4","12/09/2021","0016","239NV","LAS","11:31","11:22","158","212","-9","12:01","39","0","0","45","0","0"
"G4","12/09/2022","0646","259NV","AZA","12:23","12:27","178","189","4","12:36","9","0","0","15","0","0"
"G4","12/09/2022","1702","218NV","LAS","22:01","22:18","171","167","17","22:30","12","0","0","0","0","0"
"G4","12/09/2023","1199","275NV","SFB","13:14","14:16","224","211","62","14:26","10","49","0","0","0","0"
"G4","12/10/2021","0177","325NV","LAS","12:01","11:49","158","169","-12","12:05","16","0","0","0","0","0"
"G4","12/10/2021","1274","260NV","AZA","21:24","21:42","171","158","18","21:53","11","0","0","0","0","0"
"G4","12/10/2022","2820","224NV","SFB","14:36","14:54","219","211","18","15:03","9","0","0","0","0","0"
"G4","12/10/2023","0012","325NV","LAS","12:07","12:15","187","161","8","12:26","11","0","0","0","0","0"
"G4","12/11/2021","0016","253NV","LAS","19:22","19:07","158","163","-15","19:16","9","0","0","0","0","0"
"G4","12/11/2021","2231","247NV","SFB","11:50","11:50","218","215","0","12:05","15","0","0","0","0","0"
"G4","12/11/2022","1702","248NV","LAS","12:56","13:00","171","183","4","13:11","11","2","0","12","0","2"
"G4","12/11/2023","0012","286NV","LAS","13:17","13:26","187","157","9","13:35","9","0","0","0","0","0"
"G4","12/11/2023","0657","279NV","AZA","21:05","20:57","190","164","-8","21:06","9","0","0","0","0","0"
"G4","12/12/2021","0016","325NV","LAS","11:31","11:12","158","165","-19","11:18","6","0","0","0","0","0"
"G4","12/12/2022","0646","284NV","AZA","12:23","12:57","178","214","34","13:24","27","34","0","36","0","0"
"G4","12/12/2022","1702","262NV","LAS","21:29","21:46","171","215","17","22:59","73","0","0","44","0","17"
"G4","12/13/2021","0016","253NV","LAS","11:56","11:32","158","173","-24","11:43","11","0","0","0","0","0"
"G4","12/13/2021","1274","288NV","AZA","21:20","21:06","171","184","-14","21:16","10","0","0","0","0","0"
"G4","12/14/2022","0646","239NV","AZA","14:23","14:31","178","214","8","15:42","71","0","0","36","0","8"
"G4","12/14/2023","0062","295NV","LAS","12:07","12:03","187","149","-4","12:13","10","0","0","0","0","0"
"G4","12/15/2021","1186","260NV","AZA","16:12","17:27","171","230","75","18:24","57","75","0","59","0","0"
"G4","12/15/2022","0126","305NV","LAS","13:36","14:51","171","0","0","00:00","0","0","0","0","0","0"
"G4","12/15/2022","1308","282NV","SFB","12:06","13:04","219","257","58","14:00","56","0","20","38","0","38"
"G4","12/15/2022","2324","","AZA","20:20","00:00","178","0","0","00:00","0","0","0","0","0","0"
"G4","12/15/2023","0012","334NV","LAS","12:32","12:29","187","161","-3","12:39","10","0","0","0","0","0"
"G4","12/15/2023","0657","193NV","AZA","21:05","21:08","190","150","3","21:19","11","0","0","0","0","0"
"G4","12/16/2021","0081","302NV","LAS","11:49","11:34","162","170","-15","11:43","9","0","0","0","0","0"
"G4","12/16/2021","1209","298NV","AZA","19:30","19:36","171","170","6","19:44","8","0","0","0","0","0"
"G4","12/16/2022","0126","","LAS","11:56","00:00","171","0","0","00:00","0","0","0","0","0","0"
"G4","12/16/2022","0646","","AZA","20:44","00:00","178","0","0","00:00","0","0","0","0","0","0"
"G4","12/16/2023","0657","276NV","AZA","16:34","17:07","190","153","33","17:16","9","0","0","0","0","0"
"G4","12/16/2023","1199","224NV","SFB","13:04","13:04","224","230","0","13:16","12","0","0","0","0","0"
"G4","12/17/2021","0081","337NV","LAS","11:34","11:38","162","149","4","11:46","8","0","0","0","0","0"
"G4","12/17/2021","1209","277NV","AZA","21:52","01:39","171","176","227","02:07","28","227","0","5","0","0"
"G4","12/17/2022","0646","256NV","AZA","21:46","22:20","178","172","34","22:33","13","4","0","0","0","24"
"G4","12/17/2023","0012","215NV","LAS","12:07","12:12","187","168","5","12:28","16","0","0","0","0","0"
"G4","12/18/2021","0081","250NV","LAS","15:19","15:22","162","150","3","15:31","9","0","0","0","0","0"
"G4","12/18/2021","1186","280NV","AZA","21:05","23:51","171","147","166","23:58","7","1","0","0","0","141"
"G4","12/18/2021","2346","294NV","SFB","12:04","12:17","218","213","13","12:25","8","0","0","0","0","0"
"G4","12/18/2022","0126","324NV","LAS","15:56","17:06","171","227","70","18:17","71","0","18","56","0","52"
"G4","12/18/2022","0646","254NV","AZA","19:49","21:27","178","172","98","21:39","12","0","15","0","0","77"
"G4","12/18/2022","2955","282NV","SFB","13:01","16:32","219","281","211","18:00","88","207","0","62","0","4"
"G4","12/18/2023","0012","322NV","LAS","12:32","12:42","187","157","10","12:49","7","0","0","0","0","0"
"G4","12/18/2023","0657","299NV","AZA","21:05","20:55","190","168","-10","21:03","8","0","0","0","0","0"
"G4","12/19/2021","0081","318NV","LAS","11:39","11:37","162","156","-2","11:46","9","0","0","0","0","0"
"G4","12/19/2021","1404","290NV","AZA","20:29","20:49","171","159","20","21:02","13","0","0","0","0","0"
"G4","12/19/2022","0646","259NV","AZA","21:05","00:45","178","159","220","00:55","10","0","8","0","0","193"
"G4","12/19/2022","1702","","LAS","11:26","00:00","171","0","0","00:00","0","0","0","0","0","0"
"G4","12/20/2021","0081","301NV","LAS","22:03","04:05","162","187","362","04:29","24","362","0","25","0","0"
"G4","12/20/2021","1209","","AZA","17:35","00:00","171","0","0","00:00","0","0","0","0","0","0"
"G4","12/20/2022","0104","313NV","LAS","12:21","13:02","171","175","41","13:13","11","0","39","4","0","2"
"G4","12/20/2022","0691","298NV","AZA","10:43","11:27","178","173","44","11:40","13","0","39","0","0","0"
"G4","12/20/2023","0657","291NV","AZA","18:54","18:44","190","158","-10","18:52","8","0","0","0","0","0"
"G4","12/20/2023","2942","296NV","SFB","11:19","11:16","224","211","-3","11:25","9","0","0","0","0","0"
"G4","12/21/2021","0081","316NV","LAS","16:13","16:23","162","168","10","16:36","13","0","0","6","0","10"
"G4","12/21/2021","1186","256NV","AZA","14:22","14:30","171","170","8","14:43","13","0","0","0","0","0"
"G4","12/21/2021","2406","236NV","SFB","10:59","11:11","218","211","12","11:23","12","0","0","0","0","0"
"G4","12/21/2022","0646","","AZA","20:10","00:00","178","0","0","00:00","0","0","0","0","0","0"
"G4","12/21/2022","1702","","LAS","13:51","00:00","171","0","0","00:00","0","0","0","0","0","0"
"G4","12/21/2022","2820","","SFB","18:40","00:00","219","0","0","00:00","0","0","0","0","0","0"
"G4","12/21/2023","0012","312NV","LAS","22:05","23:57","187","166","112","00:16","19","0","0","0","0","91"
"G4","12/21/2023","2265","246NV","AZA","12:34","13:46","190","162","72","13:54","8","9","0","0","0","35"
"G4","12/22/2021","0081","325NV","LAS","14:24","14:19","162","175","-5","14:31","12","0","0","0","0","0"
"G4","12/22/2021","1209","256NV","AZA","16:56","16:51","168","176","-5","17:01","10","0","0","0","0","0"
"G4","12/22/2022","1702","254NV","LAS","12:51","13:26","171","170","35","13:47","21","0","25","0","0","9"
"G4","12/22/2022","2324","","AZA","20:59","00:00","178","0","0","00:00","0","0","0","0","0","0"
"G4","12/22/2023","0657","299NV","AZA","21:34","21:39","190","170","5","21:47","8","0","0","0","0","0"
"G4","12/23/2021","0081","301NV","LAS","11:34","11:25","162","190","-9","11:37","12","0","0","19","0","0"
"G4","12/23/2021","1210","246NV","AZA","21:36","21:58","168","179","22","22:08","10","0","6","11","0","16"
"G4","12/23/2021","2246","287NV","SFB","18:09","18:49","218","185","40","18:57","8","0","0","0","0","0"
"G4","12/23/2022","0126","305NV","LAS","21:55","22:06","171","154","11","22:18","12","0","0","0","0","0"
"G4","12/23/2022","0646","256NV","AZA","10:33","10:52","178","170","19","11:07","15","0","0","0","0","0"
"G4","12/23/2023","0659","291NV","AZA","12:14","12:15","190","185","1","12:31","16","0","0","0","0","0"
"G4","12/23/2023","1196","331NV","SFB","10:09","10:07","224","202","-2","10:14","7","0","0","0","0","0"
"G4","12/24/2021","1186","","AZA","20:11","00:00","168","0","0","00:00","0","0","0","0","0","0"
"G4","12/24/2022","0672","288NV","AZA","20:13","20:26","178","146","13","20:35","9","0","0","0","0","0"
"G4","12/24/2022","1209","282NV","SFB","10:26","10:30","219","206","4","10:42","12","0","0","0","0","0"
"G4","12/24/2023","0012","306NV","LAS","12:17","12:01","187","161","-16","12:11","10","0","0","0","0","0"
"G4","12/24/2023","0657","246NV","AZA","19:50","19:52","190","164","2","20:03","11","0","0","0","0","0"
"G4","12/25/2021","1186","256NV","AZA","14:41","18:21","168","212","220","18:54","33","220","0","44","0","0"
"G4","12/25/2022","0646","298NV","AZA","13:33","13:41","178","198","8","14:43","62","0","8","20","0","0"
"G4","12/25/2022","1702","310NV","LAS","20:33","20:41","171","191","8","21:29","48","0","5","20","0","3"
"G4","12/26/2021","0081","253NV","LAS","22:30","22:36","162","202","6","23:05","29","0","0","40","0","6"
"G4","12/26/2021","1186","","AZA","10:21","00:00","168","0","0","00:00","0","0","0","0","0","0"
"G4","12/26/2022","1702","328NV","LAS","11:36","12:01","171","154","25","12:12","11","0","0","0","0","0"
"G4","12/26/2022","2324","258NV","AZA","21:17","21:23","178","153","6","21:35","12","0","0","0","0","0"
"G4","12/26/2023","0657","","AZA","20:45","00:00","190","0","0","00:00","0","0","0","0","0","0"
"G4","12/27/2021","0081","325NV","LAS","17:20","18:05","162","178","45","18:18","13","0","7","16","0","38"
"G4","12/27/2021","1209","288NV","AZA","21:43","22:58","168","229","75","23:55","57","0","27","61","0","48"
"G4","12/27/2021","2314","","SFB","10:19","00:00","218","0","0","00:00","0","0","0","0","0","0"
"G4","12/27/2022","0023","324NV","LAS","11:36","11:31","171","205","-5","11:52","21","0","0","29","0","0"
"G4","12/27/2023","2265","299NV","AZA","12:34","14:10","190","157","96","14:22","12","0","63","0","0","0"
"G4","12/27/2023","2819","296NV","SFB","11:04","11:38","224","233","34","11:50","12","0","34","9","0","0"
"G4","12/28/2021","0081","316NV","LAS","18:01","17:58","162","166","-3","18:13","15","0","0","0","0","0"
"G4","12/28/2021","1302","","AZA","12:41","00:00","168","0","0","00:00","0","0","0","0","0","0"
"G4","12/28/2022","0646","298NV","AZA","20:10","21:40","178","183","90","21:53","13","6","0","5","0","84"
"G4","12/28/2022","1702","329NV","LAS","13:36","13:25","171","172","-11","13:39","14","0","0","0","0","0"
"G4","12/28/2022","2820","224NV","SFB","18:40","20:30","219","247","110","20:49","19","23","0","28","0","87"
"G4","12/28/2023","0012","208NV","LAS","22:37","23:01","187","149","24","23:17","16","0","0","0","0","0"
"G4","12/28/2023","2265","255NV","AZA","12:04","12:15","190","144","11","12:26","11","0","0","0","0","0"
"G4","12/29/2021","0081","239NV","LAS","13:29","13:27","162","173","-2","13:40","13","0","0","0","0","0"
"G4","12/29/2021","1186","298NV","AZA","11:52","12:07","171","178","15","12:16","9","15","0","7","0","0"
"G4","12/29/2021","2314","229NV","SFB","09:44","10:34","218","218","50","10:44","10","25","24","0","0","1"
"G4","12/29/2022","1702","313NV","LAS","12:06","12:05","171","158","-1","12:19","14","0","0","0","0","0"
"G4","12/29/2022","2324","288NV","AZA","19:49","20:00","178","162","11","20:10","10","0","0","0","0","0"
"G4","12/29/2023","0657","299NV","AZA","21:34","21:42","190","155","8","21:54","12","0","0","0","0","0"
"G4","12/30/2021","0081","239NV","LAS","22:20","23:58","162","173","98","00:13","15","0","0","11","0","98"
"G4","12/30/2021","1389","256NV","AZA","11:42","12:25","171","191","43","12:53","28","43","0","20","0","0"
"G4","12/30/2022","0126","329NV","LAS","21:55","22:59","171","165","64","23:10","11","0","0","0","0","58"
"G4","12/30/2022","0646","291NV","AZA","13:53","13:54","178","169","1","14:03","9","0","0","0","0","0"
"G4","12/30/2023","0659","290NV","AZA","12:54","13:29","190","162","35","13:39","10","0","0","0","0","0"
"G4","12/30/2023","1196","256NV","SFB","10:09","10:04","224","208","-5","10:12","8","0","0","0","0","0"
"G4","12/31/2021","1186","277NV","AZA","21:23","01:38","171","181","255","01:53","15","255","0","10","0","0"
"G4","12/31/2022","0672","288NV","AZA","21:33","22:02","178","172","29","22:11","9","0","0","0","0","23"
"G4","12/31/2022","2825","334NV","SFB","10:21","10:21","219","217","0","10:35","14","0","0","0","0","0"
"G4","12/31/2023","2265","255NV","AZA","20:05","20:05","190","167","0","20:14","9","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
