Detailed Statistics Departures  
Origin Airport: Bismarck/Mandan, ND: Bismarck Municipal (BIS)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","2965","N709SK","PHX","07:11","07:01","210","215","-10","07:45","44","0","0","0","0","0"
"OO","12/01/2021","3088","N742SK","DFW","13:18","14:10","151","145","52","14:19","9","0","0","0","0","46"
"OO","12/01/2021","3604","N252SY","MSP","11:22","11:17","90","69","-5","11:26","9","0","0","0","0","0"
"OO","12/01/2021","3776","N296SY","MSP","05:05","05:13","93","87","8","05:41","28","0","0","0","0","0"
"OO","12/01/2021","3863","N252SY","MSP","17:33","17:22","87","70","-11","17:32","10","0","0","0","0","0"
"OO","12/01/2021","4694","N856AS","DEN","13:30","13:21","113","107","-9","13:39","18","0","0","0","0","0"
"OO","12/01/2021","4730","N967SW","DEN","17:15","17:08","113","101","-7","17:21","13","0","0","0","0","0"
"OO","12/01/2021","5729","N979SW","DEN","09:30","09:20","119","127","-10","09:34","14","0","0","0","0","0"
"OO","12/01/2022","3760","N840SK","MSP","17:35","17:35","87","84","0","17:52","17","0","0","0","0","0"
"OO","12/01/2022","3776","N255SY","MSP","05:00","05:24","94","97","24","05:58","34","27","0","0","0","0"
"OO","12/01/2022","3920","N607CZ","MSP","12:31","12:33","88","76","2","12:49","16","0","0","0","0","0"
"OO","12/01/2022","4169","N607CZ","MSP","07:50","07:50","93","91","0","08:15","25","0","0","0","0","0"
"OO","12/01/2022","4639","N946SW","DEN","13:30","13:27","114","110","-3","13:44","17","0","0","0","0","0"
"OO","12/01/2022","4642","N959SW","DEN","17:00","16:53","114","123","-7","17:17","24","0","0","0","0","0"
"OO","12/01/2022","5439","N856AS","DEN","09:13","09:15","121","135","2","09:57","42","16","0","0","0","0"
"OO","12/01/2023","4027","N324SY","MSP","17:40","17:33","88","73","-7","17:45","12","0","0","0","0","0"
"OO","12/01/2023","4140","N311SY","MSP","07:10","07:05","95","90","-5","07:32","27","0","0","0","0","0"
"OO","12/01/2023","4159","N317SY","MSP","12:33","12:22","87","71","-11","12:35","13","0","0","0","0","0"
"OO","12/01/2023","4642","N914EV","DEN","16:55","16:59","122","116","4","17:19","20","0","0","0","0","0"
"OO","12/01/2023","4694","N793SK","DEN","13:09","12:59","119","108","-10","13:18","19","0","0","0","0","0"
"OO","12/01/2023","4710","N466SW","DEN","09:05","08:59","134","116","-6","09:23","24","0","0","0","0","0"
"OO","12/02/2021","2965","N633SK","PHX","07:11","07:02","210","171","-9","07:17","15","0","0","0","0","0"
"OO","12/02/2021","3088","N632SK","DFW","13:18","13:18","151","146","0","13:30","12","0","0","0","0","0"
"OO","12/02/2021","3604","N253SY","MSP","11:22","11:11","90","69","-11","11:20","9","0","0","0","0","0"
"OO","12/02/2021","3776","N259SY","MSP","05:05","05:02","93","70","-3","05:14","12","0","0","0","0","0"
"OO","12/02/2021","3863","N277SY","MSP","17:33","17:50","87","73","17","18:00","10","0","0","0","0","0"
"OO","12/02/2021","4694","N453SW","DEN","13:22","13:12","113","98","-10","13:23","11","0","0","0","0","0"
"OO","12/02/2021","4730","N986SW","DEN","17:15","17:10","113","134","-5","17:20","10","16","0","0","0","0"
"OO","12/02/2021","5729","N971SW","DEN","09:30","09:19","119","119","-11","09:39","20","0","0","0","0","0"
"OO","12/02/2022","3760","N836SK","MSP","17:35","17:28","87","88","-7","17:43","15","0","0","0","0","0"
"OO","12/02/2022","3776","N305SY","MSP","05:00","05:05","94","99","5","05:40","35","0","0","0","0","0"
"OO","12/02/2022","3920","N255SY","MSP","12:31","12:33","88","110","2","13:08","35","24","0","0","0","0"
"OO","12/02/2022","4169","N317SY","MSP","07:50","07:45","93","94","-5","08:15","30","0","0","0","0","0"
"OO","12/02/2022","4639","N959SW","DEN","13:30","13:25","114","140","-5","14:08","43","21","0","0","0","0"
"OO","12/02/2022","4642","N983SW","DEN","17:00","16:59","114","113","-1","17:14","15","0","0","0","0","0"
"OO","12/02/2022","5439","N487CA","DEN","09:13","09:07","121","177","-6","10:20","73","50","0","0","0","0"
"OO","12/02/2023","4140","N310SY","MSP","07:10","07:02","95","100","-8","07:32","30","0","0","0","0","0"
"OO","12/02/2023","4159","N251SY","MSP","12:33","12:32","87","94","-1","12:46","14","0","0","0","0","0"
"OO","12/02/2023","4642","N699BR","DEN","16:55","16:45","122","110","-10","17:04","19","0","0","0","0","0"
"OO","12/02/2023","4694","N797SK","DEN","13:09","13:07","119","103","-2","13:23","16","0","0","0","0","0"
"OO","12/02/2023","4710","N487CA","DEN","09:05","09:08","134","140","3","09:52","44","0","0","0","0","0"
"OO","12/03/2021","2965","N778SK","PHX","07:11","07:02","210","189","-9","07:23","21","0","0","0","0","0"
"OO","12/03/2021","3088","N718EV","DFW","13:18","13:07","151","158","-11","13:21","14","0","0","0","0","0"
"OO","12/03/2021","3604","N240SY","MSP","11:22","11:19","90","71","-3","11:29","10","0","0","0","0","0"
"OO","12/03/2021","3776","N306SY","MSP","05:05","09:07","93","74","242","09:22","15","223","0","0","0","0"
"OO","12/03/2021","3863","N259SY","MSP","17:33","17:31","87","81","-2","17:43","12","0","0","0","0","0"
"OO","12/03/2021","4694","N904EV","DEN","13:27","13:17","113","112","-10","13:38","21","0","0","0","0","0"
"OO","12/03/2021","4730","N957SW","DEN","17:15","17:05","113","113","-10","17:24","19","0","0","0","0","0"
"OO","12/03/2021","5729","N912SW","DEN","09:30","09:30","119","112","0","09:49","19","0","0","0","0","0"
"OO","12/03/2022","3776","N294SY","MSP","05:00","04:55","94","90","-5","05:20","25","0","0","0","0","0"
"OO","12/03/2022","3920","N251SY","MSP","13:00","12:54","89","87","-6","13:13","19","0","0","0","0","0"
"OO","12/03/2022","4169","N257SY","MSP","07:50","09:06","93","93","76","09:37","31","76","0","0","0","0"
"OO","12/03/2022","4639","N959SW","DEN","13:30","13:20","114","100","-10","13:30","10","0","0","0","0","0"
"OO","12/03/2022","4642","N471CA","DEN","17:00","16:49","114","118","-11","17:04","15","0","0","0","0","0"
"OO","12/03/2022","5439","N956SW","DEN","09:13","09:48","121","117","35","10:11","23","31","0","0","0","0"
"OO","12/03/2023","4027","N316SY","MSP","17:40","17:30","88","72","-10","17:41","11","0","0","0","0","0"
"OO","12/03/2023","4140","N310SY","MSP","07:10","07:05","95","94","-5","07:31","26","0","0","0","0","0"
"OO","12/03/2023","4159","N241SY","MSP","12:33","12:28","87","74","-5","12:38","10","0","0","0","0","0"
