Detailed Statistics Departures  
Origin Airport: Bloomington/Normal, IL: Central Il Regional Airport at Bloomington (BMI)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","5843","N950LR","DFW","07:12","07:08","152","132","-4","07:26","18","0","0","0","0","0"
"YV","12/01/2021","5969","N953LR","DFW","15:44","15:58","143","130","14","16:08","10","0","0","0","0","0"
"YV","12/01/2022","5747","N944LR","DFW","15:40","15:33","141","148","-7","15:55","22","0","0","0","0","0"
"YV","12/01/2022","5843","N952LR","DFW","07:10","07:04","145","156","-6","07:30","26","0","0","0","0","0"
"YV","12/02/2021","5843","N911FJ","DFW","07:12","07:06","152","126","-6","07:20","14","0","0","0","0","0"
"YV","12/02/2021","5969","N329MS","DFW","15:46","15:39","143","157","-7","15:55","16","0","0","0","0","0"
"YV","12/02/2022","5747","N959LR","DFW","15:40","15:29","141","143","-11","15:43","14","0","0","0","0","0"
"YV","12/02/2022","5843","N952LR","DFW","07:10","07:05","145","134","-5","07:15","10","0","0","0","0","0"
"YV","12/03/2021","5843","N241LR","DFW","07:12","06:59","152","136","-13","07:17","18","0","0","0","0","0"
"YV","12/03/2021","5969","N958LR","DFW","15:46","15:41","143","133","-5","15:55","14","0","0","0","0","0"
"YV","12/03/2022","5747","N952LR","DFW","17:00","17:05","141","139","5","17:18","13","0","0","0","0","0"
"YV","12/03/2022","5843","N951LR","DFW","07:10","00:00","145","0","0","00:00","0","0","0","0","0","0"
"YV","12/04/2021","5843","N959LR","DFW","07:12","06:57","152","134","-15","07:18","21","0","0","0","0","0"
"YV","12/04/2021","5969","N938LR","DFW","15:46","15:31","143","124","-15","15:41","10","0","0","0","0","0"
"YV","12/04/2022","5747","N933LR","DFW","15:40","15:30","141","134","-10","15:41","11","0","0","0","0","0"
"YV","12/04/2022","5843","N954LR","DFW","07:10","07:06","145","145","-4","07:28","22","0","0","0","0","0"
"YV","12/05/2021","5843","N934FJ","DFW","07:12","07:10","152","127","-2","07:17","7","0","0","0","0","0"
"YV","12/05/2021","5969","N241LR","DFW","15:46","18:38","143","129","172","18:49","11","0","0","0","0","158"
"YV","12/05/2022","5747","N925FJ","DFW","15:40","15:34","141","133","-6","15:45","11","0","0","0","0","0"
"YV","12/05/2022","5843","N247LR","DFW","07:10","07:01","145","145","-9","07:23","22","0","0","0","0","0"
