Detailed Statistics Departures  
Origin Airport: Bloomington/Normal, IL: Central Il Regional Airport at Bloomington (BMI)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2022","4149","N816SK","ATL","06:00","06:04","112","93","4","06:16","12","0","0","0","0","0"
"OO","12/01/2022","4159","N187PQ","ATL","15:46","15:42","113","95","-4","15:51","9","0","0","0","0","0"
"OO","12/02/2022","4149","N162PQ","ATL","06:00","06:00","112","95","0","06:13","13","0","0","0","0","0"
"OO","12/02/2022","4159","N824SK","ATL","15:46","15:42","113","89","-4","15:52","10","0","0","0","0","0"
"OO","12/02/2022","4455","N833SK","DTW","17:44","17:37","91","74","-7","17:49","12","0","0","0","0","0"
"OO","12/03/2022","4149","N816SK","ATL","06:00","05:58","112","96","-2","06:08","10","0","0","0","0","0"
"OO","12/03/2022","4159","N679CA","ATL","15:46","15:41","113","91","-5","15:50","9","0","0","0","0","0"
"OO","12/04/2022","4149","N826SK","ATL","06:00","05:54","112","91","-6","06:07","13","0","0","0","0","0"
"OO","12/04/2022","4159","N170PQ","ATL","15:46","15:40","113","91","-6","15:56","16","0","0","0","0","0"
"OO","12/04/2022","4479","N830SK","DTW","19:14","19:08","91","83","-6","19:17","9","0","0","0","0","0"
"OO","12/05/2022","4149","N809SK","ATL","06:00","05:55","112","104","-5","06:05","10","0","0","0","0","0"
"OO","12/05/2022","4159","N817SK","ATL","15:46","15:50","113","93","4","15:59","9","0","0","0","0","0"
"OO","12/06/2022","4149","N806SK","ATL","06:00","05:57","112","96","-3","06:09","12","0","0","0","0","0"
"OO","12/06/2022","4159","N802SK","ATL","15:46","15:40","113","102","-6","15:56","16","0","0","0","0","0"
"OO","12/07/2022","4149","N897SK","ATL","06:00","07:06","112","96","66","07:18","12","0","50","0","0","0"
"OO","12/07/2022","4159","N825SK","ATL","15:46","16:39","113","89","53","16:50","11","29","0","0","0","0"
"OO","12/08/2022","4149","N825SK","ATL","06:00","05:55","112","102","-5","06:07","12","0","0","0","0","0"
"OO","12/08/2022","4159","N802SK","ATL","15:46","15:44","113","101","-2","15:56","12","0","0","0","0","0"
"OO","12/09/2022","4149","N897SK","ATL","06:00","05:55","112","111","-5","06:10","15","0","0","0","0","0"
"OO","12/09/2022","4159","N836SK","ATL","15:46","15:45","113","98","-1","15:53","8","0","0","0","0","0"
"OO","12/09/2022","4455","N840SK","DTW","17:44","17:39","91","72","-5","17:51","12","0","0","0","0","0"
"OO","12/10/2022","4149","N554CA","ATL","06:00","10:25","112","93","265","10:37","12","0","246","0","0","0"
"OO","12/10/2022","4159","N802SK","ATL","15:46","16:19","113","106","33","16:41","22","26","0","0","0","0"
"OO","12/11/2022","4149","N837SK","ATL","06:00","05:54","112","102","-6","06:10","16","0","0","0","0","0"
"OO","12/11/2022","4159","N692CA","ATL","15:46","16:07","113","109","21","16:23","16","0","17","0","0","0"
"OO","12/11/2022","4479","N679CA","DTW","19:14","19:11","91","81","-3","19:36","25","0","0","0","0","0"
"OO","12/12/2022","4149","N829SK","ATL","06:00","05:57","112","108","-3","06:17","20","0","0","0","0","0"
"OO","12/12/2022","4159","N817SK","ATL","15:46","15:41","113","92","-5","15:55","14","0","0","0","0","0"
"OO","12/13/2022","4149","N826SK","ATL","06:00","05:58","112","107","-2","06:07","9","0","0","0","0","0"
"OO","12/13/2022","4159","N806SK","ATL","15:46","15:42","113","92","-4","15:52","10","0","0","0","0","0"
"OO","12/14/2022","4149","N837SK","ATL","06:00","05:57","112","112","-3","06:11","14","0","0","0","0","0"
"OO","12/14/2022","4159","N162PQ","ATL","15:46","15:54","113","108","8","16:04","10","0","0","0","0","0"
"OO","12/15/2022","4149","N816SK","ATL","06:00","06:01","112","110","1","06:13","12","0","0","0","0","0"
"OO","12/15/2022","4159","N829SK","ATL","15:46","15:46","113","125","0","16:25","39","0","0","0","0","0"
"OO","12/16/2022","4149","N824SK","ATL","06:00","05:58","112","114","-2","06:22","24","0","0","0","0","0"
"OO","12/16/2022","4159","N170PQ","ATL","15:46","17:07","113","132","81","17:49","42","100","0","0","0","0"
"OO","12/16/2022","4455","N839SK","DTW","17:44","17:44","91","90","0","18:14","30","0","0","0","0","0"
"OO","12/17/2022","4149","N809SK","ATL","06:00","09:10","112","133","190","10:01","51","211","0","0","0","0"
"OO","12/17/2022","4159","N187PQ","ATL","15:36","15:32","113","135","-4","16:22","50","18","0","0","0","0"
"OO","12/18/2022","4149","N170PQ","ATL","06:00","06:00","112","106","0","06:29","29","0","0","0","0","0"
"OO","12/18/2022","4159","N803SK","ATL","15:36","15:48","113","103","12","16:10","22","0","0","0","0","0"
