Detailed Statistics Departures  
Origin Airport: Boise, ID: Boise Air Terminal (BOI)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","1482","N839AW","DFW","15:40","15:54","184","175","14","16:10","16","0","0","0","0","0"
"AA","12/01/2021","1676","N127UW","PHX","06:23","06:18","137","133","-5","06:36","18","0","0","0","0","0"
"AA","12/01/2021","1892","N755US","DFW","07:18","07:15","191","206","-3","07:40","25","0","0","0","0","0"
"AA","12/01/2021","2440","N647AW","PHX","11:22","11:19","124","121","-3","11:34","15","0","0","0","0","0"
"AA","12/01/2022","0810","N899NN","DFW","06:35","06:31","183","172","-4","06:45","14","0","0","0","0","0"
"AA","12/01/2022","1250","N647AW","PHX","09:00","08:54","133","128","-6","09:10","16","0","0","0","0","0"
"AA","12/01/2022","2506","N922NN","DFW","13:51","14:02","183","184","11","14:23","21","0","0","0","0","0"
"AA","12/01/2023","1107","N979AN","DFW","06:10","06:02","204","213","-8","06:58","56","0","0","0","0","0"
"AA","12/01/2023","1376","N103US","DFW","11:49","11:49","182","174","0","12:02","13","0","0","0","0","0"
"AA","12/01/2023","1378","N903NN","DFW","15:34","15:28","188","177","-6","15:40","12","0","0","0","0","0"
"AA","12/02/2021","1482","N768US","DFW","15:40","15:38","184","209","-2","16:01","23","0","0","23","0","0"
"AA","12/02/2021","1676","N124US","PHX","06:23","06:21","137","135","-2","06:52","31","0","0","0","0","0"
"AA","12/02/2021","1892","N770UW","DFW","07:18","07:12","191","198","-6","07:38","26","0","0","0","0","0"
"AA","12/02/2021","2440","N673AW","PHX","11:32","11:29","124","113","-3","11:40","11","0","0","0","0","0"
"AA","12/02/2022","0810","N925NN","DFW","06:35","06:29","183","167","-6","06:43","14","0","0","0","0","0"
"AA","12/02/2022","1250","N654AW","PHX","09:00","08:56","133","137","-4","09:26","30","0","0","0","0","0"
"AA","12/02/2022","2506","N837NN","DFW","13:51","13:44","183","170","-7","13:57","13","0","0","0","0","0"
"AA","12/02/2023","1107","N952NN","DFW","06:10","06:08","204","191","-2","06:47","39","0","0","0","0","0"
"AA","12/02/2023","1376","N112US","DFW","11:49","11:53","182","175","4","12:11","18","0","0","0","0","0"
"AA","12/02/2023","1378","N800NN","DFW","15:34","15:52","188","186","18","16:26","34","0","0","0","0","16"
"AA","12/03/2021","1482","N805AW","DFW","15:40","15:46","184","175","6","15:58","12","0","0","0","0","0"
"AA","12/03/2021","1676","N664AW","PHX","06:23","06:19","137","135","-4","06:50","31","0","0","0","0","0"
"AA","12/03/2021","1892","N805AW","DFW","07:18","07:08","191","220","-10","08:02","54","0","0","19","0","0"
"AA","12/03/2021","2440","N667AW","PHX","11:32","11:26","124","113","-6","11:37","11","0","0","0","0","0"
"AA","12/03/2022","0810","N922NN","DFW","06:35","06:35","183","184","0","07:03","28","0","0","0","0","0"
"AA","12/03/2022","1250","N126UW","PHX","09:00","09:04","133","143","4","09:38","34","0","0","0","0","0"
"AA","12/03/2022","2506","N973AN","DFW","13:51","13:47","183","172","-4","14:01","14","0","0","0","0","0"
"AA","12/03/2023","1107","N946AN","DFW","06:10","06:16","204","178","6","06:34","18","0","0","0","0","0"
"AA","12/03/2023","1376","N112US","DFW","11:49","11:45","182","161","-4","11:57","12","0","0","0","0","0"
"AA","12/03/2023","1378","N931NN","DFW","15:34","15:31","188","181","-3","15:48","17","0","0","0","0","0"
"AA","12/04/2021","1482","N760US","DFW","15:40","15:31","184","183","-9","15:45","14","0","0","0","0","0"
"AA","12/04/2021","1676","N655AW","PHX","06:13","06:10","137","128","-3","06:38","28","0","0","0","0","0"
"AA","12/04/2021","1892","N823AW","DFW","07:18","07:15","191","206","-3","07:42","27","0","0","0","0","0"
"AA","12/04/2021","2440","N667AW","PHX","11:25","11:18","124","116","-7","11:36","18","0","0","0","0","0"
"AA","12/04/2022","0810","N806NN","DFW","06:35","06:52","183","175","17","07:14","22","0","0","0","0","0"
"AA","12/04/2022","1250","N114UW","PHX","09:00","08:49","133","162","-11","09:36","47","0","0","18","0","0"
"AA","12/04/2022","2506","N817NN","DFW","14:03","14:04","183","176","1","14:19","15","0","0","0","0","0"
"AA","12/04/2023","1107","N873NN","DFW","06:10","06:05","204","173","-5","06:19","14","0","0","0","0","0"
"AA","12/04/2023","1376","N111US","DFW","11:49","12:00","182","172","11","12:18","18","0","0","0","0","0"
"AA","12/04/2023","1378","N850NN","DFW","15:34","15:45","188","182","11","15:56","11","0","0","0","0","0"
"AA","12/05/2021","1482","N821AW","DFW","15:40","15:39","184","169","-1","15:49","10","0","0","0","0","0"
"AA","12/05/2021","1676","N659AW","PHX","06:23","06:17","137","113","-6","06:30","13","0","0","0","0","0"
"AA","12/05/2021","1892","N821AW","DFW","07:18","07:13","191","182","-5","07:34","21","0","0","0","0","0"
"AA","12/05/2021","2440","N649AW","PHX","11:32","11:27","124","113","-5","11:42","15","0","0","0","0","0"
"AA","12/05/2022","0810","N919NN","DFW","06:35","06:32","183","202","-3","07:23","51","0","0","16","0","0"
"AA","12/05/2022","1250","N111US","PHX","09:00","08:47","133","158","-13","09:32","45","0","0","0","0","0"
"AA","12/05/2022","2506","N964AN","DFW","14:03","13:55","183","182","-8","14:21","26","0","0","0","0","0"
"AA","12/05/2023","1107","N947AN","DFW","06:20","06:15","207","181","-5","06:26","11","0","0","0","0","0"
"AA","12/05/2023","1378","N947AN","DFW","15:34","15:25","192","190","-9","15:40","15","0","0","0","0","0"
"AA","12/06/2021","1482","N5007E","DFW","15:40","15:56","184","176","16","16:12","16","0","0","0","0","0"
"AA","12/06/2021","1676","N663AW","PHX","06:23","06:15","137","113","-8","06:27","12","0","0","0","0","0"
"AA","12/06/2021","1892","N772XF","DFW","07:18","07:15","191","191","-3","07:33","18","0","0","0","0","0"
"AA","12/06/2021","2440","N604AW","PHX","11:32","11:33","124","129","1","12:00","27","0","0","0","0","0"
"AA","12/06/2022","0810","N829NN","DFW","06:35","06:24","183","187","-11","06:52","28","0","0","0","0","0"
"AA","12/06/2022","1250","N126UW","PHX","09:00","08:51","133","133","-9","09:10","19","0","0","0","0","0"
"AA","12/06/2022","2506","N922NN","DFW","14:03","14:02","183","176","-1","14:18","16","0","0","0","0","0"
"AA","12/06/2023","1107","N801NN","DFW","06:20","06:16","207","178","-4","06:31","15","0","0","0","0","0"
"AA","12/06/2023","1378","N955AN","DFW","15:34","15:25","192","184","-9","15:42","17","0","0","0","0","0"
"AA","12/07/2021","1482","N820AW","DFW","15:40","15:35","184","174","-5","15:52","17","0","0","0","0","0"
"AA","12/07/2021","1676","N649AW","PHX","06:23","06:17","137","122","-6","06:33","16","0","0","0","0","0"
"AA","12/07/2021","1892","N741UW","DFW","07:18","07:15","191","164","-3","07:28","13","0","0","0","0","0"
"AA","12/07/2021","2440","N664AW","PHX","11:32","11:26","124","120","-6","11:41","15","0","0","0","0","0"
"AA","12/07/2022","0810","N996NN","DFW","06:35","06:33","183","199","-2","07:01","28","0","0","0","0","0"
"AA","12/07/2022","1250","N662AW","PHX","09:00","08:56","133","137","-4","09:09","13","0","0","0","0","0"
"AA","12/07/2022","2506","N806NN","DFW","14:03","14:18","183","179","15","14:30","12","0","0","0","0","0"
"AA","12/07/2023","1107","N916NN","DFW","06:20","06:14","207","201","-6","06:32","18","0","0","0","0","0"
"AA","12/07/2023","1376","N122US","DFW","11:47","11:56","196","194","9","12:23","27","0","0","0","0","0"
"AA","12/07/2023","1378","N874NN","DFW","15:34","15:24","192","212","-10","15:45","21","0","0","0","0","0"
"AA","12/08/2021","1482","N744P","DFW","15:40","16:16","184","167","36","16:25","9","5","0","0","0","14"
"AA","12/08/2021","1676","N665AW","PHX","06:23","06:40","137","119","17","06:54","14","0","0","0","0","0"
"AA","12/08/2021","1892","N713UW","DFW","07:18","07:11","191","197","-7","07:37","26","0","0","0","0","0"
"AA","12/08/2021","2440","N128UW","PHX","11:32","11:25","124","114","-7","11:37","12","0","0","0","0","0"
"AA","12/08/2022","0810","N963AN","DFW","06:35","06:31","183","193","-4","07:06","35","0","0","0","0","0"
"AA","12/08/2022","1250","N654AW","PHX","09:00","08:52","133","133","-8","09:14","22","0","0","0","0","0"
"AA","12/08/2022","2506","N988NN","DFW","14:03","13:56","183","181","-7","14:14","18","0","0","0","0","0"
"AA","12/08/2023","1107","N882NN","DFW","06:20","06:19","207","188","-1","06:49","30","0","0","0","0","0"
"AA","12/08/2023","1376","N105UW","DFW","11:47","11:41","196","171","-6","11:55","14","0","0","0","0","0"
"AA","12/08/2023","1378","N925NN","DFW","15:34","15:28","192","179","-6","15:43","15","0","0","0","0","0"
"AA","12/09/2021","1482","N814AW","DFW","15:40","16:07","184","180","27","16:24","17","23","0","0","0","0"
"AA","12/09/2021","1676","N653AW","PHX","06:23","06:16","137","120","-7","06:30","14","0","0","0","0","0"
"AA","12/09/2021","1892","N825AW","DFW","07:18","07:13","191","181","-5","07:29","16","0","0","0","0","0"
"AA","12/09/2021","2440","N679AW","PHX","11:32","11:42","124","123","10","11:53","11","0","0","0","0","0"
"AA","12/09/2022","0810","N919NN","DFW","06:35","06:31","183","226","-4","07:30","59","0","0","39","0","0"
"AA","12/09/2022","1250","N126UW","PHX","09:00","08:52","133","147","-8","09:33","41","0","0","0","0","0"
"AA","12/09/2022","2506","N867NN","DFW","14:03","13:55","183","192","-8","14:21","26","0","0","0","0","0"
"AA","12/09/2023","1107","N942AN","DFW","06:20","06:27","207","206","7","07:06","39","0","0","0","0","0"
"AA","12/09/2023","1378","N830NN","DFW","15:34","15:40","192","189","6","16:07","27","0","0","0","0","0"
"AA","12/10/2021","1482","N821AW","DFW","15:40","15:54","184","180","14","16:11","17","0","0","0","0","0"
"AA","12/10/2021","1676","N653AW","PHX","06:23","06:21","137","126","-2","06:37","16","0","0","0","0","0"
"AA","12/10/2021","1892","N753US","DFW","07:18","07:30","191","182","12","07:54","24","0","0","0","0","0"
"AA","12/10/2021","2440","N667AW","PHX","11:32","11:26","124","114","-6","11:39","13","0","0","0","0","0"
"AA","12/10/2022","0810","N827NN","DFW","06:35","06:29","183","207","-6","07:05","36","0","0","18","0","0"
