Detailed Statistics Departures  
Origin Airport: Boston, MA: Logan International (BOS)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","1404","285NV","TYS","09:00","08:54","146","163","-6","09:22","28","0","0","0","0","0"
"G4","12/01/2023","1374","278NV","SRQ","10:33","10:21","219","205","-12","10:32","11","0","0","0","0","0"
"G4","12/01/2023","1862","285NV","AVL","12:02","11:47","154","142","-15","11:56","9","0","0","0","0","0"
"G4","12/02/2021","0426","240NV","AVL","08:55","08:46","140","136","-9","09:03","17","0","0","0","0","0"
"G4","12/02/2021","2606","215NV","TYS","10:55","10:54","140","139","-1","11:07","13","0","0","0","0","0"
"G4","12/02/2022","0217","257NV","AVL","09:38","09:34","141","126","-4","09:43","9","0","0","0","0","0"
"G4","12/02/2022","3009","292NV","SRQ","11:58","11:52","206","213","-6","12:11","19","0","0","0","0","0"
"G4","12/02/2022","3103","305NV","VPS","10:48","10:48","205","188","0","11:01","13","0","0","0","0","0"
"G4","12/03/2021","1087","282NV","IND","09:25","09:04","135","165","-21","09:24","20","0","0","0","0","0"
"G4","12/03/2021","2522","287NV","SRQ","10:25","10:29","210","200","4","10:49","20","0","0","0","0","0"
"G4","12/03/2023","1402","233NV","TYS","10:06","09:44","160","168","-22","09:58","14","0","0","0","0","0"
"G4","12/04/2022","1404","204NV","TYS","09:00","08:45","146","151","-15","09:00","15","0","0","0","0","0"
"G4","12/04/2023","0246","205NV","AVL","12:02","11:49","154","160","-13","12:03","14","0","0","0","0","0"
"G4","12/04/2023","1393","204NV","SRQ","10:33","10:16","219","220","-17","10:27","11","0","0","0","0","0"
"G4","12/05/2021","0426","221NV","AVL","08:55","08:37","140","146","-18","09:00","23","0","0","0","0","0"
"G4","12/05/2021","2606","215NV","TYS","10:55","10:37","140","142","-18","10:53","16","0","0","0","0","0"
"G4","12/05/2022","0217","257NV","AVL","09:38","09:26","141","135","-12","09:40","14","0","0","0","0","0"
"G4","12/05/2022","2985","280NV","SRQ","11:58","11:56","206","201","-2","12:08","12","0","0","0","0","0"
"G4","12/05/2022","3103","331NV","VPS","10:48","10:38","205","190","-10","10:49","11","0","0","0","0","0"
"G4","12/06/2021","1087","242NV","IND","09:25","09:20","135","167","-5","09:35","15","0","0","27","0","0"
"G4","12/06/2021","2522","287NV","SRQ","10:25","10:25","210","219","0","10:40","15","0","0","0","0","0"
"G4","12/07/2023","1419","207NV","TYS","09:35","09:41","156","141","6","10:00","19","0","0","0","0","0"
"G4","12/08/2022","1406","203NV","TYS","09:03","09:49","154","151","46","10:03","14","0","0","0","0","43"
"G4","12/08/2023","0226","190NV","AVL","09:29","09:18","146","140","-11","09:42","24","0","0","0","0","0"
"G4","12/08/2023","1359","278NV","SRQ","12:04","11:59","209","192","-5","12:13","14","0","0","0","0","0"
"G4","12/09/2021","0426","338NV","AVL","08:55","09:28","140","153","33","09:54","26","17","0","13","0","16"
"G4","12/09/2021","2606","215NV","TYS","10:55","10:53","140","151","-2","11:08","15","0","0","0","0","0"
"G4","12/09/2022","0217","261NV","AVL","09:38","09:29","144","135","-9","09:47","18","0","0","0","0","0"
"G4","12/09/2022","1450","331NV","VPS","10:48","11:07","194","213","19","11:37","30","9","0","19","0","10"
"G4","12/09/2022","2985","292NV","SRQ","11:59","11:57","204","192","-2","12:08","11","0","0","0","0","0"
"G4","12/10/2021","1087","242NV","IND","09:25","09:21","135","149","-4","09:34","13","0","0","0","0","0"
"G4","12/10/2021","2522","281NV","SRQ","10:25","10:21","210","198","-4","10:40","19","0","0","0","0","0"
"G4","12/10/2023","1419","207NV","TYS","09:35","09:16","156","154","-19","09:32","16","0","0","0","0","0"
"G4","12/11/2022","1406","203NV","TYS","09:03","08:55","154","148","-8","09:07","12","0","0","0","0","0"
"G4","12/11/2023","0226","206NV","AVL","09:29","09:20","146","144","-9","09:34","14","0","0","0","0","0"
"G4","12/11/2023","1374","202NV","SRQ","12:04","11:42","209","212","-22","11:55","13","0","0","0","0","0"
"G4","12/12/2021","0426","338NV","AVL","08:55","08:50","140","132","-5","09:02","12","0","0","0","0","0"
"G4","12/12/2021","2606","229NV","TYS","10:55","10:49","140","142","-6","11:01","12","0","0","0","0","0"
"G4","12/12/2022","0217","261NV","AVL","09:38","09:22","144","143","-16","09:48","26","0","0","0","0","0"
"G4","12/12/2022","1450","331NV","VPS","10:48","11:11","194","198","23","11:27","16","5","0","4","0","18"
"G4","12/12/2022","2986","292NV","SRQ","11:59","13:20","204","197","81","13:36","16","10","0","0","0","64"
"G4","12/13/2021","1087","242NV","IND","09:25","09:35","135","146","10","09:49","14","10","0","11","0","0"
"G4","12/13/2021","2522","215NV","SRQ","10:25","10:32","210","209","7","10:46","14","0","0","0","0","0"
"G4","12/14/2023","1419","207NV","TYS","09:35","09:42","156","134","7","09:57","15","0","0","0","0","0"
"G4","12/15/2022","0221","322NV","AVL","11:29","11:19","144","153","-10","11:33","14","0","0","0","0","0"
"G4","12/15/2023","0226","205NV","AVL","09:29","09:44","146","134","15","09:57","13","0","0","0","0","0"
"G4","12/15/2023","1359","278NV","SRQ","12:04","12:11","209","190","7","12:24","13","0","0","0","0","0"
"G4","12/16/2021","0412","311NV","AVL","08:55","08:43","135","146","-12","09:06","23","0","0","0","0","0"
"G4","12/16/2021","0992","273NV","GRR","11:55","11:34","125","133","-21","11:43","9","0","0","0","0","0"
"G4","12/16/2021","2602","","TYS","10:55","00:00","140","0","0","00:00","0","0","0","0","0","0"
"G4","12/16/2022","0546","274NV","GRR","09:57","09:56","155","122","-1","10:11","15","0","0","0","0","0"
"G4","12/16/2022","3058","285NV","TYS","11:03","11:01","154","154","-2","11:15","14","0","0","0","0","0"
