Detailed Statistics Departures  
Origin Airport: Boston, MA: Logan International (BOS)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0359","N8801Q","STL","17:25","17:22","190","173","-3","17:36","14","0","0","0","0","0"
"WN","12/01/2021","1187","N444WN","BWI","18:20","18:45","105","86","25","18:56","11","0","0","0","0","0"
"WN","12/01/2021","2042","N903WN","DEN","15:05","15:08","285","278","3","15:17","9","0","0","0","0","0"
"WN","12/01/2021","2980","N467WN","BNA","13:05","13:17","175","168","12","13:35","18","0","0","0","0","0"
"WN","12/01/2021","3659","N477WN","BWI","09:00","08:59","100","91","-1","09:17","18","0","0","0","0","0"
"WN","12/01/2021","3907","N8615E","MDW","17:50","17:44","170","157","-6","18:00","16","0","0","0","0","0"
"WN","12/01/2021","3994","N272WN","BWI","14:55","14:53","95","92","-2","15:02","9","0","0","0","0","0"
"WN","12/01/2021","4253","N232WN","BWI","06:00","06:00","95","83","0","06:13","13","0","0","0","0","0"
"WN","12/01/2021","5750","N8648A","MDW","13:10","13:04","170","153","-6","13:15","11","0","0","0","0","0"
"WN","12/01/2021","6296","N469WN","STL","05:25","05:20","190","168","-5","05:30","10","0","0","0","0","0"
"WN","12/01/2022","0539","N221WN","BWI","16:15","16:11","100","83","-4","16:29","18","0","0","0","0","0"
"WN","12/01/2022","0823","N257WN","MDW","19:05","19:04","170","162","-1","19:21","17","0","0","0","0","0"
"WN","12/01/2022","0925","N8763L","MDW","05:35","05:30","170","153","-5","05:43","13","0","0","0","0","0"
"WN","12/01/2022","0997","N901WN","BWI","19:15","19:39","100","101","24","20:07","28","0","0","1","0","24"
"WN","12/01/2022","1105","N8680C","STL","07:10","07:09","195","176","-1","07:22","13","0","0","0","0","0"
"WN","12/01/2022","1108","N8605E","BWI","08:50","08:47","105","85","-3","09:00","13","0","0","0","0","0"
"WN","12/01/2022","1497","N8708Q","BNA","16:10","16:26","175","168","16","16:46","20","0","0","0","0","0"
"WN","12/01/2022","1786","N8322X","STL","18:10","18:20","200","183","10","18:45","25","0","0","0","0","0"
"WN","12/01/2022","1821","N8639B","BWI","12:05","12:04","95","88","-1","12:26","22","0","0","0","0","0"
"WN","12/01/2022","2280","N8501V","BWI","06:00","05:54","105","93","-6","06:05","11","0","0","0","0","0"
"WN","12/01/2022","2349","N238WN","DEN","12:00","12:06","290","285","6","12:21","15","0","0","0","0","0"
"WN","12/01/2022","2733","N210WN","MDW","09:40","09:43","170","157","3","09:58","15","0","0","0","0","0"
"WN","12/01/2022","2889","N7736A","MDW","15:05","15:00","165","156","-5","15:16","16","0","0","0","0","0"
"WN","12/01/2023","0169","N8671D","BNA","19:00","18:58","175","171","-2","19:11","13","0","0","0","0","0"
"WN","12/01/2023","0533","N259WN","MDW","07:15","07:11","170","166","-4","07:25","14","0","0","0","0","0"
"WN","12/01/2023","0679","N8637A","STL","18:30","18:30","195","203","0","18:55","25","0","0","0","0","0"
"WN","12/01/2023","0892","N8308K","BWI","09:15","09:13","100","86","-2","09:26","13","0","0","0","0","0"
"WN","12/01/2023","0921","N228WN","STL","06:35","06:28","190","192","-7","06:41","13","0","0","0","0","0"
"WN","12/01/2023","1034","N8875B","BWI","17:55","18:30","100","99","35","18:50","20","4","0","0","0","30"
"WN","12/01/2023","1101","N8550Q","DEN","05:35","05:27","290","272","-8","05:37","10","0","0","0","0","0"
"WN","12/01/2023","1479","N8853Q","BWI","16:40","16:42","100","101","2","16:57","15","0","0","0","0","0"
"WN","12/01/2023","1644","N8887Q","MDW","12:40","12:46","165","156","6","12:55","9","0","0","0","0","0"
"WN","12/01/2023","2164","N8552Z","BWI","06:15","06:11","100","95","-4","06:32","21","0","0","0","0","0"
"WN","12/01/2023","2891","N8782Q","BWI","20:30","20:25","90","87","-5","20:38","13","0","0","0","0","0"
"WN","12/01/2023","2905","N8831L","BWI","11:55","11:56","95","88","1","12:06","10","0","0","0","0","0"
"WN","12/01/2023","2968","N416WN","BWI","10:50","10:47","95","82","-3","10:57","10","0","0","0","0","0"
"WN","12/01/2023","3281","N8830Q","DEN","14:15","14:11","290","280","-4","14:23","12","0","0","0","0","0"
"WN","12/01/2023","3505","N8865L","BWI","13:45","13:39","95","94","-6","13:52","13","0","0","0","0","0"
"WN","12/01/2023","3677","N932WN","MDW","21:35","21:29","165","168","-6","21:47","18","0","0","0","0","0"
"WN","12/01/2023","3692","N7729A","BNA","05:15","05:19","170","181","4","05:31","12","0","0","15","0","0"
"WN","12/02/2021","0359","N8558Z","STL","17:25","17:19","190","178","-6","17:38","19","0","0","0","0","0"
"WN","12/02/2021","1187","N7856A","BWI","18:20","18:34","105","87","14","18:47","13","0","0","0","0","0"
"WN","12/02/2021","2042","N946WN","DEN","15:05","15:05","285","282","0","15:20","15","0","0","0","0","0"
"WN","12/02/2021","2980","N561WN","BNA","13:05","13:03","175","154","-2","13:12","9","0","0","0","0","0"
"WN","12/02/2021","3659","N7849A","BWI","09:00","08:54","100","81","-6","09:07","13","0","0","0","0","0"
"WN","12/02/2021","3907","N8807L","MDW","17:50","17:49","170","157","-1","18:04","15","0","0","0","0","0"
"WN","12/02/2021","3994","N744SW","BWI","14:55","14:52","95","91","-3","15:07","15","0","0","0","0","0"
"WN","12/02/2021","4253","N205WN","BWI","06:00","05:53","95","92","-7","06:15","22","0","0","0","0","0"
"WN","12/02/2021","5750","N8525S","MDW","13:10","13:08","170","158","-2","13:17","9","0","0","0","0","0"
"WN","12/02/2021","6296","N760SW","STL","05:25","05:25","190","168","0","05:35","10","0","0","0","0","0"
"WN","12/02/2022","0539","N917WN","BWI","16:15","16:14","100","84","-1","16:28","14","0","0","0","0","0"
"WN","12/02/2022","0925","N8757L","MDW","05:35","05:33","170","145","-2","05:44","11","0","0","0","0","0"
"WN","12/02/2022","0997","N482WN","BWI","19:15","19:21","100","97","6","19:44","23","0","0","0","0","0"
"WN","12/02/2022","1105","N8579Z","STL","07:10","07:07","195","168","-3","07:21","14","0","0","0","0","0"
"WN","12/02/2022","1108","N8680C","BWI","08:50","08:54","105","92","4","09:11","17","0","0","0","0","0"
"WN","12/02/2022","1497","N8685B","BNA","16:10","16:11","175","158","1","16:21","10","0","0","0","0","0"
"WN","12/02/2022","1786","N8727M","STL","18:10","18:10","200","195","0","18:29","19","0","0","0","0","0"
"WN","12/02/2022","1821","N8528Q","BWI","12:05","12:06","95","83","1","12:20","14","0","0","0","0","0"
"WN","12/02/2022","2280","N8556Z","BWI","06:00","05:58","105","81","-2","06:15","17","0","0","0","0","0"
"WN","12/02/2022","2349","N780SW","DEN","12:00","12:07","290","293","7","12:21","14","0","0","0","0","0"
"WN","12/02/2022","2733","N7850B","MDW","09:40","09:43","170","153","3","09:54","11","0","0","0","0","0"
"WN","12/02/2022","2889","N272WN","MDW","15:05","15:08","165","152","3","15:19","11","0","0","0","0","0"
"WN","12/02/2023","0163","N474WN","BWI","06:00","05:58","105","100","-2","06:19","21","0","0","0","0","0"
"WN","12/02/2023","0892","N8782Q","BWI","08:00","08:00","100","94","0","08:16","16","0","0","0","0","0"
"WN","12/02/2023","0935","N8502Z","MDW","16:20","16:19","170","175","-1","16:33","14","0","0","0","0","0"
"WN","12/02/2023","1034","N8667D","BWI","18:05","18:06","100","93","1","18:23","17","0","0","0","0","0"
"WN","12/02/2023","1098","N8902Q","STL","15:05","15:08","190","210","3","15:22","14","0","0","23","0","0"
"WN","12/02/2023","1101","N929WN","DEN","06:25","06:21","295","287","-4","06:32","11","0","0","0","0","0"
"WN","12/02/2023","1257","N8853Q","BNA","11:10","11:05","175","192","-5","11:21","16","0","0","0","0","0"
"WN","12/02/2023","1479","N8582Z","BWI","15:30","15:25","95","86","-5","15:35","10","0","0","0","0","0"
"WN","12/02/2023","1644","N8839Q","MDW","13:10","13:21","160","171","11","13:32","11","6","0","11","0","5"
"WN","12/02/2023","2905","N8569Z","BWI","12:45","12:48","90","88","3","12:59","11","0","0","0","0","0"
"WN","12/02/2023","2926","N8576Z","STL","07:35","07:27","195","211","-8","07:46","19","0","0","0","0","0"
"WN","12/02/2023","3677","N938WN","MDW","06:50","06:49","175","182","-1","07:01","12","0","0","0","0","0"
"WN","12/03/2021","0359","N8668A","STL","17:25","17:25","190","184","0","17:43","18","0","0","0","0","0"
