Detailed Statistics Departures  
Origin Airport: Bozeman, MT: Bozeman Yellowstone International (BZN)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","0817","N8031M","DFW","13:53","13:49","177","170","-4","13:59","10","0","0","0","0","0"
"AA","12/01/2022","2522","N714US","DFW","13:24","13:39","169","160","15","13:48","9","0","0","0","0","0"
"AA","12/01/2023","0817","N856NN","DFW","13:40","13:33","188","182","-7","13:49","16","0","0","0","0","0"
"AA","12/02/2021","0817","N8030F","DFW","13:53","14:09","177","167","16","14:20","11","0","0","0","0","0"
"AA","12/02/2022","2522","N680AW","DFW","13:24","15:39","169","170","135","15:50","11","0","0","1","0","135"
"AA","12/02/2023","0817","N306NY","DFW","13:40","13:29","188","171","-11","13:42","13","0","0","0","0","0"
"AA","12/03/2021","0817","N778XF","DFW","13:53","13:46","177","159","-7","13:56","10","0","0","0","0","0"
"AA","12/03/2022","2522","N990AN","DFW","13:24","01:09","169","150","705","01:20","11","6","0","0","0","680"
"AA","12/03/2023","0817","N973AN","DFW","13:40","14:00","188","157","20","14:11","11","0","0","0","0","0"
"AA","12/04/2021","0817","N819AW","DFW","13:53","14:23","177","166","30","14:36","13","0","0","0","0","19"
"AA","12/04/2022","2522","N710UW","DFW","13:24","13:40","169","160","16","13:48","8","0","0","0","0","0"
"AA","12/04/2023","0817","N835NN","DFW","13:40","05:52","188","170","972","06:14","22","843","0","0","0","111"
"AA","12/05/2021","0817","N5007E","DFW","13:53","13:58","177","154","5","14:09","11","0","0","0","0","0"
"AA","12/05/2022","2522","N9022G","DFW","13:24","14:42","169","165","78","14:57","15","3","0","0","0","71"
"AA","12/05/2023","0817","N913NN","DFW","13:42","13:40","187","185","-2","13:57","17","0","0","0","0","0"
"AA","12/06/2021","0817","N9021H","DFW","13:53","13:54","177","195","1","14:42","48","1","0","18","0","0"
"AA","12/06/2022","2522","N9022G","DFW","13:24","13:39","169","186","15","13:55","16","0","0","17","0","15"
"AA","12/06/2023","0817","N941NN","DFW","13:42","14:22","187","188","40","14:38","16","40","0","1","0","0"
"AA","12/07/2021","0817","N9012","DFW","13:53","13:57","177","155","4","14:06","9","0","0","0","0","0"
