Detailed Statistics Departures  
Origin Airport: Bozeman, MT: Bozeman Yellowstone International (BZN)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","2240","N356NW","MSP","14:00","13:52","130","124","-8","14:01","9","0","0","0","0","0"
"DL","12/01/2021","2686","N314DN","SLC","06:08","06:02","86","74","-6","06:14","12","0","0","0","0","0"
"DL","12/01/2022","2344","N354DN","MSP","05:50","05:45","150","141","-5","06:00","15","0","0","0","0","0"
"DL","12/01/2022","2469","N682DA","ATL","13:08","14:19","227","201","71","14:30","11","0","0","0","0","45"
"DL","12/01/2022","2686","N342DN","SLC","06:06","06:00","89","71","-6","06:10","10","0","0","0","0","0"
"DL","12/01/2022","2841","N325DN","MSP","14:38","14:31","145","121","-7","14:42","11","0","0","0","0","0"
"DL","12/01/2023","0406","N658DL","ATL","13:18","13:08","220","208","-10","13:20","12","0","0","0","0","0"
"DL","12/01/2023","0691","N853DN","SLC","06:00","05:44","89","82","-16","06:07","23","0","0","0","0","0"
"DL","12/01/2023","1279","N102DN","MSP","13:55","13:45","139","124","-10","13:58","13","0","0","0","0","0"
"DL","12/01/2023","1678","N119DN","MSP","06:00","05:52","150","140","-8","06:21","29","0","0","0","0","0"
"DL","12/01/2023","2677","N3766","SLC","12:59","12:45","79","72","-14","12:57","12","0","0","0","0","0"
"DL","12/02/2021","2240","N362NW","MSP","14:00","13:55","130","123","-5","14:08","13","0","0","0","0","0"
"DL","12/02/2021","2686","N323DN","SLC","06:08","06:06","86","68","-2","06:16","10","0","0","0","0","0"
"DL","12/02/2022","2344","N113DX","MSP","05:50","05:45","150","143","-5","06:21","36","0","0","0","0","0"
"DL","12/02/2022","2469","N669DN","ATL","13:08","13:16","227","196","8","13:27","11","0","0","0","0","0"
"DL","12/02/2022","2686","N122DN","SLC","06:06","06:05","89","109","-1","06:48","43","0","0","19","0","0"
"DL","12/02/2022","2841","N331DN","MSP","14:38","14:40","145","129","2","14:54","14","0","0","0","0","0"
"DL","12/02/2023","0406","N669DN","ATL","13:18","13:06","220","209","-12","13:16","10","0","0","0","0","0"
"DL","12/02/2023","0691","N897DN","SLC","06:00","05:43","89","70","-17","05:53","10","0","0","0","0","0"
"DL","12/02/2023","1279","N312US","MSP","13:55","13:45","139","118","-10","13:54","9","0","0","0","0","0"
"DL","12/02/2023","1678","N313DN","MSP","06:00","05:50","150","126","-10","06:02","12","0","0","0","0","0"
"DL","12/02/2023","2677","N3748Y","SLC","12:59","12:50","79","73","-9","13:01","11","0","0","0","0","0"
"DL","12/03/2021","2240","N352NW","MSP","14:00","13:55","130","130","-5","14:15","20","0","0","0","0","0"
"DL","12/03/2021","2686","N112DN","SLC","06:08","06:03","86","71","-5","06:13","10","0","0","0","0","0"
"DL","12/03/2022","2344","N122DN","MSP","05:50","05:48","150","139","-2","06:21","33","0","0","0","0","0"
"DL","12/03/2022","2469","N687DL","ATL","13:08","13:23","227","193","15","13:41","18","0","0","0","0","0"
"DL","12/03/2022","2686","N327DN","SLC","06:06","06:00","89","108","-6","06:33","33","0","0","0","0","0"
"DL","12/03/2022","2841","N395DZ","MSP","14:16","14:10","139","112","-6","14:20","10","0","0","0","0","0"
"DL","12/03/2023","0406","N552NW","ATL","13:18","13:18","220","194","0","13:31","13","0","0","0","0","0"
"DL","12/03/2023","0691","N896DN","SLC","06:00","05:57","89","81","-3","06:27","30","0","0","0","0","0"
"DL","12/03/2023","1279","N393DN","MSP","13:55","13:39","139","120","-16","13:48","9","0","0","0","0","0"
"DL","12/03/2023","1678","N103DY","MSP","06:00","05:55","150","135","-5","06:07","12","0","0","0","0","0"
"DL","12/03/2023","2677","N3754A","SLC","12:59","12:47","79","67","-12","12:57","10","0","0","0","0","0"
"DL","12/04/2021","0651","N348DN","ATL","14:19","14:14","229","202","-5","14:24","10","0","0","0","0","0"
"DL","12/04/2021","2240","N312US","MSP","14:00","14:24","130","116","24","14:32","8","0","0","0","0","0"
"DL","12/04/2021","2686","N346DN","SLC","06:08","06:03","86","70","-5","06:12","9","0","0","0","0","0"
"DL","12/04/2022","2344","N320DN","MSP","05:50","05:48","150","137","-2","06:21","33","0","0","0","0","0"
"DL","12/04/2022","2469","N681DA","ATL","13:08","13:26","227","182","18","13:36","10","0","0","0","0","0"
"DL","12/04/2022","2686","N101DQ","SLC","06:06","05:54","89","101","-12","06:24","30","0","0","0","0","0"
"DL","12/04/2022","2841","N366DX","MSP","14:38","14:51","145","152","13","15:36","45","0","13","7","0","0"
"DL","12/04/2023","0406","N557NW","ATL","13:18","13:13","220","193","-5","13:22","9","0","0","0","0","0"
"DL","12/04/2023","0691","N863DN","SLC","06:00","05:53","89","72","-7","06:10","17","0","0","0","0","0"
"DL","12/04/2023","1279","N382DN","MSP","13:55","13:48","139","123","-7","13:57","9","0","0","0","0","0"
"DL","12/04/2023","1678","N121DZ","MSP","06:00","05:48","150","125","-12","06:04","16","0","0","0","0","0"
"DL","12/04/2023","2677","N3758Y","SLC","12:59","12:45","79","66","-14","12:58","13","0","0","0","0","0"
"DL","12/05/2021","2240","N365NW","MSP","14:10","14:07","135","127","-3","14:17","10","0","0","0","0","0"
"DL","12/05/2021","2686","N374DX","SLC","06:00","05:58","92","101","-2","06:38","40","0","0","0","0","0"
"DL","12/05/2022","2344","N389DN","MSP","05:50","05:47","150","168","-3","06:47","60","0","0","15","0","0"
"DL","12/05/2022","2469","N556NW","ATL","13:08","13:50","227","201","42","14:09","19","0","9","0","0","7"
"DL","12/05/2022","2686","N118DY","SLC","06:06","06:04","89","139","-2","07:19","75","0","0","48","0","0"
"DL","12/05/2022","2841","N123DW","MSP","14:38","14:29","145","123","-9","14:42","13","0","0","0","0","0"
"DL","12/05/2023","0691","N877DN","SLC","06:00","05:46","89","68","-14","05:56","10","0","0","0","0","0"
"DL","12/05/2023","1279","N389DN","MSP","13:55","13:49","139","133","-6","13:59","10","0","0","0","0","0"
"DL","12/05/2023","1678","N387DN","MSP","06:00","05:51","150","131","-9","06:05","14","0","0","0","0","0"
"DL","12/05/2023","2677","N3764D","SLC","12:59","12:53","79","71","-6","13:05","12","0","0","0","0","0"
"DL","12/06/2021","2240","N371NW","MSP","14:09","14:04","135","135","-5","14:32","28","0","0","0","0","0"
"DL","12/06/2021","2686","N331DN","SLC","06:00","05:59","92","74","-1","06:13","14","0","0","0","0","0"
"DL","12/06/2022","2344","N118DY","MSP","05:50","05:45","150","116","-5","05:58","13","0","0","0","0","0"
"DL","12/06/2022","2686","N378DN","SLC","06:06","05:56","89","85","-10","06:20","24","0","0","0","0","0"
"DL","12/06/2022","2841","N362DN","MSP","14:38","14:24","145","117","-14","14:35","11","0","0","0","0","0"
"DL","12/06/2023","0691","N808DN","SLC","05:45","05:41","89","78","-4","05:56","15","0","0","0","0","0"
"DL","12/06/2023","1279","N108DN","MSP","13:55","13:48","139","120","-7","13:56","8","0","0","0","0","0"
"DL","12/06/2023","1678","N316DN","MSP","06:00","05:46","150","145","-14","06:21","35","0","0","0","0","0"
"DL","12/06/2023","2677","N3737C","SLC","12:59","12:45","79","68","-14","12:54","9","0","0","0","0","0"
"DL","12/07/2021","2240","N350NA","MSP","14:10","14:10","135","131","0","14:20","10","0","0","0","0","0"
"DL","12/07/2021","2686","N354DN","SLC","06:00","06:00","92","88","0","06:34","34","0","0","0","0","0"
"DL","12/07/2022","2344","N381DZ","MSP","05:50","05:47","150","140","-3","06:13","26","0","0","0","0","0"
"DL","12/07/2022","2686","N346DN","SLC","06:06","05:58","89","89","-8","06:24","26","0","0","0","0","0"
"DL","12/07/2022","2841","N103DY","MSP","14:38","14:26","145","122","-12","14:36","10","0","0","0","0","0"
"DL","12/07/2023","0406","N696DL","ATL","13:38","15:21","223","228","103","15:32","11","103","0","5","0","0"
"DL","12/07/2023","0691","N885DN","SLC","05:45","05:42","95","73","-3","05:50","8","0","0","0","0","0"
"DL","12/07/2023","1279","N326DN","MSP","13:59","13:58","144","127","-1","14:09","11","0","0","0","0","0"
"DL","12/07/2023","1678","N329DN","MSP","06:00","05:52","150","125","-8","06:06","14","0","0","0","0","0"
"DL","12/07/2023","2677","N3760C","SLC","12:35","12:25","87","74","-10","12:37","12","0","0","0","0","0"
"DL","12/08/2021","2240","N320US","MSP","14:10","14:03","135","128","-7","14:18","15","0","0","0","0","0"
"DL","12/08/2021","2686","N383DZ","SLC","06:00","05:53","92","90","-7","06:16","23","0","0","0","0","0"
