Detailed Statistics Departures  
Origin Airport: Bozeman, MT: Bozeman Yellowstone International (BZN)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/01/2021","2045","N421QX","SEA","07:00","06:54","138","131","-6","07:04","10","0","0","0","0","0"
"QX","12/01/2021","2511","N453QX","SEA","13:35","13:30","138","135","-5","13:40","10","0","0","0","0","0"
"QX","12/01/2023","2062","N623QX","SEA","09:00","09:05","121","118","5","09:28","23","0","0","0","0","0"
"QX","12/01/2023","2404","N631QX","PDX","13:45","13:38","110","109","-7","13:52","14","0","0","0","0","0"
"QX","12/02/2021","2043","N426QX","SEA","19:44","19:39","141","150","-5","19:48","9","0","0","0","0","0"
"QX","12/02/2021","2045","N436QX","SEA","07:00","06:54","138","152","-6","07:02","8","0","0","0","0","0"
"QX","12/02/2021","2511","N435QX","SEA","13:35","13:28","138","140","-7","13:41","13","0","0","0","0","0"
"QX","12/02/2023","2062","N657QX","SEA","09:00","08:57","121","113","-3","09:06","9","0","0","0","0","0"
"QX","12/03/2021","2043","N405QX","SEA","19:44","19:39","141","143","-5","19:46","7","0","0","0","0","0"
"QX","12/03/2021","2045","N443QX","SEA","07:00","06:52","138","143","-8","07:00","8","0","0","0","0","0"
"QX","12/03/2021","2511","N447QX","SEA","13:35","13:29","138","141","-6","13:41","12","0","0","0","0","0"
"QX","12/03/2023","2404","N642QX","PDX","13:45","13:35","110","123","-10","13:46","11","0","0","0","0","0"
"QX","12/04/2021","2045","N446QX","SEA","07:00","06:57","138","159","-3","07:19","22","0","0","18","0","0"
"QX","12/04/2021","2511","N443QX","SEA","13:35","13:34","138","148","-1","13:43","9","0","0","0","0","0"
"QX","12/04/2023","2062","N658QX","SEA","09:00","08:54","121","114","-6","09:08","14","0","0","0","0","0"
"QX","12/04/2023","2404","N624QX","PDX","13:45","13:45","110","113","0","14:02","17","0","0","0","0","0"
"QX","12/05/2021","2043","N437QX","SEA","19:44","19:44","141","141","0","20:02","18","0","0","0","0","0"
"QX","12/05/2021","2045","N412QX","SEA","07:00","07:05","138","224","5","08:01","56","0","0","91","0","0"
"QX","12/05/2021","2511","N435QX","SEA","13:35","13:43","138","166","8","13:52","9","0","8","28","0","0"
"QX","12/05/2023","2062","N622QX","SEA","09:00","08:56","121","113","-4","09:07","11","0","0","0","0","0"
"QX","12/06/2021","2043","N422QX","SEA","19:44","20:19","141","143","35","20:41","22","35","0","2","0","0"
"QX","12/06/2021","2045","N403QX","SEA","07:00","06:57","138","139","-3","07:14","17","0","0","0","0","0"
"QX","12/06/2021","2511","N430QX","SEA","13:35","15:34","138","170","119","15:54","20","0","0","32","0","119"
"QX","12/06/2023","2404","N659QX","PDX","13:45","13:32","110","107","-13","13:41","9","0","0","0","0","0"
"QX","12/07/2021","2045","N404QX","SEA","07:00","06:48","138","173","-12","07:42","54","0","0","23","0","0"
"QX","12/07/2021","2511","N442QX","SEA","13:35","13:29","138","126","-6","13:41","12","0","0","0","0","0"
"QX","12/07/2023","2062","N653QX","SEA","09:00","14:38","121","114","338","15:00","22","331","0","0","0","0"
"QX","12/07/2023","2404","N649QX","PDX","13:45","13:44","110","112","-1","13:59","15","0","0","0","0","0"
"QX","12/08/2021","2045","N447QX","SEA","07:00","07:03","138","147","3","07:31","28","0","0","0","0","0"
"QX","12/08/2021","2511","N403QX","SEA","13:35","13:30","138","138","-5","13:40","10","0","0","0","0","0"
"QX","12/08/2023","2062","N628QX","SEA","09:00","08:56","121","135","-4","09:41","45","0","0","0","0","0"
"QX","12/08/2023","2404","N623QX","PDX","13:45","13:37","110","101","-8","13:48","11","0","0","0","0","0"
