Detailed Statistics Departures  
Origin Airport: Bristol/Johnson City/Kingsport, TN: Tri Cities (TRI)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2023","3368","N643RW","DFW","07:19","07:17","174","203","-2","08:02","45","0","0","27","0","0"
"MQ","12/01/2023","3787","N250NN","DFW","16:13","16:05","174","186","-8","16:35","30","0","0","0","0","0"
"MQ","12/02/2023","3368","N234JW","DFW","07:19","07:15","174","179","-4","07:25","10","0","0","0","0","0"
"MQ","12/02/2023","3787","N282NN","DFW","16:13","16:03","174","177","-10","16:15","12","0","0","0","0","0"
"MQ","12/03/2023","3368","N247NN","DFW","07:19","07:17","174","192","-2","07:36","19","0","0","16","0","0"
"MQ","12/03/2023","3787","N251NN","DFW","16:13","16:04","174","193","-9","16:11","7","0","0","0","0","0"
"MQ","12/04/2023","3368","N449YX","DFW","07:19","07:35","174","180","16","07:49","14","16","0","6","0","0"
"MQ","12/04/2023","3787","N273NN","DFW","16:13","16:06","174","191","-7","16:37","31","0","0","0","0","0"
"MQ","12/05/2023","3662","N239NN","DFW","16:08","15:57","175","170","-11","16:06","9","0","0","0","0","0"
"MQ","12/06/2023","3662","N234JW","DFW","16:08","16:05","175","156","-3","16:14","9","0","0","0","0","0"
"MQ","12/07/2023","3662","N258NN","DFW","16:08","16:02","175","164","-6","16:14","12","0","0","0","0","0"
"MQ","12/08/2023","3662","N259NN","DFW","16:08","16:14","175","155","6","16:21","7","0","0","0","0","0"
"MQ","12/09/2023","3662","N210NN","DFW","16:08","16:11","175","179","3","16:19","8","0","0","0","0","0"
"MQ","12/10/2023","3662","N222NS","DFW","16:08","16:05","175","162","-3","16:18","13","0","0","0","0","0"
"MQ","12/11/2023","3662","N259NN","DFW","16:08","16:02","175","161","-6","16:06","4","0","0","0","0","0"
"MQ","12/12/2023","3662","N768RD","DFW","16:08","16:03","175","161","-5","16:10","7","0","0","0","0","0"
"MQ","12/13/2023","3662","N227NN","DFW","16:08","16:05","175","158","-3","16:14","9","0","0","0","0","0"
"MQ","12/14/2023","3662","N260NN","DFW","16:08","16:03","175","147","-5","16:09","6","0","0","0","0","0"
"MQ","12/15/2022","3517","N248NN","DFW","17:55","18:03","172","175","8","18:10","7","0","0","0","0","0"
"MQ","12/15/2023","3662","N255NN","DFW","16:08","16:01","175","171","-7","16:09","8","0","0","0","0","0"
"MQ","12/16/2022","3517","N272NN","DFW","17:55","17:58","172","184","3","18:09","11","3","0","12","0","0"
"MQ","12/16/2023","3662","N276NN","DFW","16:08","16:03","175","154","-5","16:14","11","0","0","0","0","0"
"MQ","12/17/2022","3517","N242NN","DFW","17:55","23:24","172","161","329","23:34","10","243","0","0","0","75"
"MQ","12/17/2023","3662","N275NN","DFW","16:08","15:59","175","144","-9","16:07","8","0","0","0","0","0"
"MQ","12/18/2022","3517","N285NN","DFW","17:55","18:42","172","147","47","18:49","7","0","0","0","0","22"
