Detailed Statistics Departures  
Origin Airport: Bristol/Johnson City/Kingsport, TN: Tri Cities (TRI)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4809","N8694A","ATL","06:00","05:58","72","67","-2","06:21","23","0","0","0","0","0"
"9E","12/01/2021","5083","N330PQ","ATL","12:00","11:55","70","57","-5","12:05","10","0","0","0","0","0"
"9E","12/01/2021","5219","N8933B","ATL","10:06","10:00","70","58","-6","10:13","13","0","0","0","0","0"
"9E","12/01/2021","5502","N8969A","ATL","17:01","17:02","71","56","1","17:12","10","0","0","0","0","0"
"9E","12/01/2022","4861","N836AY","ATL","14:50","14:48","72","58","-2","14:58","10","0","0","0","0","0"
"9E","12/01/2023","5154","N349PQ","ATL","11:07","11:03","78","60","-4","11:13","10","0","0","0","0","0"
"9E","12/01/2023","5535","N176PQ","ATL","16:02","15:50","78","71","-12","16:02","12","0","0","0","0","0"
"9E","12/02/2021","4809","N8933B","ATL","06:00","05:55","72","56","-5","06:08","13","0","0","0","0","0"
"9E","12/02/2021","4954","N8869B","ATL","18:51","18:45","79","59","-6","18:59","14","0","0","0","0","0"
"9E","12/02/2021","5083","N301PQ","ATL","12:00","11:57","70","52","-3","12:08","11","0","0","0","0","0"
"9E","12/02/2021","5219","N833AY","ATL","09:59","09:54","70","56","-5","10:07","13","0","0","0","0","0"
"9E","12/02/2021","5515","N8837B","ATL","15:13","15:08","68","64","-5","15:25","17","0","0","0","0","0"
"9E","12/02/2022","4861","N8946A","ATL","14:50","14:45","72","65","-5","14:58","13","0","0","0","0","0"
"9E","12/02/2023","5154","N480PX","ATL","11:07","11:02","78","65","-5","11:18","16","0","0","0","0","0"
"9E","12/02/2023","5164","N135EV","ATL","14:09","13:53","78","59","-16","14:02","9","0","0","0","0","0"
"9E","12/03/2021","4809","N8836A","ATL","06:00","05:57","72","58","-3","06:11","14","0","0","0","0","0"
"9E","12/03/2021","4954","N8970D","ATL","18:51","18:46","79","62","-5","19:00","14","0","0","0","0","0"
"9E","12/03/2021","5083","N910XJ","ATL","12:00","11:57","70","59","-3","12:07","10","0","0","0","0","0"
"9E","12/03/2021","5219","N833AY","ATL","09:59","09:55","70","63","-4","10:11","16","0","0","0","0","0"
"9E","12/03/2021","5515","N8970D","ATL","15:13","15:08","68","51","-5","15:15","7","0","0","0","0","0"
