Detailed Statistics Departures  
Origin Airport: Bristol/Johnson City/Kingsport, TN: Tri Cities (TRI)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3096","N632SK","DFW","17:42","17:34","174","138","-8","17:42","8","0","0","0","0","0"
"OO","12/01/2021","3229","N630SK","DFW","06:01","06:01","176","163","0","06:17","16","0","0","0","0","0"
"OO","12/01/2022","3027","N656CA","DFW","17:39","17:23","161","172","-16","17:48","25","0","0","0","0","0"
"OO","12/01/2022","3549","N824SK","ATL","18:25","18:20","70","65","-5","18:35","15","0","0","0","0","0"
"OO","12/01/2022","4482","N187PQ","ATL","11:49","11:47","71","65","-2","11:57","10","0","0","0","0","0"
"OO","12/02/2021","3097","N656CA","DFW","17:42","17:33","174","139","-9","17:40","7","0","0","0","0","0"
"OO","12/02/2021","3229","N872DC","DFW","06:01","05:54","176","145","-7","06:06","12","0","0","0","0","0"
"OO","12/02/2022","3027","N611SK","DFW","17:39","17:30","161","155","-9","17:40","10","0","0","0","0","0"
"OO","12/02/2022","3549","N825SK","ATL","18:25","18:22","70","55","-3","18:32","10","0","0","0","0","0"
"OO","12/02/2022","4482","N824SK","ATL","11:49","11:47","71","57","-2","11:57","10","0","0","0","0","0"
"OO","12/03/2021","3097","N631SK","DFW","17:42","18:46","174","149","64","19:02","16","0","0","0","0","39"
"OO","12/03/2021","3229","N870DC","DFW","06:01","05:51","176","142","-10","06:00","9","0","0","0","0","0"
