Detailed Statistics Departures  
Origin Airport: Brownsville, TX: Brownsville South Padre Island International (BRO)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","4649","N603UX","IAH","07:00","06:49","81","84","-11","07:06","17","0","0","0","0","0"
"OO","12/01/2022","3091","N707EV","DFW","10:54","10:49","101","113","-5","11:11","22","0","0","0","0","0"
"OO","12/01/2022","4916","N718EV","DFW","06:00","05:52","101","94","-8","06:06","14","0","0","0","0","0"
"OO","12/01/2022","4971","N732SK","DFW","18:04","17:51","101","103","-13","18:06","15","0","0","0","0","0"
"OO","12/02/2021","4649","N618UX","IAH","07:00","06:49","81","72","-11","06:59","10","0","0","0","0","0"
"OO","12/02/2022","3091","N771SK","DFW","10:54","11:18","101","98","24","11:28","10","0","21","0","0","0"
"OO","12/02/2022","4916","N716SK","DFW","06:00","05:52","101","108","-8","06:09","17","0","0","0","0","0"
"OO","12/02/2022","4971","N720EV","DFW","18:04","18:02","101","139","-2","18:51","49","36","0","0","0","0"
"OO","12/03/2021","4649","N131SY","IAH","07:00","06:52","81","79","-8","07:06","14","0","0","0","0","0"
"OO","12/03/2022","3091","N703SK","DFW","10:54","11:26","101","96","32","11:37","11","0","27","0","0","0"
"OO","12/03/2022","4916","N760SK","DFW","06:00","00:00","101","0","0","00:00","0","0","0","0","0","0"
"OO","12/04/2021","4649","N613UX","IAH","07:00","06:52","81","68","-8","07:00","8","0","0","0","0","0"
"OO","12/04/2022","3091","N724SK","DFW","10:54","10:44","101","104","-10","10:59","15","0","0","0","0","0"
"OO","12/04/2022","4916","N719EV","DFW","06:00","05:53","101","91","-7","06:07","14","0","0","0","0","0"
"OO","12/04/2022","4971","N776SK","DFW","18:04","17:52","101","96","-12","18:04","12","0","0","0","0","0"
"OO","12/05/2022","3091","N740SK","DFW","10:54","10:56","101","111","2","11:16","20","0","0","0","0","0"
"OO","12/05/2022","4916","N741EV","DFW","06:00","05:48","101","102","-12","06:06","18","0","0","0","0","0"
"OO","12/05/2022","4971","N703SK","DFW","18:04","17:56","101","99","-8","18:10","14","0","0","0","0","0"
"OO","12/06/2021","4649","N205SY","IAH","07:00","06:54","81","69","-6","07:03","9","0","0","0","0","0"
"OO","12/06/2022","3091","N768SK","DFW","10:54","10:44","101","115","-10","11:18","34","0","0","0","0","0"
"OO","12/06/2022","4916","N730EV","DFW","06:00","05:52","101","97","-8","06:05","13","0","0","0","0","0"
"OO","12/06/2022","4971","N712SK","DFW","18:04","17:55","101","90","-9","18:03","8","0","0","0","0","0"
"OO","12/07/2021","4649","N607UX","IAH","07:00","06:52","81","77","-8","07:04","12","0","0","0","0","0"
"OO","12/07/2022","3091","N741EV","DFW","10:54","10:46","101","91","-8","10:59","13","0","0","0","0","0"
"OO","12/07/2022","4916","N702SK","DFW","06:00","05:56","101","105","-4","06:12","16","0","0","0","0","0"
"OO","12/07/2022","4971","N710SK","DFW","18:04","18:03","101","129","-1","18:17","14","27","0","0","0","0"
"OO","12/08/2021","4649","N605UX","IAH","07:00","06:58","81","74","-2","07:08","10","0","0","0","0","0"
"OO","12/08/2022","3091","N751EV","DFW","10:54","12:54","101","89","120","13:03","9","108","0","0","0","0"
"OO","12/08/2022","4916","N709SK","DFW","06:00","05:50","101","96","-10","06:03","13","0","0","0","0","0"
"OO","12/08/2022","4971","N630SK","DFW","18:04","17:53","101","100","-11","18:05","12","0","0","0","0","0"
"OO","12/09/2021","4649","N610UX","IAH","07:00","06:56","81","74","-4","07:07","11","0","0","0","0","0"
"OO","12/09/2022","3091","N658CA","DFW","10:54","10:42","101","108","-12","10:51","9","0","0","0","0","0"
"OO","12/09/2022","4916","N746SK","DFW","06:00","05:54","101","86","-6","06:04","10","0","0","0","0","0"
"OO","12/09/2022","4971","N715SK","DFW","18:04","17:59","101","89","-5","18:10","11","0","0","0","0","0"
"OO","12/10/2021","4649","N619UX","IAH","07:00","06:51","81","64","-9","06:58","7","0","0","0","0","0"
"OO","12/10/2022","3091","N715SK","DFW","10:54","10:51","101","97","-3","11:04","13","0","0","0","0","0"
"OO","12/10/2022","4916","N707EV","DFW","06:00","05:53","101","95","-7","06:05","12","0","0","0","0","0"
"OO","12/11/2021","4649","N619UX","IAH","07:00","06:50","81","73","-10","06:59","9","0","0","0","0","0"
