Detailed Statistics Departures  
Origin Airport: Albuquerque, NM: Albuquerque International Sunport (ABQ)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","1157","N290AK","SEA","07:45","07:49","210","181","4","08:01","12","0","0","0","0","0"
"AS","12/01/2022","0078","N419AS","PDX","19:50","19:48","186","183","-2","20:01","13","0","0","0","0","0"
"AS","12/01/2022","0738","N525AS","SEA","17:00","17:01","207","194","1","17:22","21","0","0","0","0","0"
"AS","12/01/2023","0655","N468AS","SEA","18:53","18:48","201","193","-5","19:04","16","0","0","0","0","0"
"AS","12/02/2021","1157","N270AK","SEA","07:45","07:44","210","191","-1","07:56","12","0","0","0","0","0"
"AS","12/02/2022","0078","N973AK","PDX","19:50","20:17","186","191","27","20:36","19","0","0","5","0","27"
"AS","12/02/2022","0738","N596AS","SEA","17:00","17:33","207","211","33","17:57","24","33","0","4","0","0"
"AS","12/02/2023","0655","N492AS","SEA","18:53","18:32","201","213","-21","18:44","12","0","0","0","0","0"
"AS","12/03/2021","1157","N467AS","SEA","07:45","07:54","210","209","9","08:26","32","0","0","0","0","0"
"AS","12/03/2022","0078","N323AS","PDX","19:25","20:40","186","207","75","21:25","45","0","0","21","0","75"
"AS","12/03/2022","0738","N559AS","SEA","17:00","17:08","207","182","8","17:19","11","0","0","0","0","0"
"AS","12/03/2023","0655","N260AK","SEA","18:53","18:42","201","203","-11","18:52","10","0","0","0","0","0"
"AS","12/04/2021","1157","N303AS","SEA","07:45","07:51","210","189","6","08:00","9","0","0","0","0","0"
"AS","12/04/2022","0078","N492AS","PDX","20:10","19:46","186","194","-24","20:12","26","0","0","0","0","0"
"AS","12/04/2022","0738","N931AK","SEA","17:00","18:22","207","265","82","19:13","51","0","3","58","0","79"
"AS","12/04/2023","0655","N419AS","SEA","18:53","18:54","201","197","1","19:07","13","0","0","0","0","0"
