Detailed Statistics Departures  
Origin Airport: Buffalo, NY: Buffalo Niagara International (BUF)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4694","N295PQ","LGA","10:37","10:32","79","75","-5","10:42","10","0","0","0","0","0"
"9E","12/01/2021","4964","N176PQ","JFK","19:38","19:33","81","78","-5","19:44","11","0","0","0","0","0"
"9E","12/01/2021","5038","N604LR","JFK","05:45","05:44","95","74","-1","05:57","13","0","0","0","0","0"
"9E","12/01/2021","5292","N932XJ","LGA","14:15","14:11","80","70","-4","14:21","10","0","0","0","0","0"
"9E","12/01/2021","5366","N307PQ","DTW","10:27","10:20","78","61","-7","10:31","11","0","0","0","0","0"
"9E","12/01/2021","5429","N925XJ","LGA","06:00","05:58","85","89","-2","06:15","17","0","0","0","0","0"
"9E","12/01/2021","5522","N925XJ","LGA","15:15","15:43","85","70","28","15:57","14","0","0","0","0","0"
"9E","12/01/2021","5528","N298PQ","JFK","11:30","11:26","82","80","-4","11:41","15","0","0","0","0","0"
"9E","12/01/2021","5533","N922XJ","LGA","18:59","18:50","80","86","-9","19:00","10","0","0","0","0","0"
"9E","12/01/2022","4759","N134EV","LGA","05:45","00:00","89","0","0","00:00","0","0","0","0","0","0"
"9E","12/01/2022","4897","N232PQ","LGA","16:00","16:00","87","85","0","16:17","17","0","0","0","0","0"
"9E","12/01/2022","4983","N933XJ","JFK","05:16","05:11","104","100","-5","05:42","31","0","0","0","0","0"
"9E","12/01/2022","5052","N132EV","LGA","13:35","13:30","84","69","-5","13:40","10","0","0","0","0","0"
"9E","12/01/2022","5057","N326PQ","JFK","14:45","14:44","100","80","-1","14:56","12","0","0","0","0","0"
"9E","12/01/2022","5140","N604LR","LGA","19:10","19:05","80","99","-5","19:21","16","0","0","0","0","0"
"9E","12/01/2022","5266","N134EV","LGA","09:44","09:42","85","82","-2","10:00","18","0","0","0","0","0"
"9E","12/01/2022","5270","N137EV","JFK","11:20","11:35","99","73","15","11:50","15","0","0","0","0","0"
"9E","12/01/2022","5274","N691CA","JFK","19:52","19:47","97","88","-5","19:59","12","0","0","0","0","0"
"9E","12/01/2023","5043","N335PQ","JFK","19:10","19:05","105","88","-5","19:14","9","0","0","0","0","0"
"9E","12/01/2023","5059","N309PQ","LGA","11:18","11:14","90","74","-4","11:29","15","0","0","0","0","0"
"9E","12/01/2023","5064","N907XJ","JFK","05:20","05:15","100","88","-5","05:26","11","0","0","0","0","0"
"9E","12/01/2023","5148","N329PQ","LGA","06:00","06:12","96","94","12","06:22","10","0","0","0","0","0"
"9E","12/01/2023","5255","N303PQ","DTW","17:55","17:54","83","73","-1","18:10","16","0","0","0","0","0"
"9E","12/01/2023","5471","N604LR","JFK","10:25","11:09","100","93","44","11:30","21","0","0","0","0","37"
"9E","12/01/2023","5474","N902XJ","LGA","17:00","16:55","89","73","-5","17:06","11","0","0","0","0","0"
"9E","12/02/2021","4694","N147PQ","LGA","10:37","10:27","79","86","-10","10:37","10","0","0","0","0","0"
"9E","12/02/2021","4964","N313PQ","JFK","19:38","19:37","81","78","-1","19:47","10","0","0","0","0","0"
"9E","12/02/2021","5038","N176PQ","JFK","05:45","05:40","95","69","-5","05:51","11","0","0","0","0","0"
"9E","12/02/2021","5292","N232PQ","LGA","14:15","14:10","80","70","-5","14:19","9","0","0","0","0","0"
"9E","12/02/2021","5366","N390CA","DTW","10:27","10:25","78","77","-2","10:34","9","0","0","0","0","0"
"9E","12/02/2021","5429","N918XJ","LGA","06:00","05:56","85","71","-4","06:06","10","0","0","0","0","0"
"9E","12/02/2021","5522","N915XJ","LGA","15:15","15:04","85","85","-11","15:28","24","0","0","0","0","0"
"9E","12/02/2021","5528","N907XJ","JFK","11:30","11:24","82","77","-6","11:35","11","0","0","0","0","0"
"9E","12/02/2021","5533","N916XJ","LGA","18:59","18:53","80","92","-6","19:10","17","0","0","0","0","0"
"9E","12/02/2022","4759","N914XJ","LGA","05:45","05:54","89","73","9","06:06","12","0","0","0","0","0"
"9E","12/02/2022","4897","N607LR","LGA","16:00","15:57","87","72","-3","16:08","11","0","0","0","0","0"
"9E","12/02/2022","4983","N933XJ","JFK","05:16","05:22","104","81","6","05:39","17","0","0","0","0","0"
"9E","12/02/2022","5052","N228PQ","LGA","13:35","13:30","84","75","-5","13:41","11","0","0","0","0","0"
"9E","12/02/2022","5057","N906XJ","JFK","14:45","14:43","100","80","-2","14:59","16","0","0","0","0","0"
"9E","12/02/2022","5140","N310PQ","LGA","19:10","19:04","80","86","-6","19:18","14","0","0","0","0","0"
"9E","12/02/2022","5266","N655CA","LGA","09:44","09:41","85","70","-3","09:52","11","0","0","0","0","0"
"9E","12/02/2022","5270","N676CA","JFK","11:20","11:12","99","95","-8","11:26","14","0","0","0","0","0"
"9E","12/02/2022","5274","N691CA","JFK","19:52","19:47","97","86","-5","19:56","9","0","0","0","0","0"
"9E","12/02/2023","5043","N335PQ","JFK","19:10","19:00","105","84","-10","19:09","9","0","0","0","0","0"
"9E","12/02/2023","5055","N490PX","LGA","14:05","14:00","90","85","-5","14:23","23","0","0","0","0","0"
"9E","12/02/2023","5064","N305PQ","JFK","05:20","05:15","100","102","-5","05:28","13","0","0","0","0","0"
"9E","12/02/2023","5255","N272PQ","DTW","17:55","17:44","83","80","-11","18:09","25","0","0","0","0","0"
"9E","12/02/2023","5369","N915XJ","LGA","07:00","06:55","94","73","-5","07:10","15","0","0","0","0","0"
"9E","12/02/2023","5471","N336PQ","JFK","10:25","10:20","100","103","-5","10:34","14","0","0","0","0","0"
"9E","12/03/2021","4694","N297PQ","LGA","10:37","10:34","79","85","-3","10:45","11","0","0","0","0","0"
"9E","12/03/2021","4964","N311PQ","JFK","19:38","19:33","81","81","-5","19:46","13","0","0","0","0","0"
"9E","12/03/2021","5038","N313PQ","JFK","05:45","05:40","95","68","-5","05:54","14","0","0","0","0","0"
"9E","12/03/2021","5292","N478PX","LGA","14:15","14:13","80","75","-2","14:25","12","0","0","0","0","0"
"9E","12/03/2021","5366","N668CA","DTW","10:27","10:22","78","77","-5","10:31","9","0","0","0","0","0"
"9E","12/03/2021","5429","N925XJ","LGA","06:00","05:56","85","84","-4","06:15","19","0","0","0","0","0"
"9E","12/03/2021","5522","N904XJ","LGA","15:15","15:22","85","74","7","15:30","8","0","0","0","0","0"
"9E","12/03/2021","5528","N293PQ","JFK","11:30","11:26","82","66","-4","11:35","9","0","0","0","0","0"
"9E","12/03/2021","5533","N606LR","LGA","18:59","19:19","80","63","20","19:29","10","0","0","0","0","0"
"9E","12/03/2022","4759","N478PX","LGA","07:00","06:55","89","75","-5","07:11","16","0","0","0","0","0"
"9E","12/03/2022","4983","N183GJ","JFK","05:16","05:11","104","90","-5","05:25","14","0","0","0","0","0"
"9E","12/03/2022","5057","N182GJ","JFK","14:45","14:38","100","88","-7","14:53","15","0","0","0","0","0"
"9E","12/03/2022","5268","N367CA","LGA","13:35","13:30","84","67","-5","13:40","10","0","0","0","0","0"
"9E","12/03/2022","5270","N153PQ","JFK","11:20","11:52","99","98","32","12:07","15","14","0","0","0","17"
"9E","12/03/2022","5274","N929XJ","JFK","19:52","19:45","97","87","-7","19:55","10","0","0","0","0","0"
"9E","12/03/2023","5043","N153PQ","JFK","19:10","19:41","105","89","31","19:55","14","0","4","0","0","11"
"9E","12/03/2023","5059","N915XJ","LGA","07:50","07:45","98","87","-5","08:00","15","0","0","0","0","0"
"9E","12/03/2023","5064","N301PQ","JFK","05:20","05:19","100","100","-1","05:41","22","0","0","0","0","0"
"9E","12/03/2023","5255","N136EV","DTW","17:55","17:49","83","66","-6","18:04","15","0","0","0","0","0"
"9E","12/03/2023","5369","N335PQ","LGA","06:00","05:56","96","86","-4","06:17","21","0","0","0","0","0"
"9E","12/03/2023","5471","N310PQ","JFK","10:25","10:20","100","90","-5","10:41","21","0","0","0","0","0"
