Detailed Statistics Departures  
Origin Airport: Buffalo, NY: Buffalo Niagara International (BUF)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","0911","N206FR","RSW","15:13","15:00","195","180","-13","15:13","13","0","0","0","0","0"
"F9","12/01/2021","1039","N336FR","MCO","11:13","11:03","177","199","-10","11:13","10","0","0","0","0","0"
"F9","12/01/2021","2501","N358FR","TPA","09:48","09:44","187","171","-4","09:58","14","0","0","0","0","0"
"F9","12/01/2022","0451","N378FR","DEN","11:28","11:34","232","218","6","11:44","10","0","0","0","0","0"
"F9","12/01/2022","1039","N603FR","MCO","13:27","13:30","177","162","3","13:42","12","0","0","0","0","0"
"F9","12/01/2022","1979","N351FR","LAS","09:24","09:14","318","335","-10","09:31","17","0","0","0","0","0"
"F9","12/01/2022","2501","N721FR","TPA","05:20","05:51","177","196","31","06:38","47","31","0","19","0","0"
"F9","12/01/2023","1691","N701FR","MCO","20:31","20:56","181","160","25","21:03","7","0","0","0","0","0"
"F9","12/01/2023","2395","N701FR","RSW","12:17","12:09","192","185","-8","12:20","11","0","0","0","0","0"
"F9","12/02/2021","0911","N373FR","RSW","16:02","16:21","193","163","19","16:32","11","0","0","0","0","0"
"F9","12/02/2021","1039","N307FR","MCO","11:13","11:25","177","157","12","11:47","22","0","0","0","0","0"
"F9","12/02/2021","2501","N360FR","TPA","17:45","17:35","185","167","-10","18:04","29","0","0","0","0","0"
