Detailed Statistics Departures  
Origin Airport: Buffalo, NY: Buffalo Niagara International (BUF)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5138","N509AE","DCA","17:06","17:05","84","75","-1","17:19","14","0","0","0","0","0"
"OH","12/01/2021","5183","N542EA","DCA","11:38","11:46","80","65","8","11:56","10","0","0","0","0","0"
"OH","12/01/2021","5445","N570NN","PHL","11:28","11:19","82","76","-9","11:31","12","0","0","0","0","0"
"OH","12/01/2021","5469","N501BG","DCA","05:32","05:24","87","76","-8","05:36","12","0","0","0","0","0"
"OH","12/01/2022","5138","N593NN","DCA","17:45","18:04","82","80","19","18:21","17","0","0","0","0","17"
"OH","12/01/2022","5183","N519AE","DCA","11:54","12:30","85","68","36","12:41","11","0","0","0","0","19"
"OH","12/01/2022","5469","N521AE","DCA","05:25","05:27","88","85","2","05:57","30","0","0","0","0","0"
"OH","12/01/2023","5138","N524AE","DCA","17:36","17:39","82","77","3","17:51","12","0","0","0","0","0"
"OH","12/01/2023","5212","N607NN","PHL","16:24","16:17","79","103","-7","17:05","48","0","0","17","0","0"
"OH","12/01/2023","5213","N540EG","DCA","12:36","12:27","82","93","-9","12:43","16","0","0","0","0","0"
"OH","12/01/2023","5645","N607NN","PHL","12:32","12:25","79","73","-7","12:36","11","0","0","0","0","0"
"OH","12/02/2021","5093","N598NN","PHL","07:01","00:00","92","0","0","00:00","0","0","0","0","0","0"
"OH","12/02/2021","5138","N533AE","DCA","17:06","17:02","84","82","-4","17:19","17","0","0","0","0","0"
"OH","12/02/2021","5183","N545PB","DCA","11:38","11:39","80","72","1","11:54","15","0","0","0","0","0"
"OH","12/02/2021","5445","N559NN","PHL","11:28","11:29","82","87","1","11:43","14","0","0","0","0","0"
"OH","12/02/2021","5469","N712PS","DCA","05:32","05:29","87","72","-3","05:42","13","0","0","0","0","0"
"OH","12/02/2022","5138","N570NN","DCA","17:45","17:38","82","104","-7","17:56","18","0","0","15","0","0"
"OH","12/02/2022","5183","N527EA","DCA","11:54","11:48","85","84","-6","12:12","24","0","0","0","0","0"
"OH","12/02/2022","5469","N544EA","DCA","05:25","05:12","88","71","-13","05:26","14","0","0","0","0","0"
"OH","12/02/2023","5212","N609NN","PHL","16:24","16:17","79","96","-7","16:32","15","0","0","0","0","0"
"OH","12/02/2023","5213","N542EA","DCA","12:42","12:36","82","77","-6","12:49","13","0","0","0","0","0"
"OH","12/02/2023","5469","N591NN","DCA","06:17","06:10","87","100","-7","06:30","20","0","0","0","0","0"
"OH","12/02/2023","5645","N609NN","PHL","12:32","12:21","79","82","-11","12:42","21","0","0","0","0","0"
"OH","12/03/2021","5093","N565NN","PHL","07:01","07:12","92","67","11","07:26","14","0","0","0","0","0"
"OH","12/03/2021","5138","N710PS","DCA","17:06","22:17","84","69","311","22:35","18","10","0","0","0","286"
"OH","12/03/2021","5183","N712PS","DCA","11:38","13:01","80","74","83","13:12","11","1","0","0","0","76"
"OH","12/03/2021","5445","N575NN","PHL","11:28","11:26","82","77","-2","11:43","17","0","0","0","0","0"
"OH","12/03/2021","5469","N516AE","DCA","05:32","05:56","87","72","24","06:09","13","0","0","0","0","0"
"OH","12/03/2022","5183","N529EA","DCA","11:33","11:31","86","104","-2","11:44","13","0","0","16","0","0"
"OH","12/03/2022","5388","N571NN","CLT","14:05","14:11","122","106","6","14:24","13","0","0","0","0","0"
"OH","12/03/2022","5469","N500AE","DCA","06:23","06:18","88","79","-5","06:33","15","0","0","0","0","0"
"OH","12/03/2023","5138","N504AE","DCA","17:38","19:37","82","79","119","19:52","15","0","0","77","0","39"
"OH","12/03/2023","5212","N609NN","PHL","16:24","16:27","79","119","3","17:30","63","0","3","40","0","0"
"OH","12/03/2023","5645","N609NN","PHL","12:32","12:37","79","79","5","12:54","17","0","0","0","0","0"
"OH","12/04/2021","5093","N571NN","PHL","07:01","08:51","92","79","110","09:07","16","97","0","0","0","0"
"OH","12/04/2021","5183","N533AE","DCA","11:38","11:49","80","71","11","12:07","18","0","0","0","0","0"
"OH","12/04/2021","5469","N523AE","DCA","06:34","06:33","86","75","-1","06:48","15","0","0","0","0","0"
"OH","12/04/2022","5138","N587NN","DCA","17:45","17:44","82","77","-1","17:56","12","0","0","0","0","0"
"OH","12/04/2022","5183","N568NN","DCA","12:00","11:54","79","78","-6","12:10","16","0","0","0","0","0"
"OH","12/04/2022","5469","N606NN","DCA","06:30","06:25","82","82","-5","06:51","26","0","0","0","0","0"
"OH","12/04/2023","5138","N705PS","DCA","17:36","17:24","82","102","-12","17:57","33","0","0","0","0","0"
"OH","12/04/2023","5212","N610NN","PHL","16:24","16:12","79","86","-12","16:30","18","0","0","0","0","0"
"OH","12/04/2023","5213","N529EA","DCA","12:36","12:23","82","75","-13","12:35","12","0","0","0","0","0"
"OH","12/04/2023","5645","N610NN","PHL","12:32","12:34","79","72","2","12:45","11","0","0","0","0","0"
