Detailed Statistics Departures  
Origin Airport: Buffalo, NY: Buffalo Niagara International (BUF)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2021","3431","N648RW","EWR","14:00","13:59","90","87","-1","14:10","11","0","0","0","0","0"
"YX","12/01/2021","3688","N643RW","EWR","06:25","06:21","93","90","-4","06:32","11","0","0","0","0","0"
"YX","12/01/2022","3403","N633RW","EWR","16:00","15:54","96","68","-6","16:05","11","0","0","0","0","0"
"YX","12/01/2022","4382","N424YX","PHL","05:55","05:47","85","73","-8","06:06","19","0","0","0","0","0"
"YX","12/01/2022","4517","N424YX","PHL","16:15","16:08","85","71","-7","16:20","12","0","0","0","0","0"
"YX","12/01/2023","3403","N751YX","EWR","13:53","13:49","97","79","-4","14:02","13","0","0","0","0","0"
"YX","12/01/2023","3621","N741YX","EWR","18:35","18:26","95","100","-9","18:35","9","0","0","0","0","0"
"YX","12/01/2023","4259","N112HQ","DCA","05:24","05:22","86","83","-2","05:38","16","0","0","0","0","0"
"YX","12/01/2023","4496","N426YX","LGA","16:21","16:15","88","72","-6","16:28","13","0","0","0","0","0"
"YX","12/01/2023","4616","N418YX","PHL","06:00","05:52","86","70","-8","06:02","10","0","0","0","0","0"
"YX","12/01/2023","4737","N445YX","LGA","06:00","05:54","89","72","-6","06:07","13","0","0","0","0","0"
"YX","12/02/2021","3431","N864RW","EWR","14:00","13:53","90","90","-7","14:08","15","0","0","0","0","0"
"YX","12/02/2021","3688","N638RW","EWR","06:25","06:18","93","90","-7","06:37","19","0","0","0","0","0"
"YX","12/02/2022","3403","N639RW","EWR","16:00","15:53","96","81","-7","16:07","14","0","0","0","0","0"
"YX","12/02/2022","3569","N752YX","EWR","12:54","12:48","96","84","-6","13:02","14","0","0","0","0","0"
"YX","12/02/2022","4382","N424YX","PHL","05:55","05:49","85","68","-6","05:58","9","0","0","0","0","0"
"YX","12/02/2022","4517","N420YX","PHL","16:15","16:07","85","71","-8","16:16","9","0","0","0","0","0"
"YX","12/02/2023","3621","N758YX","EWR","17:37","17:37","95","95","0","17:50","13","0","0","0","0","0"
"YX","12/02/2023","4496","N138HQ","LGA","16:45","16:35","89","72","-10","16:47","12","0","0","0","0","0"
"YX","12/02/2023","4611","N132HQ","MIA","05:45","05:41","198","192","-4","05:53","12","0","0","0","0","0"
"YX","12/02/2023","4616","N405YX","PHL","06:00","05:52","86","79","-8","06:07","15","0","0","0","0","0"
"YX","12/02/2023","4623","N117HQ","ORD","16:53","16:46","123","112","-7","16:57","11","0","0","0","0","0"
"YX","12/03/2021","3431","N863RW","EWR","14:00","14:00","90","117","0","14:13","13","0","0","27","0","0"
"YX","12/03/2021","3688","N723YX","EWR","06:25","06:55","93","65","30","07:03","8","0","0","0","0","0"
"YX","12/03/2021","3718","N654RW","EWR","20:25","20:21","93","67","-4","20:28","7","0","0","0","0","0"
"YX","12/03/2022","4382","N420YX","PHL","05:55","05:52","85","80","-3","06:05","13","0","0","0","0","0"
"YX","12/03/2023","3621","N654RW","EWR","18:35","18:31","95","120","-4","18:55","24","0","0","21","0","0"
"YX","12/03/2023","4259","N131HQ","DCA","05:47","05:45","86","79","-2","05:54","9","0","0","0","0","0"
"YX","12/03/2023","4496","N119HQ","LGA","16:21","16:34","88","105","13","17:10","36","0","3","17","0","10"
"YX","12/03/2023","4526","N109HQ","LGA","06:40","06:32","88","77","-8","06:44","12","0","0","0","0","0"
"YX","12/03/2023","4616","N424YX","PHL","06:00","05:57","86","81","-3","06:14","17","0","0","0","0","0"
"YX","12/04/2021","3420","N652RW","ORD","17:30","17:20","124","115","-10","17:33","13","0","0","0","0","0"
"YX","12/04/2021","4957","N431YX","ORD","13:27","13:26","118","118","-1","13:43","17","0","0","0","0","0"
"YX","12/04/2022","3403","N723YX","EWR","16:00","17:20","96","88","80","17:33","13","1","0","0","0","71"
"YX","12/04/2022","3419","N744YX","EWR","18:00","17:58","90","91","-2","18:09","11","0","0","0","0","0"
"YX","12/04/2022","4382","N431YX","PHL","05:55","05:46","85","71","-9","06:06","20","0","0","0","0","0"
"YX","12/04/2022","4517","N114HQ","PHL","16:15","16:08","85","80","-7","16:26","18","0","0","0","0","0"
"YX","12/04/2023","3403","N761YX","EWR","13:53","13:50","97","77","-3","14:00","10","0","0","0","0","0"
"YX","12/04/2023","3621","N638RW","EWR","18:35","18:35","95","77","0","18:45","10","0","0","0","0","0"
