Detailed Statistics Departures  
Origin Airport: Buffalo, NY: Buffalo Niagara International (BUF)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3002","N604SK","ORD","15:44","15:50","119","104","6","16:00","10","0","0","0","0","0"
"OO","12/01/2023","3700","N307SY","JFK","14:30","14:22","98","97","-8","14:36","14","0","0","0","0","0"
"OO","12/01/2023","4647","N202SY","ORD","17:50","17:48","125","132","-2","18:15","27","0","0","0","0","0"
"OO","12/02/2021","3002","N712SK","ORD","15:44","15:39","119","117","-5","15:59","20","0","0","0","0","0"
"OO","12/02/2023","3700","N250SY","JFK","14:30","14:27","98","82","-3","14:38","11","0","0","0","0","0"
"OO","12/02/2023","4647","N132SY","ORD","17:50","17:49","125","129","-1","18:07","18","0","0","0","0","0"
"OO","12/03/2021","3002","N705SK","ORD","15:44","15:43","119","127","-1","15:58","15","0","0","0","0","0"
"OO","12/03/2023","3700","N317SY","JFK","14:30","14:29","98","81","-1","14:40","11","0","0","0","0","0"
"OO","12/03/2023","4647","N167SY","ORD","17:50","18:58","125","109","68","19:09","11","0","0","0","0","52"
"OO","12/04/2021","3002","N706SK","ORD","15:44","16:23","119","108","39","16:37","14","0","0","0","0","28"
"OO","12/04/2023","3700","N614CZ","JFK","14:30","14:37","98","91","7","14:50","13","0","0","0","0","0"
"OO","12/04/2023","4647","N161SY","ORD","17:50","17:43","125","140","-7","17:59","16","0","0","0","0","0"
"OO","12/05/2021","3002","N603SK","ORD","15:44","16:58","119","135","74","17:20","22","0","0","0","0","90"
"OO","12/05/2021","3968","N897SK","DTW","12:20","12:16","80","71","-4","12:25","9","0","0","0","0","0"
"OO","12/05/2021","4763","N153SY","ORD","07:00","06:53","125","147","-7","07:30","37","15","0","0","0","0"
"OO","12/05/2023","3700","N293SY","JFK","14:30","14:25","98","98","-5","14:52","27","0","0","0","0","0"
"OO","12/05/2023","4647","N161SY","ORD","17:50","17:49","125","133","-1","18:33","44","0","0","0","0","0"
"OO","12/06/2021","3002","N504SY","ORD","15:44","15:36","119","108","-8","15:48","12","0","0","0","0","0"
"OO","12/06/2021","3968","N162PQ","DTW","12:20","12:16","80","84","-4","12:32","16","0","0","0","0","0"
"OO","12/06/2021","4148","N827SK","DTW","06:01","06:00","87","64","-1","06:09","9","0","0","0","0","0"
"OO","12/06/2023","3700","N271SY","JFK","14:30","14:26","98","83","-4","14:37","11","0","0","0","0","0"
"OO","12/06/2023","4647","N135SY","ORD","17:50","17:50","125","111","0","18:02","12","0","0","0","0","0"
"OO","12/07/2021","3002","N502SY","ORD","15:44","15:57","119","125","13","16:21","24","0","0","0","0","19"
"OO","12/07/2021","4002","N693CA","DTW","12:20","12:26","80","96","6","13:04","38","22","0","0","0","0"
"OO","12/07/2021","4148","N549CA","DTW","06:01","06:01","87","67","0","06:11","10","0","0","0","0","0"
"OO","12/07/2023","3700","N614CZ","JFK","14:50","14:40","108","87","-10","14:54","14","0","0","0","0","0"
"OO","12/07/2023","4647","N207SY","ORD","17:50","17:47","125","110","-3","17:58","11","0","0","0","0","0"
"OO","12/08/2021","3002","N614QX","ORD","15:44","15:43","119","144","-1","16:34","51","24","0","0","0","0"
"OO","12/08/2021","4002","N897SK","DTW","12:20","13:39","80","97","79","14:23","44","96","0","0","0","0"
"OO","12/08/2021","4148","N692CA","DTW","06:01","05:57","87","101","-4","06:35","38","0","0","0","0","0"
"OO","12/08/2023","3700","N293SY","JFK","14:50","15:03","108","97","13","15:28","25","0","0","0","0","0"
"OO","12/08/2023","4647","N160SY","ORD","17:50","17:47","125","179","-3","18:44","57","0","0","51","0","0"
"OO","12/09/2021","3002","N751SK","ORD","15:44","15:39","119","112","-5","15:54","15","0","0","0","0","0"
"OO","12/09/2021","3968","N825SK","DTW","12:20","14:19","80","64","119","14:33","14","103","0","0","0","0"
"OO","12/09/2021","4148","N825SK","DTW","06:01","06:00","87","85","-1","06:36","36","0","0","0","0","0"
"OO","12/09/2023","3700","N320SY","JFK","14:50","14:43","108","84","-7","14:58","15","0","0","0","0","0"
