Detailed Statistics Departures  
Origin Airport: Burbank, CA: Bob Hope (BUR)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","0526","N353FR","DEN","13:09","12:53","152","147","-16","13:04","11","0","0","0","0","0"
"F9","12/01/2021","1982","N370FR","LAS","09:51","09:45","72","75","-6","10:03","18","0","0","0","0","0"
"F9","12/02/2021","0752","N358FR","PHX","10:18","11:36","96","98","78","12:03","27","0","0","2","0","78"
"F9","12/02/2021","1984","N317FR","LAS","19:20","19:40","72","67","20","19:56","16","0","0","0","0","15"
"F9","12/02/2022","1984","N305FR","LAS","09:10","09:34","77","59","24","09:44","10","0","0","0","0","0"
"F9","12/03/2021","0526","N375FR","DEN","13:16","13:11","152","154","-5","13:41","30","0","0","0","0","0"
"F9","12/03/2021","1982","N377FR","LAS","11:49","11:49","72","81","0","12:18","29","0","0","0","0","0"
"F9","12/03/2022","1984","N365FR","LAS","08:59","08:49","75","63","-10","09:00","11","0","0","0","0","0"
"F9","12/04/2021","0526","N359FR","DEN","13:08","12:54","152","146","-14","13:07","13","0","0","0","0","0"
"F9","12/04/2021","1982","N356FR","LAS","09:51","09:38","72","75","-13","09:51","13","0","0","0","0","0"
"F9","12/05/2021","0752","N362FR","PHX","10:18","14:14","96","94","236","14:29","15","0","0","0","0","234"
"F9","12/05/2021","1984","N336FR","LAS","21:30","21:44","72","64","14","21:59","15","0","0","0","0","0"
"F9","12/05/2022","1984","N388FR","LAS","09:00","08:49","77","80","-11","09:19","30","0","0","0","0","0"
"F9","12/06/2021","0526","N364FR","DEN","13:17","13:07","147","134","-10","13:25","18","0","0","0","0","0"
"F9","12/06/2021","1982","N329FR","LAS","11:38","11:38","72","71","0","11:56","18","0","0","0","0","0"
"F9","12/07/2021","0752","N313FR","PHX","11:59","11:50","96","89","-9","12:08","18","0","0","0","0","0"
"F9","12/07/2021","1984","N368FR","LAS","21:30","21:20","72","67","-10","21:31","11","0","0","0","0","0"
"F9","12/07/2022","1984","N348FR","LAS","08:59","08:52","75","94","-7","09:33","41","0","0","0","0","0"
"F9","12/08/2021","0526","N353FR","DEN","13:17","13:07","147","133","-10","13:21","14","0","0","0","0","0"
"F9","12/08/2021","1982","N349FR","LAS","09:51","09:41","72","92","-10","10:17","36","0","0","0","0","0"
"F9","12/09/2021","0752","N229FR","PHX","10:18","10:17","96","92","-1","10:35","18","0","0","0","0","0"
