Detailed Statistics Departures  
Origin Airport: Albuquerque, NM: Albuquerque International Sunport (ABQ)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","0380","N762US","DFW","18:38","19:13","111","111","35","19:23","10","0","0","0","0","35"
"AA","12/01/2021","0497","N996NN","DFW","05:00","04:52","110","101","-8","05:04","12","0","0","0","0","0"
"AA","12/01/2021","0938","N854NN","PHX","08:10","08:02","92","70","-8","08:13","11","0","0","0","0","0"
"AA","12/01/2021","0941","N118US","DFW","16:53","17:03","111","104","10","17:13","10","0","0","0","0","0"
"AA","12/01/2021","0942","N868NN","DFW","15:01","16:25","109","95","84","16:35","10","0","0","0","0","70"
"AA","12/01/2021","1670","N8009T","DFW","12:56","12:52","108","105","-4","13:04","12","0","0","0","0","0"
"AA","12/01/2021","1689","N118US","DFW","11:14","12:12","110","102","58","12:25","13","39","0","0","0","11"
"AA","12/01/2021","2335","N992AN","DFW","06:25","06:20","117","101","-5","06:33","13","0","0","0","0","0"
"AA","12/01/2022","0498","N965NN","ORD","08:03","07:56","173","158","-7","08:09","13","0","0","0","0","0"
"AA","12/01/2022","0928","N836NN","DFW","10:49","10:49","104","89","0","11:05","16","0","0","0","0","0"
"AA","12/01/2022","0941","N906NN","DFW","16:44","16:37","104","97","-7","16:51","14","0","0","0","0","0"
"AA","12/01/2022","0942","N946NN","DFW","15:05","15:00","104","103","-5","15:11","11","0","0","0","0","0"
"AA","12/01/2022","1421","N842NN","DFW","08:00","07:53","106","100","-7","08:10","17","0","0","0","0","0"
"AA","12/01/2022","1670","N908NN","DFW","12:52","12:51","104","113","-1","13:13","22","0","0","0","0","0"
"AA","12/01/2022","2335","N825NN","DFW","06:35","06:30","106","105","-5","06:44","14","0","0","0","0","0"
"AA","12/01/2022","2870","N114UW","PHX","11:52","11:53","80","90","1","12:18","25","0","0","0","0","0"
"AA","12/01/2023","0009","N122US","DFW","17:12","17:09","107","102","-3","17:20","11","0","0","0","0","0"
"AA","12/01/2023","0626","N832AW","PHX","06:00","05:57","79","80","-3","06:11","14","0","0","0","0","0"
"AA","12/01/2023","1209","N801NN","DFW","10:54","10:50","108","96","-4","11:06","16","0","0","0","0","0"
"AA","12/01/2023","1211","N830NN","DFW","08:20","08:16","110","97","-4","08:26","10","0","0","0","0","0"
"AA","12/01/2023","1219","N335SN","ORD","13:50","13:44","169","157","-6","14:03","19","0","0","0","0","0"
"AA","12/01/2023","1230","N951NN","DFW","15:15","15:08","108","104","-7","15:21","13","0","0","0","0","0"
"AA","12/01/2023","1231","N850NN","DFW","11:57","12:42","108","102","45","12:56","14","0","0","0","0","39"
"AA","12/01/2023","1803","N832AW","PHX","19:10","18:59","79","100","-11","19:19","20","0","0","0","0","0"
"AA","12/01/2023","2335","N850NN","DFW","06:10","06:05","110","95","-5","06:14","9","0","0","0","0","0"
"AA","12/02/2021","0368","N957AN","DFW","07:45","07:43","115","124","-2","08:19","36","0","0","0","0","0"
"AA","12/02/2021","0380","N9011P","DFW","18:38","18:29","111","99","-9","18:36","7","0","0","0","0","0"
"AA","12/02/2021","0497","N903NN","DFW","05:00","00:00","110","0","0","00:00","0","0","0","0","0","0"
"AA","12/02/2021","0938","N862NN","PHX","08:10","08:00","92","74","-10","08:15","15","0","0","0","0","0"
"AA","12/02/2021","0941","N127UW","DFW","16:53","17:42","111","94","49","17:52","10","0","0","0","0","32"
"AA","12/02/2021","0942","N831NN","DFW","15:01","14:56","109","98","-5","15:08","12","0","0","0","0","0"
