Detailed Statistics Departures  
Origin Airport: Burbank, CA: Bob Hope (BUR)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","5788","N249LR","PHX","12:59","12:50","96","99","-9","13:14","24","0","0","0","0","0"
"YV","12/01/2021","5893","N918FJ","PHX","07:00","06:51","104","104","-9","07:08","17","0","0","0","0","0"
"YV","12/01/2021","5971","N925FJ","PHX","16:37","17:36","98","97","59","17:54","18","0","0","0","0","58"
"YV","12/02/2021","5788","N248LR","PHX","12:59","12:56","96","103","-3","13:13","17","0","0","0","0","0"
"YV","12/02/2021","5971","N946LR","PHX","16:37","16:29","98","103","-8","16:45","16","0","0","0","0","0"
"YV","12/03/2021","5788","N909FJ","PHX","12:59","15:29","96","93","150","15:42","13","0","0","0","0","147"
"YV","12/03/2021","5971","N925FJ","PHX","16:37","16:28","98","94","-9","16:42","14","0","0","0","0","0"
"YV","12/04/2021","5788","N925FJ","PHX","12:59","13:07","96","99","8","13:24","17","0","0","0","0","0"
"YV","12/04/2021","5971","N918FJ","PHX","16:37","16:27","98","90","-10","16:42","15","0","0","0","0","0"
"YV","12/05/2021","5788","N924FJ","PHX","12:59","13:46","96","96","47","14:06","20","0","0","0","0","47"
"YV","12/05/2021","5971","N946LR","PHX","16:37","16:45","98","93","8","17:05","20","0","0","0","0","0"
"YV","12/06/2021","5788","N954LR","PHX","12:59","12:56","96","88","-3","13:12","16","0","0","0","0","0"
"YV","12/06/2021","5971","N947LR","PHX","16:37","16:30","98","88","-7","16:46","16","0","0","0","0","0"
"YV","12/07/2021","5788","N909FJ","PHX","12:59","12:59","96","90","0","13:20","21","0","0","0","0","0"
"YV","12/07/2021","5971","N913FJ","PHX","16:37","16:28","98","94","-9","16:48","20","0","0","0","0","0"
"YV","12/08/2021","5788","N947LR","PHX","12:59","13:51","96","108","52","14:09","18","0","0","12","0","52"
"YV","12/08/2021","5971","N945LR","PHX","16:37","16:25","98","87","-12","16:39","14","0","0","0","0","0"
"YV","12/09/2021","5788","N326MS","PHX","12:59","00:00","96","0","0","00:00","0","0","0","0","0","0"
"YV","12/09/2021","5971","N930LR","PHX","16:37","16:47","98","87","10","17:00","13","0","0","0","0","0"
"YV","12/10/2021","5788","N947LR","PHX","12:59","12:57","96","102","-2","13:13","16","0","0","0","0","0"
"YV","12/10/2021","5971","N930LR","PHX","16:37","16:33","98","95","-4","16:55","22","0","0","0","0","0"
"YV","12/11/2021","5788","N908FJ","PHX","12:59","12:49","96","87","-10","13:04","15","0","0","0","0","0"
"YV","12/11/2021","5971","N958LR","PHX","16:37","16:28","98","85","-9","16:47","19","0","0","0","0","0"
"YV","12/12/2021","5788","N913FJ","PHX","12:59","15:28","96","90","149","15:45","17","0","0","0","0","143"
"YV","12/12/2021","5971","N910FJ","PHX","16:37","16:31","98","90","-6","16:46","15","0","0","0","0","0"
"YV","12/13/2021","5788","N246LR","PHX","12:59","12:58","96","81","-1","13:19","21","0","0","0","0","0"
"YV","12/13/2021","5971","N957LR","PHX","16:37","16:36","98","81","-1","16:48","12","0","0","0","0","0"
"YV","12/14/2021","5788","N242LR","PHX","12:59","00:00","96","0","0","00:00","0","0","0","0","0","0"
"YV","12/14/2021","5971","N913FJ","PHX","16:37","19:11","98","88","154","19:26","15","7","0","0","0","137"
"YV","12/15/2021","5788","N953LR","PHX","12:59","12:57","96","84","-2","13:14","17","0","0","0","0","0"
"YV","12/15/2021","5971","N913FJ","PHX","16:37","16:30","98","88","-7","16:48","18","0","0","0","0","0"
"YV","12/16/2021","5784","N911FJ","PHX","09:39","09:36","101","91","-3","10:01","25","0","0","0","0","0"
"YV","12/17/2021","5784","N246LR","PHX","09:39","09:35","101","87","-4","09:47","12","0","0","0","0","0"
"YV","12/18/2021","5784","N904FJ","PHX","09:39","09:47","101","97","8","10:10","23","0","0","0","0","0"
"YV","12/20/2021","5784","","PHX","09:39","00:00","101","0","0","00:00","0","0","0","0","0","0"
"YV","12/21/2021","5784","N948LR","PHX","09:39","13:31","101","101","232","13:58","27","0","0","0","0","232"
"YV","12/22/2021","5784","N242LR","PHX","09:39","09:43","101","84","4","09:57","14","0","0","0","0","0"
"YV","12/23/2021","5784","N952LR","PHX","09:39","09:32","101","89","-7","09:54","22","0","0","0","0","0"
"YV","12/28/2021","5784","N242LR","PHX","09:39","09:48","101","100","9","10:17","29","0","0","0","0","0"
"YV","12/29/2021","5784","N953LR","PHX","09:39","09:43","101","79","4","09:55","12","0","0","0","0","0"
"YV","12/30/2021","5784","N939LR","PHX","09:39","09:37","101","80","-2","09:51","14","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
