Detailed Statistics Departures  
Origin Airport: Burlington, VT: Burlington International (BTV)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2023","0304","N804AW","PHL","06:00","05:57","94","83","-3","06:09","12","0","0","0","0","0"
"AA","12/01/2023","0910","N802AW","PHL","16:04","15:58","94","90","-6","16:09","11","0","0","0","0","0"
"AA","12/02/2023","0304","N839AW","PHL","06:00","05:55","94","87","-5","06:09","14","0","0","0","0","0"
"AA","12/03/2023","0304","N775XF","PHL","06:00","05:59","94","102","-1","06:24","25","0","0","0","0","0"
"AA","12/03/2023","0910","N819AW","PHL","16:04","16:00","94","86","-4","16:12","12","0","0","0","0","0"
"AA","12/04/2023","0304","N177XF","PHL","06:00","05:53","94","82","-7","06:05","12","0","0","0","0","0"
"AA","12/04/2023","0910","N818AW","PHL","16:04","15:56","94","113","-8","16:41","45","0","0","0","0","0"
"AA","12/05/2023","2980","N768US","PHL","05:57","06:14","103","102","17","06:51","37","16","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
