Detailed Statistics Departures  
Origin Airport: Burlington, VT: Burlington International (BTV)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","0233","N307JB","JFK","06:00","05:55","85","76","-5","06:13","18","0","0","0","0","0"
"B6","12/01/2021","1633","N258JB","JFK","11:35","11:30","82","83","-5","11:42","12","0","0","0","0","0"
"B6","12/01/2022","0233","N358JB","JFK","06:01","05:59","89","79","-2","06:11","12","0","0","0","0","0"
"B6","12/01/2022","0433","N198JB","JFK","16:05","16:41","85","88","36","17:01","20","2","0","3","0","34"
"B6","12/01/2022","1633","N249JB","JFK","11:09","11:46","81","96","37","12:16","30","8","0","15","0","29"
"B6","12/01/2023","0233","N284JB","JFK","07:27","07:12","93","83","-15","07:22","10","0","0","0","0","0"
"B6","12/01/2023","0433","N339JB","JFK","17:25","01:01","90","78","456","01:14","13","383","0","0","0","61"
"B6","12/02/2021","0233","N323JB","JFK","06:00","05:52","85","91","-8","06:15","23","0","0","0","0","0"
"B6","12/02/2021","1633","N184JB","JFK","11:35","11:28","82","84","-7","11:43","15","0","0","0","0","0"
"B6","12/02/2022","0233","N267JB","JFK","06:01","05:52","89","84","-9","06:16","24","0","0","0","0","0"
"B6","12/02/2022","0433","N334JB","JFK","16:05","15:53","85","74","-12","16:06","13","0","0","0","0","0"
"B6","12/02/2022","1633","N337JB","JFK","11:09","10:59","81","77","-10","11:08","9","0","0","0","0","0"
"B6","12/02/2023","0233","N265JB","JFK","07:27","07:16","93","77","-11","07:28","12","0","0","0","0","0"
