Detailed Statistics Departures  
Origin Airport: Casper, WY: Casper/Natrona County International (CPR)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","4311","N429SW","SLC","07:25","07:16","88","82","-9","07:28","12","0","0","0","0","0"
"OO","12/01/2021","4676","N779SK","DEN","13:00","13:22","73","68","22","13:41","19","17","0","0","0","0"
"OO","12/01/2021","5487","N605UX","DEN","07:30","07:25","78","60","-5","07:38","13","0","0","0","0","0"
"OO","12/01/2022","4251","N439SW","SLC","11:35","11:24","82","78","-11","11:36","12","0","0","0","0","0"
"OO","12/01/2022","4311","N919EV","SLC","06:00","05:57","89","70","-3","06:04","7","0","0","0","0","0"
"OO","12/01/2022","4658","N221PS","DEN","13:18","13:14","74","71","-4","13:34","20","0","0","0","0","0"
"OO","12/01/2022","4792","N223JS","DEN","18:14","18:24","74","72","10","18:45","21","0","0","0","0","0"
"OO","12/01/2022","5809","N947SW","DEN","15:25","15:21","74","108","-4","15:48","27","30","0","0","0","0"
"OO","12/01/2022","5843","N156SY","DEN","07:36","07:30","80","76","-6","08:01","31","0","0","0","0","0"
"OO","12/01/2023","4248","N161PQ","SLC","06:00","05:55","90","91","-5","06:27","32","0","0","0","0","0"
"OO","12/01/2023","4658","N958SW","DEN","13:25","13:19","84","66","-6","13:30","11","0","0","0","0","0"
"OO","12/02/2021","4311","N460SW","SLC","07:25","07:23","88","81","-2","07:30","7","0","0","0","0","0"
"OO","12/02/2021","4676","N782SK","DEN","13:00","12:53","73","79","-7","13:03","10","0","0","0","0","0"
"OO","12/02/2021","4792","N932EV","DEN","18:15","17:58","74","61","-17","18:13","15","0","0","0","0","0"
"OO","12/02/2021","5487","N604UX","DEN","07:30","07:29","78","60","-1","07:41","12","0","0","0","0","0"
