Detailed Statistics Departures  
Origin Airport: Cedar Rapids/Iowa City, IA: The Eastern Iowa (CID)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","2276","N955AT","ATL","16:55","17:45","115","105","50","17:57","12","40","0","0","0","0"
"DL","12/01/2021","2322","N991AT","ATL","05:50","05:49","132","118","-1","06:02","13","0","0","0","0","0"
"DL","12/01/2022","2639","N363NB","ATL","05:44","05:44","141","134","0","06:06","22","0","0","0","0","0"
"DL","12/01/2023","2518","N353NB","ATL","05:17","05:10","132","118","-7","05:24","14","0","0","0","0","0"
"DL","12/02/2021","2322","N939AT","ATL","05:50","05:43","132","103","-7","05:51","8","0","0","0","0","0"
"DL","12/02/2022","2639","N341NW","ATL","05:44","05:37","141","106","-7","05:49","12","0","0","0","0","0"
"DL","12/02/2023","2518","N362NB","ATL","05:17","05:14","132","121","-3","05:30","16","0","0","0","0","0"
"DL","12/03/2022","2639","N369NW","ATL","05:44","05:39","141","120","-5","06:01","22","0","0","0","0","0"
"DL","12/03/2023","2518","N323NB","ATL","05:17","05:12","132","153","-5","05:57","45","0","0","16","0","0"
"DL","12/04/2022","2639","N340NB","ATL","05:44","06:35","141","117","51","07:00","25","27","0","0","0","0"
"DL","12/04/2023","2518","N344NB","ATL","05:17","05:12","132","133","-5","05:46","34","0","0","0","0","0"
"DL","12/05/2022","2639","N342NB","ATL","05:43","05:38","141","109","-5","05:49","11","0","0","0","0","0"
"DL","12/05/2023","2518","N389DA","ATL","05:17","06:04","132","123","47","06:31","27","38","0","0","0","0"
"DL","12/06/2022","2639","N336NB","ATL","05:43","05:54","141","117","11","06:13","19","0","0","0","0","0"
"DL","12/06/2023","2518","N339NB","ATL","05:17","05:15","132","131","-2","05:48","33","0","0","0","0","0"
"DL","12/07/2022","2639","N353NB","ATL","05:43","05:53","141","145","10","06:33","40","0","0","0","0","0"
"DL","12/07/2023","2518","N339NB","ATL","05:11","05:07","138","128","-4","05:36","29","0","0","0","0","0"
"DL","12/08/2022","2639","N333NB","ATL","05:43","06:38","141","152","55","07:29","51","0","0","66","0","0"
"DL","12/08/2023","2518","N370NB","ATL","05:11","05:03","138","111","-8","05:15","12","0","0","0","0","0"
"DL","12/09/2022","2639","N331NB","ATL","05:43","05:34","141","120","-9","05:53","19","0","0","0","0","0"
"DL","12/09/2023","2518","N319NB","ATL","05:11","05:07","138","113","-4","05:18","11","0","0","0","0","0"
"DL","12/10/2022","2639","N330NB","ATL","05:43","05:57","141","137","14","06:11","14","0","0","0","0","0"
"DL","12/10/2023","2518","N340NB","ATL","05:13","05:10","138","125","-3","05:27","17","0","0","0","0","0"
"DL","12/11/2022","2639","N331NB","ATL","05:43","05:33","141","113","-10","05:45","12","0","0","0","0","0"
"DL","12/11/2023","2518","N366NB","ATL","05:11","05:10","138","134","-1","05:44","34","0","0","0","0","0"
"DL","12/12/2022","2639","N347NB","ATL","05:43","05:36","141","112","-7","05:49","13","0","0","0","0","0"
"DL","12/12/2023","2518","N346NB","ATL","05:11","05:03","138","127","-8","05:31","28","0","0","0","0","0"
"DL","12/13/2022","2639","N369NB","ATL","05:43","05:30","141","116","-13","05:43","13","0","0","0","0","0"
"DL","12/13/2023","2518","N323NB","ATL","05:11","05:08","138","111","-3","05:19","11","0","0","0","0","0"
"DL","12/14/2022","2639","N369NB","ATL","05:43","05:35","141","123","-8","05:47","12","0","0","0","0","0"
"DL","12/14/2023","2518","N330NB","ATL","05:11","05:08","138","133","-3","05:36","28","0","0","0","0","0"
"DL","12/15/2022","2639","N358NB","ATL","05:43","05:49","141","115","6","06:00","11","0","0","0","0","0"
"DL","12/15/2023","2518","N323NB","ATL","05:11","05:06","138","111","-5","05:22","16","0","0","0","0","0"
"DL","12/16/2022","2639","N358NB","ATL","05:43","05:40","141","112","-3","05:51","11","0","0","0","0","0"
"DL","12/16/2023","2518","N363NB","ATL","05:43","05:37","137","131","-6","06:00","23","0","0","0","0","0"
"DL","12/17/2022","2639","N358NB","ATL","05:44","05:48","141","133","4","06:22","34","0","0","0","0","0"
"DL","12/17/2023","2459","N940AT","ATL","05:39","05:32","134","125","-7","05:52","20","0","0","0","0","0"
"DL","12/18/2022","2639","N331NB","ATL","05:44","05:42","141","122","-2","06:08","26","0","0","0","0","0"
"DL","12/18/2023","2459","N992AT","ATL","05:39","05:30","134","108","-9","05:42","12","0","0","0","0","0"
"DL","12/19/2022","2639","N340NB","ATL","05:44","05:34","141","131","-10","06:03","29","0","0","0","0","0"
"DL","12/19/2023","2459","N934AT","ATL","05:39","05:38","134","133","-1","06:19","41","0","0","0","0","0"
"DL","12/20/2022","2639","N331NB","ATL","05:44","05:41","141","133","-3","06:12","31","0","0","0","0","0"
"DL","12/20/2023","2459","N993AT","ATL","05:39","05:31","134","125","-8","05:58","27","0","0","0","0","0"
"DL","12/21/2022","2639","N335NB","ATL","05:44","06:13","141","157","29","07:17","64","29","0","16","0","0"
"DL","12/21/2023","2459","N949AT","ATL","05:39","05:34","134","114","-5","05:46","12","0","0","0","0","0"
"DL","12/22/2022","2639","N353NB","ATL","05:44","08:42","141","168","178","09:45","63","0","178","27","0","0"
"DL","12/22/2023","2459","N955AT","ATL","05:39","05:34","134","113","-5","05:45","11","0","0","0","0","0"
"DL","12/23/2022","2639","N358NB","ATL","05:44","09:11","141","146","207","10:05","54","0","207","5","0","0"
"DL","12/23/2023","2459","N895AT","ATL","05:39","13:43","134","104","484","13:55","12","0","454","0","0","0"
"DL","12/24/2022","2639","N358NB","ATL","05:44","00:00","141","0","0","00:00","0","0","0","0","0","0"
"DL","12/24/2022","2880","N933AT","MSP","12:31","00:00","78","0","0","00:00","0","0","0","0","0","0"
"DL","12/24/2023","2459","N949AT","ATL","05:39","05:39","134","117","0","05:57","18","0","0","0","0","0"
"DL","12/25/2022","2639","N358NB","ATL","05:44","06:21","141","122","37","06:52","31","18","0","0","0","0"
"DL","12/25/2022","2880","N924AT","MSP","12:31","00:00","78","0","0","00:00","0","0","0","0","0","0"
"DL","12/25/2023","2459","N928AT","ATL","05:39","05:32","134","146","-7","05:45","13","0","0","0","0","0"
"DL","12/26/2022","2639","N335NB","ATL","05:44","05:54","141","163","10","07:00","66","0","10","22","0","0"
"DL","12/26/2023","2459","N998AT","ATL","05:39","05:43","134","154","4","05:53","10","0","0","24","0","0"
"DL","12/27/2022","2639","N335NB","ATL","05:44","11:19","141","104","335","11:29","10","0","0","0","0","298"
"DL","12/27/2023","2459","N982AT","ATL","05:39","05:30","134","134","-9","05:58","28","0","0","0","0","0"
"DL","12/28/2022","2639","N337NB","ATL","05:44","05:41","141","113","-3","05:52","11","0","0","0","0","0"
"DL","12/28/2023","2459","N954AT","ATL","05:39","05:32","134","130","-7","05:57","25","0","0","0","0","0"
"DL","12/29/2022","2639","N301NB","ATL","05:44","05:53","141","114","9","06:06","13","0","0","0","0","0"
"DL","12/29/2023","2459","N949AT","ATL","05:39","05:37","134","139","-2","06:11","34","0","0","0","0","0"
"DL","12/30/2022","2639","N352NB","ATL","05:44","05:41","141","127","-3","06:06","25","0","0","0","0","0"
"DL","12/30/2023","2459","N921AT","ATL","05:39","06:07","134","143","28","06:48","41","28","0","9","0","0"
"DL","12/31/2022","2639","N347NB","ATL","05:44","05:43","141","148","-1","06:12","29","0","0","0","0","0"
"DL","12/31/2022","2880","N921AT","MSP","12:31","12:29","78","59","-2","12:40","11","0","0","0","0","0"
"DL","12/31/2023","2459","N959AT","ATL","05:39","11:02","134","162","323","12:12","70","323","0","28","0","0"

 SOURCE: Bureau of Transportation Statistics
