Detailed Statistics Departures  
Origin Airport: Cedar Rapids/Iowa City, IA: The Eastern Iowa (CID)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2022","3378","N270NN","DFW","06:20","06:19","141","143","-1","06:50","31","0","0","0","0","0"
"MQ","12/01/2022","3396","N247NN","DFW","13:29","13:43","140","131","14","13:57","14","0","0","0","0","0"
"MQ","12/01/2023","3547","N257NN","DFW","13:28","13:24","142","153","-4","13:38","14","0","0","0","0","0"
"MQ","12/01/2023","3749","N772MR","ORD","06:16","06:04","84","78","-12","06:30","26","0","0","0","0","0"
"MQ","12/01/2023","3763","N636RW","ORD","11:32","11:32","72","76","0","11:49","17","0","0","0","0","0"
"MQ","12/01/2023","3780","N783LC","ORD","16:38","16:28","72","67","-10","16:42","14","0","0","0","0","0"
"MQ","12/02/2021","3661","N900AE","ORD","10:35","10:27","80","68","-8","10:41","14","0","0","0","0","0"
"MQ","12/02/2022","3378","N256NN","DFW","06:20","06:16","141","145","-4","06:33","17","0","0","0","0","0"
"MQ","12/02/2022","3396","N267NN","DFW","13:29","13:26","140","130","-3","13:35","9","0","0","0","0","0"
"MQ","12/02/2023","3322","N245NN","MIA","06:08","05:57","197","200","-11","06:17","20","0","0","0","0","0"
"MQ","12/02/2023","3547","N233NN","DFW","13:28","13:21","142","156","-7","13:35","14","0","0","0","0","0"
"MQ","12/02/2023","3763","N821MD","ORD","11:32","11:28","72","67","-4","11:40","12","0","0","0","0","0"
"MQ","12/02/2023","3780","N774JG","ORD","16:38","16:34","72","86","-4","17:13","39","0","0","0","0","0"
"MQ","12/03/2021","3661","N941LT","ORD","10:35","10:24","80","67","-11","10:36","12","0","0","0","0","0"
"MQ","12/03/2022","3378","N264NN","DFW","06:20","06:20","141","127","0","06:31","11","0","0","0","0","0"
"MQ","12/03/2022","3396","N238NN","DFW","13:08","13:13","140","119","5","13:25","12","0","0","0","0","0"
"MQ","12/03/2023","3547","N299JJ","DFW","13:28","13:27","142","135","-1","13:38","11","0","0","0","0","0"
"MQ","12/03/2023","3749","N280NN","ORD","06:05","06:02","84","142","-3","07:26","84","0","0","55","0","0"
"MQ","12/03/2023","3763","N764JD","ORD","11:32","11:25","72","68","-7","11:33","8","0","0","0","0","0"
"MQ","12/03/2023","3780","N770JM","ORD","16:39","17:02","72","71","23","17:15","13","6","0","0","0","16"
"MQ","12/04/2021","3661","N918AE","ORD","10:35","10:24","80","65","-11","10:37","13","0","0","0","0","0"
"MQ","12/04/2022","3378","N289MW","DFW","06:20","06:21","141","134","1","06:47","26","0","0","0","0","0"
"MQ","12/04/2022","3396","N262NN","DFW","13:29","13:26","140","123","-3","13:38","12","0","0","0","0","0"
"MQ","12/04/2023","3547","N269NN","DFW","13:28","15:48","142","120","140","15:57","9","3","0","0","0","115"
"MQ","12/04/2023","3749","N636RW","ORD","06:16","06:14","84","85","-2","06:30","16","0","0","0","0","0"
"MQ","12/04/2023","3763","N874RW","ORD","11:32","11:32","72","83","0","11:53","21","0","0","0","0","0"
"MQ","12/04/2023","3780","N761RW","ORD","16:38","16:40","72","68","2","16:49","9","0","0","0","0","0"
"MQ","12/05/2021","3661","N900AE","ORD","10:35","10:34","80","64","-1","10:47","13","0","0","0","0","0"
"MQ","12/05/2021","3668","N696AE","ORD","06:00","05:49","90","60","-11","06:02","13","0","0","0","0","0"
"MQ","12/05/2022","3378","N283NN","DFW","06:20","06:23","141","129","3","06:31","8","0","0","0","0","0"
"MQ","12/05/2022","3396","N236NN","DFW","13:29","13:19","140","126","-10","13:31","12","0","0","0","0","0"
"MQ","12/05/2023","4146","N225NN","ORD","06:00","05:56","88","63","-4","06:12","16","0","0","0","0","0"
"MQ","12/06/2021","3661","N681AE","ORD","10:35","10:26","80","74","-9","10:39","13","0","0","0","0","0"
"MQ","12/06/2022","3378","N262NN","DFW","06:20","06:17","141","123","-3","06:27","10","0","0","0","0","0"
"MQ","12/06/2022","3396","N279MQ","DFW","13:29","13:18","140","132","-11","13:30","12","0","0","0","0","0"
"MQ","12/06/2023","3315","N776MS","ORD","06:00","05:55","88","87","-5","06:22","27","0","0","0","0","0"
"MQ","12/07/2022","3378","N261NN","DFW","06:20","06:16","141","152","-4","06:39","23","0","0","0","0","0"
"MQ","12/07/2022","3396","N248NN","DFW","13:29","13:29","140","152","0","13:46","17","0","0","0","0","0"
"MQ","12/07/2023","3315","N771JV","ORD","06:00","06:00","88","74","0","06:19","19","0","0","0","0","0"
"MQ","12/08/2022","3378","N292NN","DFW","06:20","06:26","141","148","6","06:52","26","0","0","0","0","0"
"MQ","12/08/2022","3396","N234JW","DFW","13:29","13:26","140","135","-3","13:36","10","0","0","0","0","0"
"MQ","12/08/2023","3315","N821MD","ORD","06:00","06:05","88","82","5","06:23","18","0","0","0","0","0"
"MQ","12/08/2023","4049","N763CC","ORD","16:27","16:19","82","68","-8","16:29","10","0","0","0","0","0"
"MQ","12/09/2021","3661","N613AE","ORD","10:35","10:26","80","70","-9","10:38","12","0","0","0","0","0"
"MQ","12/09/2022","3378","N219NN","DFW","06:20","06:31","141","138","11","06:46","15","0","0","0","0","0"
"MQ","12/09/2022","3396","N281NN","DFW","13:29","13:27","140","141","-2","13:38","11","0","0","0","0","0"
"MQ","12/09/2023","3482","N263NN","MIA","06:20","06:13","198","197","-7","06:28","15","0","0","0","0","0"
"MQ","12/09/2023","3780","N806MD","ORD","16:27","16:40","82","68","13","16:50","10","0","0","0","0","0"
"MQ","12/10/2021","3661","N663AR","ORD","10:35","10:30","80","61","-5","10:41","11","0","0","0","0","0"
"MQ","12/10/2022","3378","N282NN","DFW","06:20","06:24","141","141","4","06:38","14","0","0","0","0","0"
"MQ","12/10/2022","3396","N222NS","DFW","13:08","12:59","140","165","-9","13:07","8","0","0","16","0","0"
"MQ","12/10/2023","3919","N234JW","ORD","06:00","05:49","88","63","-11","05:58","9","0","0","0","0","0"
"MQ","12/10/2023","4049","N783LC","ORD","16:27","16:22","82","68","-5","16:32","10","0","0","0","0","0"
"MQ","12/11/2021","3661","N678AE","ORD","10:35","10:26","80","73","-9","10:38","12","0","0","0","0","0"
"MQ","12/11/2022","3378","N231AN","DFW","06:20","06:15","141","120","-5","06:24","9","0","0","0","0","0"
"MQ","12/11/2022","3396","N242NN","DFW","13:29","13:31","140","121","2","13:41","10","0","0","0","0","0"
"MQ","12/11/2023","3315","N874RW","ORD","06:00","06:00","88","105","0","06:47","47","0","0","17","0","0"
"MQ","12/11/2023","3700","N806MD","ORD","16:27","16:24","82","67","-3","16:35","11","0","0","0","0","0"
"MQ","12/12/2021","3661","N939AE","ORD","10:35","10:39","80","78","4","10:58","19","0","0","0","0","0"
"MQ","12/12/2021","3668","N697AB","ORD","06:00","05:57","90","87","-3","06:24","27","0","0","0","0","0"
"MQ","12/12/2022","3378","N208AN","DFW","06:20","06:22","141","122","2","06:31","9","0","0","0","0","0"
"MQ","12/12/2022","3396","N244NN","DFW","13:29","13:41","140","126","12","13:53","12","0","0","0","0","0"
"MQ","12/12/2023","3315","N637RW","ORD","06:00","06:23","88","82","23","06:47","24","17","0","0","0","0"
"MQ","12/13/2021","3661","N677AE","ORD","10:35","10:26","80","68","-9","10:35","9","0","0","0","0","0"
"MQ","12/13/2022","3378","N219NN","DFW","06:20","06:22","141","188","2","06:35","13","2","0","47","0","0"
"MQ","12/13/2022","3396","N239NN","DFW","13:29","14:35","140","145","66","14:46","11","5","0","5","0","61"
"MQ","12/13/2023","3315","N763CC","ORD","06:00","06:00","88","56","0","06:09","9","0","0","0","0","0"
"MQ","12/14/2022","3378","N265NN","DFW","06:20","06:15","141","152","-5","06:27","12","0","0","0","0","0"
"MQ","12/14/2022","3396","N293NN","DFW","13:29","13:23","140","144","-6","13:34","11","0","0","0","0","0"
"MQ","12/14/2023","3315","N809MD","ORD","06:00","06:34","88","69","34","06:43","9","15","0","0","0","0"
"MQ","12/15/2022","3357","N760MQ","ORD","16:00","16:01","77","108","1","16:36","35","1","0","31","0","0"
"MQ","12/15/2022","3524","N236NN","DFW","07:25","07:24","147","131","-1","07:34","10","0","0","0","0","0"
"MQ","12/15/2022","3537","N272NN","DFW","13:28","13:32","147","146","4","13:54","22","0","0","0","0","0"
"MQ","12/15/2023","3315","N762DT","ORD","06:00","05:56","88","71","-4","06:09","13","0","0","0","0","0"
"MQ","12/15/2023","4049","N770JM","ORD","16:27","16:31","82","72","4","16:45","14","0","0","0","0","0"
"MQ","12/16/2021","3661","N670AE","ORD","10:30","10:25","78","74","-5","10:37","12","0","0","0","0","0"
"MQ","12/16/2022","3308","N267NN","ORD","06:57","06:53","77","107","-4","07:17","24","0","0","26","0","0"
"MQ","12/16/2022","3357","N760MQ","ORD","16:00","17:23","77","105","83","17:58","35","12","10","28","0","61"
"MQ","12/16/2022","3537","N284JN","DFW","13:28","13:31","147","147","3","13:51","20","0","0","0","0","0"
"MQ","12/16/2023","3482","N281NN","MIA","06:20","06:18","198","218","-2","06:32","14","0","0","18","0","0"
"MQ","12/16/2023","3780","N215NN","ORD","16:27","16:22","82","66","-5","16:33","11","0","0","0","0","0"
"MQ","12/17/2021","3661","N664MS","ORD","10:30","10:19","78","71","-11","10:33","14","0","0","0","0","0"
"MQ","12/17/2022","3308","N230NN","ORD","06:00","05:54","77","81","-6","06:13","19","0","0","0","0","0"
"MQ","12/17/2022","3357","N207AN","ORD","16:00","16:59","77","108","59","17:45","46","17","0","31","0","42"
"MQ","12/17/2022","3537","N288NN","DFW","13:28","13:35","147","141","7","14:04","29","0","0","0","0","0"
"MQ","12/17/2023","3919","N228NN","ORD","07:42","07:33","88","69","-9","07:44","11","0","0","0","0","0"
"MQ","12/18/2021","3661","N662EH","ORD","10:30","10:26","78","74","-4","10:39","13","0","0","0","0","0"
"MQ","12/18/2022","3308","N763CC","ORD","06:57","06:58","77","84","1","07:22","24","0","0","0","0","0"
"MQ","12/18/2022","3357","N760MQ","ORD","16:00","16:03","77","67","3","16:15","12","0","0","0","0","0"
"MQ","12/18/2022","3537","N206NN","DFW","13:28","13:29","147","132","1","13:45","16","0","0","0","0","0"
"MQ","12/18/2023","3315","N760MQ","ORD","06:00","05:58","88","96","-2","06:28","30","0","0","0","0","0"
"MQ","12/19/2021","3661","N697AB","ORD","10:30","10:31","78","64","1","10:40","9","0","0","0","0","0"
"MQ","12/19/2022","3308","N764JD","ORD","06:57","07:33","77","75","36","07:58","25","34","0","0","0","0"
"MQ","12/19/2022","3537","N264NN","DFW","13:28","13:21","147","146","-7","13:34","13","0","0","0","0","0"
"MQ","12/19/2023","3315","N762DT","ORD","07:40","07:30","88","74","-10","07:50","20","0","0","0","0","0"
"MQ","12/20/2021","3661","N939AE","ORD","10:30","10:22","78","66","-8","10:34","12","0","0","0","0","0"
"MQ","12/20/2022","3308","N764JD","ORD","06:57","08:31","77","75","94","08:46","15","92","0","0","0","0"
"MQ","12/20/2022","3537","N244NN","DFW","13:28","13:34","147","139","6","13:47","13","0","0","0","0","0"
"MQ","12/20/2023","3780","N643RW","ORD","16:24","16:14","80","75","-10","16:31","17","0","0","0","0","0"
"MQ","12/20/2023","3872","N251NN","DFW","13:25","13:24","149","130","-1","13:35","11","0","0","0","0","0"
"MQ","12/21/2021","3661","N615AE","ORD","10:30","10:23","78","70","-7","10:32","9","0","0","0","0","0"
