Detailed Statistics Departures  
Origin Airport: Charleston, SC: Charleston AFB/International (CHS)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5165","N596NN","DCA","21:19","21:04","89","80","-15","21:16","12","0","0","0","0","0"
"OH","12/01/2021","5173","N579NN","CLT","20:19","20:09","76","72","-10","20:27","18","0","0","0","0","0"
"OH","12/01/2021","5274","N558NN","CLT","16:21","16:11","76","72","-10","16:33","22","0","0","0","0","0"
"OH","12/01/2021","5636","N573NN","CLT","12:47","12:37","78","79","-10","13:08","31","0","0","0","0","0"
"OH","12/01/2021","5641","N599NN","CLT","18:04","18:02","74","76","-2","18:30","28","0","0","0","0","0"
"OH","12/01/2021","5677","N615NN","PHL","06:30","06:19","106","114","-11","06:46","27","0","0","0","0","0"
"OH","12/01/2023","5147","N504AE","DCA","19:52","19:43","97","107","-9","19:54","11","0","0","0","0","0"
"OH","12/01/2023","5166","N507AE","DCA","15:02","17:12","97","93","130","17:31","19","2","0","0","0","124"
"OH","12/01/2023","5168","N546FF","DCA","06:13","06:01","97","88","-12","06:15","14","0","0","0","0","0"
"OH","12/01/2023","5201","N546FF","DCA","11:23","11:12","96","97","-11","11:25","13","0","0","0","0","0"
"OH","12/01/2023","5310","N567NN","CLT","16:18","16:20","72","83","2","16:51","31","0","0","0","0","0"
"OH","12/01/2023","5493","N542EA","DCA","17:37","18:23","97","101","46","18:37","14","0","0","4","0","46"
"OH","12/02/2021","5165","N553NN","DCA","21:19","21:01","89","80","-18","21:13","12","0","0","0","0","0"
"OH","12/02/2021","5173","N594NN","CLT","20:19","20:17","76","77","-2","20:38","21","0","0","0","0","0"
