Detailed Statistics Departures  
Origin Airport: Charleston, SC: Charleston AFB/International (CHS)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2021","3402","N721YX","EWR","10:55","10:52","128","111","-3","11:07","15","0","0","0","0","0"
"YX","12/01/2021","3412","N639RW","ORD","13:15","13:12","154","146","-3","13:31","19","0","0","0","0","0"
"YX","12/01/2021","3427","N655RW","EWR","15:00","14:50","129","119","-10","15:09","19","0","0","0","0","0"
"YX","12/01/2021","3434","N638RW","IAD","14:45","14:37","96","113","-8","15:14","37","0","0","0","0","0"
"YX","12/01/2021","3471","N864RW","EWR","12:00","11:55","128","122","-5","12:11","16","0","0","0","0","0"
"YX","12/01/2021","3522","N730YX","IAD","10:00","09:57","94","101","-3","10:17","20","0","0","0","0","0"
"YX","12/01/2021","3653","N723YX","EWR","16:30","16:17","129","127","-13","16:36","19","0","0","0","0","0"
"YX","12/01/2021","4728","N441YX","DCA","06:13","06:08","91","79","-5","06:18","10","0","0","0","0","0"
"YX","12/01/2021","4836","N117HQ","PHL","10:53","10:47","110","125","-6","10:59","12","0","0","0","0","0"
"YX","12/01/2021","4983","N405YX","ORD","12:34","12:31","151","147","-3","12:44","13","0","0","0","0","0"
"YX","12/01/2021","5596","N208JQ","BOS","13:45","13:38","134","135","-7","13:52","14","0","0","0","0","0"
"YX","12/01/2021","5655","N214JQ","BOS","17:09","16:59","136","135","-10","17:16","17","0","0","0","0","0"
"YX","12/01/2022","4606","N428YX","DCA","11:23","11:16","96","90","-7","11:32","16","0","0","0","0","0"
"YX","12/01/2022","5751","N227JQ","BOS","14:52","14:48","138","136","-4","15:03","15","0","0","0","0","0"
"YX","12/01/2022","5793","N219YX","LGA","14:00","14:20","118","118","20","14:34","14","20","0","0","0","0"
"YX","12/01/2022","5836","N201JQ","LGA","17:59","18:02","124","114","3","18:13","11","0","0","0","0","0"
"YX","12/01/2023","3401","N733YX","IAD","14:39","14:32","98","107","-7","14:48","16","0","0","0","0","0"
"YX","12/01/2023","3419","N722YX","ORD","06:15","06:07","154","150","-8","06:20","13","0","0","0","0","0"
"YX","12/01/2023","3432","N736YX","ORD","15:25","15:17","156","151","-8","15:31","14","0","0","0","0","0"
"YX","12/01/2023","3436","N756YX","EWR","14:00","13:52","125","127","-8","14:08","16","0","0","0","0","0"
"YX","12/01/2023","4618","N429YX","PHL","07:50","07:39","110","103","-11","07:54","15","0","0","0","0","0"
"YX","12/01/2023","5842","N246JQ","LGA","18:30","18:28","121","116","-2","18:41","13","0","0","0","0","0"
"YX","12/02/2021","3402","N736YX","EWR","10:55","10:51","128","120","-4","11:09","18","0","0","0","0","0"
"YX","12/02/2021","3412","N743YX","ORD","13:15","13:15","154","148","0","13:29","14","0","0","0","0","0"
"YX","12/02/2021","3427","N859RW","EWR","15:00","14:50","129","131","-10","15:05","15","0","0","0","0","0"
"YX","12/02/2021","3434","N649RW","IAD","14:45","14:35","96","95","-10","14:43","8","0","0","0","0","0"
"YX","12/02/2021","3471","N863RW","EWR","12:00","11:53","128","131","-7","12:03","10","0","0","0","0","0"
"YX","12/02/2021","3522","N729YX","IAD","10:00","09:50","94","98","-10","10:00","10","0","0","0","0","0"
"YX","12/02/2021","3653","N728YX","EWR","16:25","16:16","124","132","-9","16:32","16","0","0","0","0","0"
"YX","12/02/2021","4728","N409YX","DCA","06:13","06:09","91","95","-4","06:22","13","0","0","0","0","0"
"YX","12/02/2021","4836","N441YX","PHL","10:53","10:44","110","117","-9","10:57","13","0","0","0","0","0"
"YX","12/02/2021","4873","N437YX","DCA","10:27","10:20","92","88","-7","10:31","11","0","0","0","0","0"
"YX","12/02/2021","4983","N412YX","ORD","12:39","12:36","151","143","-3","12:45","9","0","0","0","0","0"
"YX","12/02/2021","5596","N226JQ","BOS","12:45","12:37","131","137","-8","12:48","11","0","0","0","0","0"
"YX","12/02/2021","5655","N201JQ","BOS","17:09","17:03","136","161","-6","17:30","27","0","0","19","0","0"
"YX","12/02/2022","4606","N112HQ","DCA","11:23","11:17","96","97","-6","11:29","12","0","0","0","0","0"
"YX","12/02/2022","5751","N204JQ","BOS","14:52","14:43","138","132","-9","14:55","12","0","0","0","0","0"
"YX","12/02/2022","5793","N224JQ","LGA","14:00","13:52","118","111","-8","14:03","11","0","0","0","0","0"
"YX","12/02/2022","5836","N218JQ","LGA","17:59","18:01","124","124","2","18:21","20","0","0","0","0","0"
"YX","12/02/2023","3401","N722YX","IAD","14:39","14:30","98","79","-9","14:41","11","0","0","0","0","0"
"YX","12/02/2023","3419","N730YX","ORD","06:15","06:05","154","132","-10","06:16","11","0","0","0","0","0"
"YX","12/02/2023","3432","N743YX","ORD","15:25","15:16","156","148","-9","15:30","14","0","0","0","0","0"
"YX","12/02/2023","3436","N721YX","EWR","13:36","13:32","125","109","-4","13:43","11","0","0","0","0","0"
"YX","12/02/2023","4618","N435YX","PHL","07:50","07:40","110","99","-10","07:52","12","0","0","0","0","0"
"YX","12/03/2021","3402","N861RW","EWR","10:55","10:45","128","108","-10","10:57","12","0","0","0","0","0"
"YX","12/03/2021","3412","N749YX","ORD","13:15","13:11","154","155","-4","13:29","18","0","0","0","0","0"
"YX","12/03/2021","3427","N635RW","EWR","15:00","14:55","129","171","-5","15:57","62","0","0","37","0","0"
"YX","12/03/2021","3434","N642RW","IAD","14:45","14:34","96","80","-11","14:43","9","0","0","0","0","0"
"YX","12/03/2021","3471","N657RW","EWR","12:00","11:54","128","110","-6","12:04","10","0","0","0","0","0"
"YX","12/03/2021","3522","N730YX","IAD","10:00","10:11","94","85","11","10:26","15","0","0","0","0","0"
"YX","12/03/2021","3653","N731YX","EWR","16:30","16:48","129","167","18","17:16","28","0","0","56","0","0"
"YX","12/03/2021","4728","N450YX","DCA","06:13","06:11","91","83","-2","06:22","11","0","0","0","0","0"
"YX","12/03/2021","4836","N401YX","PHL","10:53","10:45","110","106","-8","10:59","14","0","0","0","0","0"
"YX","12/03/2021","4873","N403YX","DCA","10:27","10:18","92","87","-9","10:31","13","0","0","0","0","0"
"YX","12/03/2021","4983","N108HQ","ORD","12:39","12:38","151","151","-1","12:50","12","0","0","0","0","0"
"YX","12/03/2021","5596","N210JQ","BOS","12:45","12:38","131","130","-7","12:53","15","0","0","0","0","0"
"YX","12/03/2021","5655","N213JQ","BOS","17:09","17:11","136","132","2","17:31","20","0","0","0","0","0"
"YX","12/03/2022","3423","N749YX","EWR","18:30","18:26","126","140","-4","18:58","32","0","0","0","0","0"
"YX","12/03/2022","4381","N113HQ","MIA","17:44","17:38","104","94","-6","17:51","13","0","0","0","0","0"
"YX","12/03/2022","5785","N220JQ","LGA","14:00","13:57","118","108","-3","14:10","13","0","0","0","0","0"
"YX","12/03/2023","3401","N743YX","IAD","14:39","14:50","98","90","11","15:07","17","0","0","0","0","0"
"YX","12/03/2023","3419","N729YX","ORD","06:15","06:14","154","138","-1","06:25","11","0","0","0","0","0"
"YX","12/03/2023","3432","N732YX","ORD","15:25","15:21","156","139","-4","15:41","20","0","0","0","0","0"
"YX","12/03/2023","3436","N760YX","EWR","13:55","13:54","125","137","-1","14:32","38","0","0","0","0","0"
"YX","12/03/2023","4416","N112HQ","DCA","19:57","21:28","92","95","91","21:43","15","2","0","3","0","89"
"YX","12/03/2023","4618","N137HQ","PHL","07:50","07:40","110","104","-10","07:52","12","0","0","0","0","0"
"YX","12/04/2021","3402","N748YX","EWR","10:55","11:01","128","108","6","11:14","13","0","0","0","0","0"
"YX","12/04/2021","3412","N864RW","ORD","13:15","13:02","154","171","-13","13:45","43","0","0","0","0","0"
"YX","12/04/2021","3415","N733YX","ORD","17:20","17:20","155","139","0","17:39","19","0","0","0","0","0"
"YX","12/04/2021","3522","N732YX","IAD","10:00","09:54","94","87","-6","10:11","17","0","0","0","0","0"
"YX","12/04/2021","3700","N979RP","EWR","19:20","19:13","129","112","-7","19:27","14","0","0","0","0","0"
"YX","12/04/2021","4728","N127HQ","DCA","06:09","06:04","91","80","-5","06:14","10","0","0","0","0","0"
"YX","12/04/2021","4873","N401YX","DCA","10:47","10:44","92","78","-3","10:55","11","0","0","0","0","0"
"YX","12/04/2021","4938","N119HQ","PHL","06:30","06:28","108","108","-2","06:43","15","0","0","0","0","0"
"YX","12/04/2021","4983","N406YX","ORD","12:39","12:48","151","145","9","13:05","17","0","0","0","0","0"
"YX","12/04/2021","5759","N240JQ","BOS","12:00","11:50","133","144","-10","12:17","27","0","0","0","0","0"
"YX","12/04/2022","5751","N201JQ","BOS","14:52","15:04","138","132","12","15:19","15","0","0","0","0","0"
"YX","12/04/2022","5793","N246JQ","LGA","14:00","14:47","118","106","47","14:57","10","35","0","0","0","0"
"YX","12/04/2022","5836","N215JQ","LGA","17:59","17:56","124","111","-3","18:10","14","0","0","0","0","0"
"YX","12/04/2023","3401","N732YX","IAD","14:39","14:45","98","81","6","14:58","13","0","0","0","0","0"
"YX","12/04/2023","3419","N729YX","ORD","06:15","06:11","154","144","-4","06:24","13","0","0","0","0","0"
"YX","12/04/2023","3432","N736YX","ORD","15:25","15:24","156","140","-1","15:37","13","0","0","0","0","0"
"YX","12/04/2023","3436","N763YX","EWR","14:00","13:57","125","141","-3","14:32","35","0","0","0","0","0"
"YX","12/04/2023","4618","N429YX","PHL","07:50","07:39","110","93","-11","07:54","15","0","0","0","0","0"
"YX","12/04/2023","5842","N213JQ","LGA","18:30","18:24","121","117","-6","18:46","22","0","0","0","0","0"
"YX","12/05/2021","3403","N647RW","EWR","15:00","14:53","129","139","-7","15:14","21","0","0","0","0","0"
"YX","12/05/2021","3412","N730YX","ORD","13:25","13:18","150","141","-7","13:30","12","0","0","0","0","0"
"YX","12/05/2021","3434","N638RW","IAD","14:45","14:38","96","93","-7","14:53","15","0","0","0","0","0"
"YX","12/05/2021","3522","N649RW","IAD","10:00","09:52","94","83","-8","10:06","14","0","0","0","0","0"
"YX","12/05/2021","3644","N728YX","EWR","12:00","11:49","128","111","-11","12:00","11","0","0","0","0","0"
"YX","12/05/2021","3653","N736YX","EWR","16:30","16:25","129","123","-5","16:36","11","0","0","0","0","0"
"YX","12/05/2021","3700","N728YX","EWR","18:40","18:35","129","150","-5","18:44","9","0","0","16","0","0"
"YX","12/05/2021","4873","N429YX","DCA","10:28","10:26","92","92","-2","10:43","17","0","0","0","0","0"
"YX","12/05/2021","4983","N405YX","ORD","12:39","12:33","151","151","-6","12:54","21","0","0","0","0","0"
"YX","12/05/2021","5596","N211JQ","BOS","12:50","12:39","127","127","-11","12:55","16","0","0","0","0","0"
"YX","12/05/2022","4606","N453YX","DCA","11:23","11:41","96","90","18","11:54","13","0","0","0","0","0"
"YX","12/05/2022","5751","N238JQ","BOS","14:52","14:48","138","134","-4","14:58","10","0","0","0","0","0"
"YX","12/05/2022","5793","N221JQ","LGA","14:00","13:55","118","117","-5","14:09","14","0","0","0","0","0"
"YX","12/05/2022","5836","N231JQ","LGA","17:59","17:54","124","120","-5","18:15","21","0","0","0","0","0"
"YX","12/05/2023","3401","N722YX","IAD","14:39","14:30","98","77","-9","14:39","9","0","0","0","0","0"
"YX","12/05/2023","3419","N722YX","ORD","06:15","06:08","154","149","-7","06:18","10","0","0","0","0","0"
"YX","12/05/2023","3432","N726YX","ORD","15:25","15:16","156","140","-9","15:29","13","0","0","0","0","0"
"YX","12/05/2023","3436","N767YX","EWR","14:00","13:56","125","113","-4","14:15","19","0","0","0","0","0"
"YX","12/05/2023","4321","N103HQ","DCA","11:21","11:19","98","88","-2","11:34","15","0","0","0","0","0"
"YX","12/05/2023","4393","N401YX","DCA","19:51","19:38","98","126","-13","20:02","24","0","0","15","0","0"
"YX","12/05/2023","4749","N135HQ","PHL","05:45","05:34","114","96","-11","05:45","11","0","0","0","0","0"
"YX","12/05/2023","5842","N230JQ","LGA","18:30","18:27","121","109","-3","18:37","10","0","0","0","0","0"
"YX","12/06/2021","3402","N862RW","EWR","10:55","10:50","128","133","-5","11:20","30","0","0","0","0","0"
"YX","12/06/2021","3403","N656RW","EWR","15:00","15:32","129","125","32","15:53","21","0","0","28","0","0"
"YX","12/06/2021","3412","N729YX","ORD","13:15","13:11","154","180","-4","14:08","57","0","0","22","0","0"
"YX","12/06/2021","3434","N642RW","IAD","14:45","14:42","96","106","-3","15:09","27","0","0","0","0","0"
"YX","12/06/2021","3522","N744YX","IAD","10:00","09:54","94","128","-6","10:31","37","0","0","28","0","0"
"YX","12/06/2021","3644","N641RW","EWR","12:00","11:55","128","130","-5","12:15","20","0","0","0","0","0"
"YX","12/06/2021","3653","N739YX","EWR","16:25","17:04","124","120","39","17:24","20","0","0","35","0","0"
"YX","12/06/2021","4728","N113HQ","DCA","06:13","06:07","91","90","-6","06:21","14","0","0","0","0","0"
"YX","12/06/2021","4836","N420YX","PHL","10:53","10:44","110","129","-9","11:09","25","0","0","0","0","0"
"YX","12/06/2021","4873","N105HQ","DCA","10:27","10:29","92","91","2","10:43","14","0","0","0","0","0"
"YX","12/06/2021","4983","N124HQ","ORD","12:39","12:45","151","154","6","13:06","21","0","0","0","0","0"
"YX","12/06/2021","5596","N204JQ","BOS","12:50","12:40","127","144","-10","12:54","14","0","0","0","0","0"
"YX","12/06/2021","5783","N217JQ","LGA","11:50","11:48","115","140","-2","12:03","15","0","0","23","0","0"
"YX","12/06/2022","4606","N444YX","DCA","11:23","11:49","96","83","26","12:03","14","0","0","0","0","0"
"YX","12/06/2022","5751","N241JQ","BOS","14:52","14:47","138","146","-5","15:05","18","0","0","0","0","0"
"YX","12/06/2022","5793","N216JQ","LGA","14:00","13:52","118","127","-8","14:20","28","0","0","0","0","0"
"YX","12/06/2022","5836","N222JQ","LGA","17:59","23:33","124","128","334","00:03","30","321","0","4","0","13"
"YX","12/06/2023","3401","N753YX","IAD","14:39","14:34","98","119","-5","14:52","18","0","0","16","0","0"
"YX","12/06/2023","3419","N736YX","ORD","06:15","06:04","154","144","-11","06:13","9","0","0","0","0","0"
"YX","12/06/2023","3432","N732YX","ORD","15:25","15:19","156","166","-6","15:29","10","0","0","0","0","0"
"YX","12/06/2023","3436","N754YX","EWR","14:00","13:55","125","123","-5","14:05","10","0","0","0","0","0"
"YX","12/06/2023","4321","N427YX","DCA","11:21","11:15","98","103","-6","11:31","16","0","0","0","0","0"
"YX","12/06/2023","4393","N428YX","DCA","19:51","19:41","98","104","-10","19:58","17","0","0","0","0","0"
"YX","12/06/2023","5842","N815MD","LGA","18:30","18:20","121","130","-10","18:30","10","0","0","0","0","0"
"YX","12/07/2021","3402","N646RW","EWR","10:55","10:49","128","130","-6","11:18","29","0","0","0","0","0"
"YX","12/07/2021","3403","N651RW","EWR","15:00","14:47","129","126","-13","14:58","11","0","0","0","0","0"
"YX","12/07/2021","3412","N740YX","ORD","13:15","13:05","154","158","-10","13:38","33","0","0","0","0","0"
