Detailed Statistics Departures  
Origin Airport: Charleston/Dunbar, WV: West Virginia International Yeager (CRW)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4684","N8869B","ATL","07:00","07:09","93","111","9","07:51","42","9","0","18","0","0"
"9E","12/01/2021","5371","N8943A","ATL","15:00","14:58","90","77","-2","15:12","14","0","0","0","0","0"
"9E","12/01/2022","4684","N936XJ","ATL","06:40","06:36","104","79","-4","06:57","21","0","0","0","0","0"
"9E","12/01/2022","4891","N306PQ","ATL","16:15","16:32","101","89","17","16:47","15","0","0","0","0","0"
"9E","12/01/2022","5143","N8942A","ATL","11:19","11:14","97","81","-5","11:28","14","0","0","0","0","0"
"9E","12/01/2023","4935","N325PQ","ATL","06:00","05:57","107","93","-3","06:13","16","0","0","0","0","0"
"9E","12/01/2023","5207","N367CA","ATL","12:24","12:19","98","80","-5","12:29","10","0","0","0","0","0"
"9E","12/02/2021","4684","N800AY","ATL","07:00","06:55","93","72","-5","07:05","10","0","0","0","0","0"
"9E","12/02/2021","5371","N8969A","ATL","12:20","12:15","86","77","-5","12:27","12","0","0","0","0","0"
"9E","12/02/2021","5495","N272PQ","ATL","18:10","18:07","93","73","-3","18:21","14","0","0","0","0","0"
"9E","12/02/2022","4684","N153PQ","ATL","06:40","06:37","104","95","-3","07:08","31","0","0","0","0","0"
"9E","12/02/2022","4891","N136EV","ATL","16:15","16:11","101","87","-4","16:35","24","0","0","0","0","0"
"9E","12/02/2022","5143","N801AY","ATL","11:19","11:42","97","75","23","11:53","11","0","0","0","0","0"
"9E","12/02/2023","4846","N340CA","ATL","14:00","14:15","97","105","15","14:48","33","15","0","8","0","0"
"9E","12/02/2023","4935","N923XJ","ATL","06:00","07:33","107","86","93","07:43","10","0","72","0","0","0"
"9E","12/03/2021","4684","N8965E","ATL","07:00","06:53","93","87","-7","07:14","21","0","0","0","0","0"
"9E","12/03/2021","5371","N8839E","ATL","12:20","12:16","86","87","-4","12:39","23","0","0","0","0","0"
"9E","12/03/2021","5495","N272PQ","ATL","18:10","18:05","93","72","-5","18:18","13","0","0","0","0","0"
"9E","12/03/2022","4684","N329PQ","ATL","06:40","06:35","104","85","-5","06:54","19","0","0","0","0","0"
"9E","12/03/2022","5143","N602XJ","ATL","11:19","11:12","97","82","-7","11:26","14","0","0","0","0","0"
