Detailed Statistics Departures  
Origin Airport: Charleston/Dunbar, WV: West Virginia International Yeager (CRW)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2022","4629","N909EV","ORD","07:06","07:06","119","106","0","07:30","24","0","0","0","0","0"
"OO","12/01/2022","4647","N917SW","ORD","17:13","17:05","107","95","-8","17:25","20","0","0","0","0","0"
"OO","12/01/2023","4125","N899SK","ATL","17:10","17:06","95","94","-4","17:22","16","0","0","0","0","0"
"OO","12/01/2023","4644","N961SW","ORD","17:15","19:03","115","107","108","19:20","17","0","0","0","0","100"
"OO","12/01/2023","5801","N479CA","ORD","07:00","06:49","118","119","-11","07:15","26","0","0","0","0","0"
"OO","12/02/2022","4629","N917SW","ORD","07:06","06:56","119","113","-10","07:33","37","0","0","0","0","0"
"OO","12/02/2022","4647","N709BR","ORD","17:13","17:03","107","101","-10","17:18","15","0","0","0","0","0"
"OO","12/02/2023","4644","N929SW","ORD","17:15","17:36","115","126","21","18:07","31","21","0","11","0","0"
"OO","12/02/2023","5801","N218PS","ORD","07:00","06:51","118","117","-9","07:21","30","0","0","0","0","0"
"OO","12/03/2022","4629","N920EV","ORD","07:06","06:54","119","113","-12","07:16","22","0","0","0","0","0"
"OO","12/03/2022","4647","N975SW","ORD","17:13","16:59","107","98","-14","17:14","15","0","0","0","0","0"
"OO","12/03/2023","4125","N822SK","ATL","17:10","17:09","95","94","-1","17:31","22","0","0","0","0","0"
"OO","12/03/2023","4644","N908SW","ORD","17:15","17:17","115","92","2","17:30","13","0","0","0","0","0"
"OO","12/03/2023","5801","N908SW","ORD","07:00","06:52","118","126","-8","07:18","26","0","0","0","0","0"
"OO","12/04/2022","4629","N975SW","ORD","07:06","07:03","119","116","-3","07:33","30","0","0","0","0","0"
"OO","12/04/2022","4647","N917SW","ORD","17:13","17:10","107","101","-3","17:31","21","0","0","0","0","0"
"OO","12/04/2023","4125","N822SK","ATL","17:10","17:08","95","84","-2","17:21","13","0","0","0","0","0"
"OO","12/04/2023","4644","N218PS","ORD","17:15","17:15","115","105","0","17:34","19","0","0","0","0","0"
"OO","12/04/2023","5801","N856AS","ORD","07:00","07:55","118","111","55","08:21","26","48","0","0","0","0"
"OO","12/05/2022","4629","N982SW","ORD","07:06","07:02","119","114","-4","07:31","29","0","0","0","0","0"
"OO","12/05/2022","4647","N954SW","ORD","17:13","17:04","107","104","-9","17:24","20","0","0","0","0","0"
"OO","12/05/2023","4644","N978SW","ORD","17:15","17:15","115","116","0","17:44","29","0","0","0","0","0"
"OO","12/05/2023","5801","N964SW","ORD","07:00","08:22","118","116","82","08:37","15","80","0","0","0","0"
"OO","12/06/2022","4629","N965SW","ORD","07:06","07:26","119","107","20","07:48","22","0","0","0","0","0"
"OO","12/06/2022","4647","N933EV","ORD","17:13","17:59","107","123","46","18:20","21","62","0","0","0","0"
"OO","12/06/2023","4644","N908SW","ORD","17:15","17:08","115","100","-7","17:23","15","0","0","0","0","0"
"OO","12/06/2023","5801","N908SW","ORD","07:00","06:57","118","99","-3","07:11","14","0","0","0","0","0"
