Detailed Statistics Departures  
Origin Airport: Charlotte Amalie, VI: Cyril E King (STT)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/03/2023","4893","N307FR","SJU","13:57","13:47","43","41","-10","13:59","12","0","0","0","0","0"
"F9","12/04/2021","0131","N331FR","MCO","17:02","16:58","210","221","-4","17:12","14","0","0","0","0","0"
"F9","12/04/2021","0139","N343FR","SJU","15:24","15:30","45","43","6","15:43","13","0","0","0","0","0"
"F9","12/05/2023","4893","N388FR","SJU","14:27","14:16","43","45","-11","14:28","12","0","0","0","0","0"
"F9","12/07/2023","4893","N318FR","SJU","13:57","13:51","43","46","-6","14:05","14","0","0","0","0","0"
"F9","12/10/2023","4893","N318FR","SJU","13:57","13:48","43","44","-9","14:01","13","0","0","0","0","0"
"F9","12/11/2021","0131","N322FR","MCO","17:02","16:57","210","250","-5","17:51","54","0","0","35","0","0"
"F9","12/11/2021","0139","N385FR","SJU","15:24","15:10","45","53","-14","15:35","25","0","0","0","0","0"
"F9","12/12/2023","4893","N329FR","SJU","14:27","14:14","43","44","-13","14:30","16","0","0","0","0","0"
"F9","12/14/2023","4893","N360FR","SJU","13:57","13:50","43","42","-7","14:02","12","0","0","0","0","0"
"F9","12/17/2023","4893","N382FR","SJU","13:57","13:47","43","46","-10","14:05","18","0","0","0","0","0"
"F9","12/18/2021","0131","N350FR","MCO","17:02","17:48","210","0","46","18:02","14","0","0","0","0","0"
"F9","12/18/2021","0139","N370FR","SJU","15:24","15:55","45","62","31","16:19","24","0","0","17","0","31"
"F9","12/19/2023","4893","N334FR","SJU","14:27","14:16","43","45","-11","14:34","18","0","0","0","0","0"
"F9","12/21/2023","4893","N353FR","SJU","13:42","13:45","43","45","3","14:02","17","0","0","0","0","0"
"F9","12/24/2023","4893","N353FR","SJU","13:57","15:02","43","52","65","15:25","23","0","0","9","0","65"
"F9","12/25/2021","0131","N308FR","MCO","17:02","17:19","210","189","17","17:35","16","0","0","0","0","0"
"F9","12/25/2021","0139","N336FR","SJU","15:24","15:51","45","68","27","16:00","9","0","0","23","0","27"
"F9","12/26/2023","4893","N331FR","SJU","14:27","14:08","43","64","-19","14:45","37","0","0","0","0","0"
"F9","12/28/2023","4893","N373FR","SJU","13:42","13:57","43","46","15","14:08","11","15","0","3","0","0"
"F9","12/31/2023","4893","N377FR","SJU","13:57","13:51","43","45","-6","14:06","15","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
