Detailed Statistics Departures  
Origin Airport: Charlotte Amalie, VI: Cyril E King (STT)
Airline: Spirit Airlines (NK)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"NK","12/01/2021","0212","N928NK","FLL","17:50","17:53","176","167","3","18:07","14","0","0","0","0","0"
"NK","12/01/2021","0277","N519NK","MCO","16:34","16:48","206","206","14","16:59","11","0","0","0","0","0"
"NK","12/01/2022","0212","N924NK","FLL","17:35","17:21","181","169","-14","17:31","10","0","0","0","0","0"
"NK","12/01/2022","0277","N535NK","MCO","15:32","15:56","198","207","24","16:12","16","12","0","9","0","12"
"NK","12/01/2023","0212","N922NK","FLL","18:29","18:01","175","180","-28","18:10","9","0","0","0","0","0"
"NK","12/01/2023","0277","N535NK","MCO","16:37","16:15","204","207","-22","16:30","15","0","0","0","0","0"
"NK","12/01/2023","0792","N985NK","MCO","13:41","13:48","203","203","7","14:00","12","0","0","0","0","0"
"NK","12/02/2021","0212","N946NK","FLL","17:50","17:35","176","205","-15","17:59","24","0","0","0","0","0"
"NK","12/02/2021","0277","N505NK","MCO","16:34","16:23","206","206","-11","16:37","14","0","0","0","0","0"
"NK","12/02/2022","0212","N940NK","FLL","17:35","17:23","181","178","-12","17:33","10","0","0","0","0","0"
"NK","12/02/2022","0277","N529NK","MCO","15:32","15:16","198","185","-16","15:24","8","0","0","0","0","0"
"NK","12/02/2023","0212","N905NK","FLL","18:29","18:14","175","181","-15","18:24","10","0","0","0","0","0"
"NK","12/02/2023","0277","N514NK","MCO","16:37","20:21","204","213","224","20:46","25","33","0","200","0","0"
"NK","12/02/2023","0792","N973NK","MCO","13:41","14:19","203","201","38","14:30","11","0","0","0","0","36"
