Detailed Statistics Departures  
Origin Airport: Albuquerque, NM: Albuquerque International Sunport (ABQ)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","2964","N702SK","LAX","19:31","19:26","129","113","-5","19:38","12","0","0","0","0","0"
"OO","12/01/2021","2999","N753EV","LAX","06:03","06:00","127","123","-3","06:16","16","0","0","0","0","0"
"OO","12/01/2021","3094","N753EV","LAX","11:25","11:23","122","102","-2","11:35","12","0","0","0","0","0"
"OO","12/01/2021","3292","N774SK","ORD","07:41","07:34","184","187","-7","07:50","16","0","0","0","0","0"
"OO","12/01/2021","3570","N256SY","LAX","12:55","12:49","120","126","-6","13:01","12","0","0","0","0","0"
"OO","12/01/2021","3605","N255SY","LAX","19:37","19:32","127","118","-5","19:41","9","0","0","0","0","0"
"OO","12/01/2021","3612","N241SY","LAX","06:13","06:09","127","116","-4","06:20","11","0","0","0","0","0"
"OO","12/01/2021","3656","N256SY","SLC","18:15","18:22","105","96","7","18:31","9","0","0","0","0","0"
"OO","12/01/2021","3762","N241SY","SLC","11:50","11:49","105","99","-1","12:05","16","0","0","0","0","0"
"OO","12/01/2021","4020","N260SY","SLC","05:47","05:41","108","83","-6","05:48","7","0","0","0","0","0"
"OO","12/01/2021","4675","N437SW","SFO","07:30","07:23","172","137","-7","07:37","14","0","0","0","0","0"
"OO","12/01/2021","5227","N920EV","IAH","12:10","12:03","132","133","-7","12:18","15","0","0","0","0","0"
"OO","12/01/2021","5326","N157SY","ORD","12:40","12:33","183","172","-7","12:41","8","0","0","0","0","0"
"OO","12/01/2021","5836","N259PS","SFO","16:01","16:18","169","137","17","16:30","12","0","0","0","0","0"
"OO","12/01/2022","3276","N502SY","LAX","10:30","10:21","138","136","-9","10:40","19","0","0","0","0","0"
"OO","12/01/2022","3299","N517SY","LAX","20:17","20:16","138","151","-1","20:43","27","0","0","0","0","0"
"OO","12/01/2022","3612","N293SY","LAX","06:07","05:55","123","130","-12","06:10","15","0","0","0","0","0"
"OO","12/01/2022","3656","N308SY","SLC","17:42","17:37","109","112","-5","17:55","18","0","0","0","0","0"
"OO","12/01/2022","3818","N242SY","SLC","12:47","12:41","107","99","-6","12:57","16","0","0","0","0","0"
"OO","12/01/2022","3932","N308SY","LAX","12:05","11:58","115","136","-7","12:14","16","0","0","0","0","0"
"OO","12/01/2022","4020","N296SY","SLC","05:40","05:36","113","107","-4","05:47","11","0","0","0","0","0"
"OO","12/01/2022","4051","N610CZ","LAX","19:21","19:18","118","144","-3","19:41","23","23","0","0","0","0"
"OO","12/01/2022","4871","N521SY","PHX","08:59","08:57","86","83","-2","09:10","13","0","0","0","0","0"
"OO","12/01/2023","3127","N506SY","LAX","07:30","07:22","145","142","-8","07:37","15","0","0","0","0","0"
"OO","12/01/2023","3206","N508SY","LAX","19:49","19:38","134","138","-11","20:06","28","0","0","0","0","0"
