Detailed Statistics Departures  
Origin Airport: Charlotte, NC: Charlotte Douglas International (CLT)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0904","N262WN","MDW","08:05","08:03","120","114","-2","08:15","12","0","0","0","0","0"
"WN","12/01/2021","3809","N8809L","DAL","09:15","09:20","175","165","5","09:44","24","0","0","0","0","0"
"WN","12/01/2021","4158","N714CB","STL","14:40","14:54","125","109","14","15:08","14","0","0","0","0","0"
"WN","12/01/2021","4758","N438WN","DEN","17:00","16:56","230","212","-4","17:16","20","0","0","0","0","0"
"WN","12/01/2021","5293","N8531Q","BNA","14:15","14:49","90","80","34","15:05","16","9","0","0","0","15"
"WN","12/01/2021","5530","N7847A","BWI","17:55","18:26","85","97","31","19:02","36","13","0","12","0","18"
"WN","12/01/2022","0248","N8782Q","BNA","17:00","16:59","95","86","-1","17:21","22","0","0","0","0","0"
"WN","12/01/2022","0445","N8320J","DAL","14:55","15:04","180","163","9","15:19","15","0","0","0","0","0"
"WN","12/01/2022","0588","N556WN","BWI","08:35","08:31","90","76","-4","08:45","14","0","0","0","0","0"
"WN","12/01/2022","1091","N223WN","MDW","18:55","19:22","125","109","27","19:38","16","0","0","0","0","0"
"WN","12/01/2022","1297","N8817L","MDW","06:25","06:22","130","111","-3","06:34","12","0","0","0","0","0"
"WN","12/01/2022","2136","N8616C","BWI","19:10","19:08","90","87","-2","19:28","20","0","0","0","0","0"
"WN","12/01/2022","2919","N959WN","MDW","11:10","11:05","125","115","-5","11:23","18","0","0","0","0","0"
"WN","12/01/2022","2975","N201LV","STL","13:20","13:18","120","120","-2","13:36","18","0","0","0","0","0"
"WN","12/01/2022","4189","N480WN","BNA","10:55","11:25","95","92","30","11:53","28","4","0","0","0","23"
"WN","12/01/2023","0452","N8756S","BNA","16:50","18:06","90","92","76","18:33","27","0","0","2","0","76"
"WN","12/01/2023","0713","N446WN","DAL","06:30","06:26","170","174","-4","06:38","12","0","0","0","0","0"
"WN","12/01/2023","0807","N8568Z","BWI","13:30","13:30","85","82","0","13:55","25","0","0","0","0","0"
"WN","12/01/2023","0967","N8629A","MDW","07:25","07:25","125","114","0","07:35","10","0","0","0","0","0"
"WN","12/01/2023","1718","N435WN","STL","12:15","12:14","120","116","-1","12:31","17","0","0","0","0","0"
"WN","12/01/2023","1722","N8544Z","BNA","11:35","11:32","95","84","-3","11:44","12","0","0","0","0","0"
"WN","12/01/2023","1931","N8316H","MDW","19:25","19:25","120","108","0","19:36","11","0","0","0","0","0"
"WN","12/01/2023","2095","N8778Q","BWI","19:05","19:02","90","72","-3","19:17","15","0","0","0","0","0"
"WN","12/01/2023","3699","N8321D","BWI","08:00","07:58","85","70","-2","08:11","13","0","0","0","0","0"
"WN","12/02/2021","0904","N435WN","MDW","08:05","07:59","120","113","-6","08:12","13","0","0","0","0","0"
"WN","12/02/2021","3809","N8576Z","DAL","09:15","09:12","175","144","-3","09:24","12","0","0","0","0","0"
"WN","12/02/2021","4158","N224WN","STL","14:40","14:51","125","111","11","15:05","14","0","0","0","0","0"
"WN","12/02/2021","4758","N7727A","DEN","17:00","16:57","230","211","-3","17:16","19","0","0","0","0","0"
"WN","12/02/2021","5293","N8578Q","BNA","14:15","15:01","90","75","46","15:13","12","7","0","0","0","24"
"WN","12/02/2021","5530","N961WN","BWI","17:55","17:54","85","80","-1","18:16","22","0","0","0","0","0"
"WN","12/02/2022","0248","N8582Z","BNA","17:00","17:00","95","77","0","17:14","14","0","0","0","0","0"
"WN","12/02/2022","0445","N8745K","DAL","14:55","15:18","180","153","23","15:30","12","0","0","0","0","0"
"WN","12/02/2022","0588","N450WN","BWI","08:35","08:33","90","76","-2","08:47","14","0","0","0","0","0"
"WN","12/02/2022","1091","N228WN","MDW","18:55","18:49","125","120","-6","19:11","22","0","0","0","0","0"
"WN","12/02/2022","1297","N8310C","MDW","06:25","06:24","130","139","-1","06:55","31","0","0","0","0","0"
"WN","12/02/2022","2136","N8719Q","BWI","19:10","19:11","90","85","1","19:26","15","0","0","0","0","0"
"WN","12/02/2022","2919","N295WN","MDW","11:10","11:22","125","108","12","11:32","10","0","0","0","0","0"
"WN","12/02/2022","2975","N8663A","STL","13:20","13:13","120","107","-7","13:24","11","0","0","0","0","0"
"WN","12/02/2022","4189","N407WN","BNA","10:55","10:54","95","74","-1","11:04","10","0","0","0","0","0"
"WN","12/02/2023","0713","N8549Z","DAL","08:00","07:57","170","170","-3","08:14","17","0","0","0","0","0"
"WN","12/02/2023","0807","N8836Q","BWI","17:20","17:14","80","85","-6","17:39","25","0","0","0","0","0"
