Detailed Statistics Departures  
Origin Airport: Chattanooga, TN: Lovell Field (CHA)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","1543","N893AT","ATL","11:53","11:50","47","39","-3","12:00","10","0","0","0","0","0"
"DL","12/01/2021","1552","N717JL","ATL","17:27","17:25","54","47","-2","17:39","14","0","0","0","0","0"
"DL","12/01/2021","2380","N988AT","ATL","07:10","07:08","48","44","-2","07:19","11","0","0","0","0","0"
"DL","12/01/2021","2838","N946AT","ATL","06:00","05:58","47","40","-2","06:09","11","0","0","0","0","0"
"DL","12/01/2022","0382","N340NB","ATL","07:00","06:58","56","40","-2","07:07","9","0","0","0","0","0"
"DL","12/01/2022","0759","N983AT","ATL","20:13","20:16","58","48","3","20:25","9","0","0","0","0","0"
"DL","12/01/2022","1411","N937AT","ATL","13:31","13:41","59","46","10","13:52","11","0","0","0","0","0"
"DL","12/01/2022","2079","N991AT","ATL","05:30","05:30","56","43","0","05:41","11","0","0","0","0","0"
"DL","12/01/2022","2422","N952AT","ATL","10:40","10:33","51","48","-7","10:45","12","0","0","0","0","0"
"DL","12/01/2023","1405","N942AT","ATL","10:35","10:26","48","40","-9","10:35","9","0","0","0","0","0"
"DL","12/01/2023","2124","N946AT","ATL","07:04","07:00","51","49","-4","07:18","18","0","0","0","0","0"
