Detailed Statistics Departures  
Origin Airport: Chattanooga, TN: Lovell Field (CHA)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5034","N512AE","CLT","05:05","06:40","86","75","95","06:58","18","84","0","0","0","0"
"OH","12/01/2021","5518","N725PS","DCA","16:21","16:15","98","93","-6","16:34","19","0","0","0","0","0"
"OH","12/01/2022","5300","N553NN","CLT","15:04","14:51","83","76","-13","15:16","25","0","0","0","0","0"
"OH","12/01/2023","5219","N706PS","DCA","19:35","21:17","103","100","102","21:31","14","0","0","0","0","99"
"OH","12/02/2021","5518","N709PS","DCA","16:16","16:08","98","92","-8","16:19","11","0","0","0","0","0"
"OH","12/02/2022","5300","N568NN","CLT","15:04","14:58","83","78","-6","15:16","18","0","0","0","0","0"
"OH","12/03/2021","5518","N708PS","DCA","16:16","16:08","98","89","-8","16:18","10","0","0","0","0","0"
"OH","12/03/2023","5219","N706PS","DCA","19:35","21:05","103","81","90","21:15","10","0","0","54","0","14"
"OH","12/04/2021","5518","N540EG","DCA","16:16","16:04","98","95","-12","16:14","10","0","0","0","0","0"
"OH","12/04/2022","5300","N615NN","CLT","15:04","15:14","83","73","10","15:26","12","0","0","0","0","0"
"OH","12/04/2023","5219","N526EA","DCA","19:35","19:22","103","89","-13","19:34","12","0","0","0","0","0"
"OH","12/05/2021","5518","N533AE","DCA","16:16","16:06","98","115","-10","16:17","11","0","0","0","0","0"
"OH","12/05/2022","5300","N615NN","CLT","15:04","15:00","83","73","-4","15:17","17","0","0","0","0","0"
"OH","12/05/2023","5219","N530EA","DCA","19:41","19:29","103","90","-12","19:38","9","0","0","0","0","0"
"OH","12/06/2021","5518","N725PS","DCA","16:16","16:14","98","90","-2","16:29","15","0","0","0","0","0"
"OH","12/06/2022","5300","N611NN","CLT","15:04","15:32","83","81","28","15:47","15","6","0","0","0","20"
"OH","12/06/2023","5219","N545PB","DCA","19:41","19:28","103","104","-13","19:39","11","0","0","0","0","0"
"OH","12/07/2021","5518","N510AE","DCA","16:16","16:26","98","89","10","16:37","11","0","0","0","0","0"
"OH","12/07/2022","5300","N583NN","CLT","15:04","15:08","83","79","4","15:21","13","0","0","0","0","0"
"OH","12/07/2023","5219","N524AE","DCA","19:41","19:29","103","94","-12","19:41","12","0","0","0","0","0"
"OH","12/07/2023","5482","N571NN","CLT","18:16","18:06","82","81","-10","18:26","20","0","0","0","0","0"
"OH","12/08/2021","5518","N710PS","DCA","16:16","16:05","98","87","-11","16:18","13","0","0","0","0","0"
"OH","12/08/2022","5300","N557NN","CLT","15:04","15:02","83","68","-2","15:10","8","0","0","0","0","0"
"OH","12/08/2023","5219","N504AE","DCA","19:41","19:28","103","108","-13","19:43","15","0","0","0","0","0"
"OH","12/08/2023","5482","N609NN","CLT","18:16","18:09","82","88","-7","18:33","24","0","0","0","0","0"
"OH","12/09/2021","5518","N523AE","DCA","16:16","16:33","98","89","17","16:46","13","0","0","0","0","0"
"OH","12/09/2022","5300","N570NN","CLT","15:04","15:13","83","68","9","15:25","12","0","0","0","0","0"
"OH","12/09/2023","5482","N559NN","CLT","18:16","18:18","82","124","2","18:43","25","0","0","42","0","2"
"OH","12/10/2021","5518","N539EA","DCA","16:16","16:18","98","92","2","16:37","19","0","0","0","0","0"
"OH","12/10/2023","5219","N511AE","DCA","19:41","20:56","103","138","75","21:17","21","0","0","35","0","75"
"OH","12/10/2023","5482","N607NN","CLT","18:16","18:19","82","90","3","18:40","21","0","0","0","0","0"
"OH","12/11/2021","5518","N708PS","DCA","16:16","16:58","98","82","42","17:13","15","0","0","0","0","26"
"OH","12/11/2022","5300","N558NN","CLT","15:04","15:20","83","89","16","15:49","29","16","0","6","0","0"
"OH","12/11/2023","5219","N542EA","DCA","19:41","19:33","103","105","-8","19:50","17","0","0","0","0","0"
"OH","12/11/2023","5482","N553NN","CLT","18:16","18:46","82","72","30","18:58","12","5","0","0","0","15"
"OH","12/12/2021","5518","N524AE","DCA","16:16","16:42","98","99","26","17:01","19","6","0","1","0","20"
"OH","12/12/2022","5300","N551NN","CLT","15:04","21:53","83","73","409","22:07","14","84","0","0","0","315"
"OH","12/12/2023","5219","N529EA","DCA","19:41","20:03","103","85","22","20:10","7","0","0","0","0","0"
"OH","12/13/2021","5518","N702PS","DCA","16:16","16:06","98","87","-10","16:19","13","0","0","0","0","0"
"OH","12/13/2022","5300","N557NN","CLT","15:04","15:12","83","67","8","15:22","10","0","0","0","0","0"
"OH","12/13/2023","5219","N529EA","DCA","19:41","19:30","103","94","-11","19:39","9","0","0","0","0","0"
"OH","12/14/2021","5518","N710PS","DCA","16:16","16:08","98","100","-8","16:17","9","0","0","0","0","0"
"OH","12/14/2022","5300","N547NN","CLT","15:04","15:11","83","68","7","15:27","16","0","0","0","0","0"
"OH","12/14/2023","5219","N533AE","DCA","19:41","19:35","103","104","-6","19:51","16","0","0","0","0","0"
"OH","12/14/2023","5482","N560NN","CLT","18:16","18:08","82","87","-8","18:22","14","0","0","0","0","0"
"OH","12/15/2021","5518","N545PB","DCA","16:16","16:03","98","96","-13","16:14","11","0","0","0","0","0"
"OH","12/15/2022","5300","N596NN","CLT","15:07","15:21","82","85","14","15:43","22","14","0","3","0","0"
"OH","12/15/2023","5219","N527EA","DCA","19:41","19:31","103","118","-10","19:43","12","0","0","0","0","0"
"OH","12/15/2023","5482","N601EN","CLT","18:16","18:10","82","79","-6","18:24","14","0","0","0","0","0"
"OH","12/16/2021","5518","N720PS","DCA","16:18","16:10","101","92","-8","16:21","11","0","0","0","0","0"
"OH","12/16/2022","5300","N547NN","CLT","15:07","15:28","82","68","21","15:43","15","0","0","0","0","0"
"OH","12/16/2023","5482","N573NN","CLT","18:16","19:13","82","73","57","19:26","13","9","0","0","0","39"
"OH","12/17/2021","5518","N531EG","DCA","16:18","16:09","101","84","-9","16:18","9","0","0","0","0","0"
"OH","12/17/2023","5219","N527EA","DCA","19:41","19:40","103","127","-1","19:57","17","0","0","23","0","0"
"OH","12/17/2023","5482","N581NN","CLT","18:16","19:01","82","100","45","19:23","22","0","1","18","0","44"
"OH","12/18/2021","5518","N562NN","DCA","16:18","16:13","101","85","-5","16:22","9","0","0","0","0","0"
"OH","12/18/2022","5300","N553NN","CLT","15:07","15:12","82","65","5","15:22","10","0","0","0","0","0"
"OH","12/18/2023","5219","N504AE","DCA","19:41","19:48","103","95","7","19:59","11","0","0","0","0","0"
"OH","12/18/2023","5482","N604NN","CLT","18:16","18:14","82","85","-2","18:28","14","0","0","0","0","0"
"OH","12/19/2021","5518","N524AE","DCA","16:18","16:14","101","85","-4","16:25","11","0","0","0","0","0"
"OH","12/19/2022","5300","N569NN","CLT","15:07","15:25","82","76","18","15:43","18","0","0","0","0","0"
"OH","12/19/2023","5219","N501BG","DCA","19:41","19:30","103","104","-11","19:45","15","0","0","0","0","0"
"OH","12/20/2021","5518","N522AE","DCA","16:18","16:27","101","91","9","16:42","15","0","0","0","0","0"
"OH","12/20/2022","5300","N599NN","CLT","15:07","15:11","82","84","4","15:26","15","0","0","0","0","0"
