Detailed Statistics Departures  
Origin Airport: Cheyenne, WY: Cheyenne Regional/Jerry Olson Field (CYS)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5080","N875AS","DEN","14:40","14:32","48","53","-8","14:49","17","0","0","0","0","0"
"OO","12/01/2021","5173","N809CA","DEN","07:45","07:33","48","36","-12","07:42","9","0","0","0","0","0"
"OO","12/01/2022","5173","N980SW","DEN","06:00","05:58","65","47","-2","06:20","22","0","0","0","0","0"
"OO","12/01/2022","5197","N945SW","DEN","13:44","13:39","65","45","-5","13:54","15","0","0","0","0","0"
"OO","12/01/2023","5173","N914EV","DEN","06:30","06:29","55","52","-1","06:48","19","0","0","0","0","0"
"OO","12/01/2023","5197","N930EV","DEN","14:04","13:56","55","56","-8","14:09","13","0","0","0","0","0"
"OO","12/02/2021","5080","N438SW","DEN","14:40","14:30","48","49","-10","14:45","15","0","0","0","0","0"
"OO","12/02/2021","5173","N453SW","DEN","07:45","07:33","48","36","-12","07:46","13","0","0","0","0","0"
"OO","12/02/2022","5173","N207PS","DEN","06:00","05:44","65","40","-16","05:56","12","0","0","0","0","0"
"OO","12/02/2022","5197","N912EV","DEN","13:44","14:15","65","41","31","14:23","8","0","0","0","0","0"
"OO","12/02/2023","5173","N943SW","DEN","06:30","06:26","55","42","-4","06:33","7","0","0","0","0","0"
"OO","12/03/2021","5080","N930EV","DEN","14:40","14:50","48","45","10","15:08","18","0","0","0","0","0"
"OO","12/03/2021","5173","N925SW","DEN","07:45","09:06","48","44","81","09:18","12","0","0","0","0","77"
"OO","12/03/2022","5173","N909SW","DEN","06:00","05:50","65","53","-10","06:17","27","0","0","0","0","0"
"OO","12/03/2022","5197","N464SW","DEN","13:44","13:35","65","40","-9","13:43","8","0","0","0","0","0"
"OO","12/03/2023","5173","N917SW","DEN","06:30","06:28","55","43","-2","06:37","9","0","0","0","0","0"
"OO","12/03/2023","5197","N983SW","DEN","14:04","13:52","55","65","-12","14:14","22","0","0","0","0","0"
"OO","12/04/2021","5173","N259PS","DEN","07:45","08:18","48","56","33","08:47","29","41","0","0","0","0"
"OO","12/04/2022","5173","N946SW","DEN","06:00","05:48","65","44","-12","06:05","17","0","0","0","0","0"
"OO","12/04/2022","5197","N955SW","DEN","13:44","13:39","65","39","-5","13:51","12","0","0","0","0","0"
"OO","12/04/2023","5173","N973SW","DEN","06:30","06:23","55","27","-7","06:28","5","0","0","0","0","0"
"OO","12/04/2023","5197","N926SW","DEN","14:04","13:55","55","44","-9","14:10","15","0","0","0","0","0"
"OO","12/05/2021","5061","N492SW","DEN","14:40","15:44","48","69","64","16:20","36","0","85","0","0","0"
"OO","12/05/2021","5173","N430SW","DEN","07:45","07:35","48","32","-10","07:42","7","0","0","0","0","0"
"OO","12/05/2022","5173","N906EV","DEN","06:00","05:57","65","37","-3","06:08","11","0","0","0","0","0"
"OO","12/05/2022","5197","N875AS","DEN","13:44","13:38","65","45","-6","13:51","13","0","0","0","0","0"
"OO","12/05/2023","5173","N960SW","DEN","06:30","06:31","55","29","1","06:36","5","0","0","0","0","0"
"OO","12/05/2023","5197","N954SW","DEN","14:04","14:05","55","46","1","14:24","19","0","0","0","0","0"
"OO","12/06/2021","5061","N924SW","DEN","14:40","15:34","48","50","54","15:53","19","0","0","0","0","56"
"OO","12/06/2021","5173","N907SW","DEN","07:45","07:35","48","43","-10","07:52","17","0","0","0","0","0"
"OO","12/06/2022","5173","N909EV","DEN","06:00","05:53","65","32","-7","05:58","5","0","0","0","0","0"
"OO","12/06/2022","5197","N943SW","DEN","13:44","13:35","65","43","-9","13:43","8","0","0","0","0","0"
"OO","12/06/2023","5173","N679SA","DEN","06:30","06:24","55","33","-6","06:33","9","0","0","0","0","0"
"OO","12/06/2023","5197","N900EV","DEN","14:04","13:55","55","57","-9","14:25","30","0","0","0","0","0"
"OO","12/07/2021","5173","N437SW","DEN","07:45","07:43","48","40","-2","07:58","15","0","0","0","0","0"
"OO","12/07/2022","5173","N964SW","DEN","06:00","05:55","65","31","-5","06:04","9","0","0","0","0","0"
"OO","12/07/2022","5197","N876AS","DEN","13:44","13:35","65","37","-9","13:45","10","0","0","0","0","0"
