Detailed Statistics Departures  
Origin Airport: Chicago, IL: Chicago O'Hare International (ORD)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","0411","N338FR","DEN","13:00","12:54","172","165","-6","13:18","24","0","0","0","0","0"
"F9","12/01/2021","1155","N720FR","MCO","06:12","06:08","177","152","-4","06:23","15","0","0","0","0","0"
"F9","12/01/2021","1419","N378FR","LAS","21:12","21:32","262","222","20","21:47","15","0","0","0","0","0"
"F9","12/01/2021","1575","N347FR","ATL","16:46","16:44","139","117","-2","16:56","12","0","0","0","0","0"
"F9","12/01/2022","1155","N723FR","MCO","18:34","18:36","192","173","2","19:02","26","0","0","0","0","0"
"F9","12/01/2022","1575","N324FR","ATL","21:15","21:44","129","108","29","22:00","16","0","0","0","0","0"
"F9","12/01/2023","1596","N629FR","ATL","18:21","18:26","138","134","5","18:52","26","0","0","0","0","0"
"F9","12/01/2023","1827","N383FR","PHX","21:40","21:59","258","241","19","22:29","30","0","0","0","0","0"
"F9","12/01/2023","3044","N613FR","MCO","20:30","20:32","182","175","2","21:08","36","0","0","0","0","0"
"F9","12/02/2021","0411","N714FR","DEN","12:18","12:11","175","161","-7","12:28","17","0","0","0","0","0"
"F9","12/02/2021","1155","N719FR","MCO","06:12","06:15","177","142","3","06:29","14","0","0","0","0","0"
"F9","12/02/2021","1419","N705FR","LAS","21:20","21:13","262","236","-7","21:33","20","0","0","0","0","0"
"F9","12/02/2021","1423","N372FR","MIA","06:15","06:25","199","171","10","06:38","13","0","0","0","0","0"
"F9","12/02/2021","1427","N351FR","PHX","20:53","20:50","250","221","-3","21:12","22","0","0","0","0","0"
"F9","12/02/2021","1439","N347FR","RSW","07:00","06:54","193","154","-6","07:09","15","0","0","0","0","0"
"F9","12/02/2022","1155","N720FR","MCO","18:34","21:26","192","141","172","21:41","15","0","0","0","0","121"
"F9","12/02/2022","1575","N323FR","ATL","21:15","21:40","129","112","25","22:03","23","0","0","0","0","0"
"F9","12/02/2023","1596","N626FR","ATL","18:21","18:15","138","143","-6","18:43","28","0","0","0","0","0"
"F9","12/02/2023","1827","N305FR","PHX","21:40","21:40","258","233","0","22:01","21","0","0","0","0","0"
"F9","12/02/2023","3044","N706FR","MCO","20:30","20:24","182","174","-6","20:41","17","0","0","0","0","0"
"F9","12/03/2021","0411","N711FR","DEN","11:12","11:18","176","164","6","11:37","19","0","0","0","0","0"
"F9","12/03/2021","1155","N708FR","MCO","06:12","06:10","177","151","-2","06:26","16","0","0","0","0","0"
"F9","12/03/2021","1419","N364FR","LAS","21:12","21:49","262","236","37","22:12","23","0","0","0","0","0"
"F9","12/03/2021","1423","N351FR","MIA","09:15","09:05","199","194","-10","09:27","22","0","0","0","0","0"
"F9","12/03/2021","1427","N372FR","PHX","20:53","20:55","250","232","2","21:16","21","0","0","0","0","0"
"F9","12/03/2021","1447","N372FR","TPA","05:59","05:54","178","171","-5","06:23","29","0","0","0","0","0"
