Detailed Statistics Departures  
Origin Airport: Chicago, IL: Chicago O'Hare International (ORD)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","5178","N135EV","DTW","08:59","08:57","86","76","-2","09:16","19","0","0","0","0","0"
"9E","12/01/2021","5493","N602LR","JFK","07:00","06:57","136","118","-3","07:12","15","0","0","0","0","0"
"9E","12/01/2022","4924","N299PQ","JFK","11:14","11:39","135","151","25","12:19","40","11","0","16","0","14"
"9E","12/01/2022","5244","N607LR","JFK","14:40","14:37","138","114","-3","14:53","16","0","0","0","0","0"
"9E","12/01/2022","5381","N600LR","JFK","17:38","17:50","141","139","12","18:16","26","0","0","0","0","0"
"9E","12/02/2021","5178","N931XJ","DTW","08:59","08:49","86","78","-10","09:04","15","0","0","0","0","0"
"9E","12/02/2021","5493","N296PQ","JFK","07:00","06:55","136","121","-5","07:06","11","0","0","0","0","0"
"9E","12/02/2022","4924","N298PQ","JFK","11:14","11:12","135","138","-2","11:27","15","0","0","0","0","0"
"9E","12/02/2022","5244","N135EV","JFK","14:40","14:35","138","129","-5","14:56","21","0","0","0","0","0"
"9E","12/02/2022","5381","N299PQ","JFK","17:38","17:35","141","124","-3","17:51","16","0","0","0","0","0"
"9E","12/03/2021","5178","N299PQ","DTW","08:59","08:55","86","65","-4","09:07","12","0","0","0","0","0"
"9E","12/03/2021","5493","N298PQ","JFK","07:00","07:01","136","118","1","07:26","25","0","0","0","0","0"
"9E","12/03/2022","4924","N176PQ","JFK","11:14","11:44","135","142","30","12:04","20","2","0","7","0","28"
"9E","12/03/2022","5244","N306PQ","JFK","14:40","14:37","138","128","-3","14:54","17","0","0","0","0","0"
"9E","12/03/2022","5381","N133EV","JFK","17:38","17:48","141","125","10","18:08","20","0","0","0","0","0"
"9E","12/04/2021","5134","N311PQ","JFK","10:55","10:56","129","110","1","11:11","15","0","0","0","0","0"
"9E","12/04/2021","5493","N326PQ","JFK","07:00","06:59","136","111","-1","07:10","11","0","0","0","0","0"
"9E","12/04/2022","4924","N132EV","JFK","11:14","11:32","135","110","18","11:44","12","0","0","0","0","0"
"9E","12/04/2022","5244","N601LR","JFK","14:40","14:37","138","132","-3","14:51","14","0","0","0","0","0"
"9E","12/04/2022","5381","N925XJ","JFK","17:38","17:38","141","133","0","18:00","22","0","0","0","0","0"
"9E","12/05/2021","5178","N182GJ","DTW","08:59","08:55","85","71","-4","09:12","17","0","0","0","0","0"
"9E","12/05/2021","5493","N695CA","JFK","07:00","07:00","142","118","0","07:16","16","0","0","0","0","0"
"9E","12/05/2022","4924","N186PQ","JFK","11:14","11:10","135","117","-4","11:21","11","0","0","0","0","0"
"9E","12/05/2022","5244","N302PQ","JFK","14:40","14:41","138","120","1","14:56","15","0","0","0","0","0"
"9E","12/05/2022","5381","N176PQ","JFK","17:38","18:29","141","123","51","18:49","20","14","0","0","0","19"
"9E","12/06/2021","5178","N913XJ","DTW","08:59","08:53","85","103","-6","09:37","44","0","0","0","0","0"
"9E","12/06/2021","5493","N311PQ","JFK","07:00","06:58","142","121","-2","07:08","10","0","0","0","0","0"
"9E","12/06/2022","4924","N186PQ","JFK","11:14","12:18","135","129","64","12:35","17","58","0","0","0","0"
"9E","12/06/2022","5244","N136EV","JFK","14:40","14:40","138","126","0","14:59","19","0","0","0","0","0"
"9E","12/06/2022","5381","N326PQ","JFK","17:38","17:37","141","148","-1","18:00","23","0","0","0","0","0"
"9E","12/07/2021","5178","N349PQ","DTW","08:59","08:58","85","78","-1","09:25","27","0","0","0","0","0"
"9E","12/07/2021","5493","N936XJ","JFK","07:00","06:56","142","115","-4","07:08","12","0","0","0","0","0"
"9E","12/07/2022","4924","N936XJ","JFK","11:14","11:36","135","141","22","12:07","31","2","0","6","0","20"
"9E","12/07/2022","5244","N195PQ","JFK","14:40","16:09","138","142","89","16:26","17","0","0","93","0","0"
"9E","12/07/2022","5381","N932XJ","JFK","17:38","18:15","141","147","37","18:51","36","0","0","15","0","28"
"9E","12/08/2021","5178","N678CA","DTW","08:59","08:57","85","82","-2","09:23","26","0","0","0","0","0"
"9E","12/08/2021","5493","N320PQ","JFK","07:00","06:55","142","112","-5","07:06","11","0","0","0","0","0"
"9E","12/08/2022","4924","N313PQ","JFK","11:14","11:43","135","113","29","11:59","16","0","0","0","0","0"
"9E","12/08/2022","5244","N600LR","JFK","14:40","14:40","138","115","0","15:00","20","0","0","0","0","0"
"9E","12/08/2022","5381","N324PQ","JFK","17:38","17:49","141","137","11","18:18","29","0","0","0","0","0"
"9E","12/09/2021","5178","N272PQ","DTW","08:59","08:55","85","71","-4","09:13","18","0","0","0","0","0"
"9E","12/09/2021","5493","N913XJ","JFK","07:00","06:56","142","125","-4","07:21","25","0","0","0","0","0"
"9E","12/09/2022","4924","N936XJ","JFK","11:14","11:09","135","160","-5","11:58","49","0","0","20","0","0"
"9E","12/09/2022","5244","N131EV","JFK","14:40","14:42","138","133","2","15:07","25","0","0","0","0","0"
"9E","12/09/2022","5381","N310PQ","JFK","17:38","17:36","141","125","-2","17:51","15","0","0","0","0","0"
"9E","12/10/2021","5178","N296PQ","DTW","08:59","08:56","85","79","-3","09:19","23","0","0","0","0","0"
"9E","12/10/2021","5493","N929XJ","JFK","07:00","06:57","142","126","-3","07:17","20","0","0","0","0","0"
"9E","12/10/2021","5507","N311PQ","DTW","14:16","14:11","84","74","-5","14:31","20","0","0","0","0","0"
"9E","12/10/2022","4924","N936XJ","JFK","11:14","11:09","135","130","-5","11:41","32","0","0","0","0","0"
"9E","12/10/2022","5244","N305PQ","JFK","14:40","14:40","138","131","0","15:00","20","0","0","0","0","0"
"9E","12/10/2022","5381","N925XJ","JFK","17:38","17:41","141","161","3","18:12","31","0","0","23","0","0"
"9E","12/11/2021","5244","N341PQ","JFK","14:00","13:57","134","123","-3","14:10","13","0","0","0","0","0"
"9E","12/11/2021","5493","N313PQ","JFK","07:00","06:55","140","133","-5","07:11","16","0","0","0","0","0"
"9E","12/11/2022","4924","N935XJ","JFK","11:14","11:10","135","136","-4","11:33","23","0","0","0","0","0"
"9E","12/11/2022","5244","N932XJ","JFK","14:40","14:35","138","132","-5","14:49","14","0","0","0","0","0"
"9E","12/11/2022","5381","N930XJ","JFK","17:38","17:38","141","142","0","17:53","15","0","0","0","0","0"
"9E","12/12/2021","5178","N929XJ","DTW","08:59","08:56","85","75","-3","09:16","20","0","0","0","0","0"
"9E","12/12/2021","5493","N319PQ","JFK","07:00","07:03","142","115","3","07:15","12","0","0","0","0","0"
"9E","12/12/2022","4924","N132EV","JFK","11:14","11:12","135","145","-2","11:30","18","0","0","0","0","0"
"9E","12/12/2022","5244","N319PQ","JFK","14:40","14:37","138","136","-3","15:04","27","0","0","0","0","0"
"9E","12/12/2022","5381","N903XJ","JFK","17:38","17:34","141","140","-4","18:02","28","0","0","0","0","0"
"9E","12/13/2021","5178","N691CA","DTW","08:59","08:54","85","63","-5","09:06","12","0","0","0","0","0"
"9E","12/13/2021","5493","N313PQ","JFK","07:00","06:53","142","118","-7","07:05","12","0","0","0","0","0"
"9E","12/13/2022","4924","N335PQ","JFK","11:14","11:10","135","128","-4","11:32","22","0","0","0","0","0"
"9E","12/13/2022","5244","N310PQ","JFK","14:40","14:38","138","122","-2","14:53","15","0","0","0","0","0"
"9E","12/13/2022","5381","N181GJ","JFK","17:38","18:05","141","174","27","18:47","42","0","0","38","0","22"
"9E","12/14/2021","5178","N337PQ","DTW","08:59","08:54","85","70","-5","09:10","16","0","0","0","0","0"
"9E","12/14/2021","5493","N331PQ","JFK","07:00","07:00","142","118","0","07:15","15","0","0","0","0","0"
"9E","12/14/2022","4924","N602LR","JFK","11:14","11:10","135","117","-4","11:25","15","0","0","0","0","0"
"9E","12/14/2022","5244","N303PQ","JFK","14:40","14:37","138","130","-3","15:06","29","0","0","0","0","0"
"9E","12/14/2022","5381","N176PQ","JFK","17:38","17:42","141","136","4","18:03","21","0","0","0","0","0"
"9E","12/15/2021","5178","N605LR","DTW","08:59","08:54","85","74","-5","09:13","19","0","0","0","0","0"
"9E","12/15/2021","5493","N330PQ","JFK","07:00","06:57","142","121","-3","07:15","18","0","0","0","0","0"
"9E","12/15/2022","4924","N337PQ","JFK","11:14","11:13","135","144","-1","11:31","18","0","0","0","0","0"
"9E","12/15/2022","5244","N309PQ","JFK","14:40","15:22","138","162","42","16:07","45","28","0","24","0","14"
"9E","12/15/2022","5381","N176PQ","JFK","17:38","19:10","141","240","92","20:31","81","0","0","99","0","92"
"9E","12/16/2021","5178","N316PQ","DTW","08:59","08:56","85","90","-3","09:27","31","0","0","0","0","0"
"9E","12/16/2021","5493","N304PQ","JFK","07:00","00:00","142","0","0","00:00","0","0","0","0","0","0"
"9E","12/16/2022","4924","N935XJ","JFK","11:14","12:20","135","148","66","12:50","30","0","8","13","0","58"
"9E","12/16/2022","5244","N232PQ","JFK","14:40","14:54","138","144","14","15:20","26","14","0","6","0","0"
"9E","12/16/2022","5381","N136EV","JFK","17:38","17:38","141","171","0","18:27","49","0","0","30","0","0"
"9E","12/16/2023","5196","N319PQ","MSP","10:07","10:00","103","96","-7","10:33","33","0","0","0","0","0"
"9E","12/17/2021","5178","N299PQ","DTW","08:59","08:54","85","75","-5","09:16","22","0","0","0","0","0"
"9E","12/17/2021","5493","N909XJ","JFK","07:00","06:59","142","123","-1","07:30","31","0","0","0","0","0"
"9E","12/17/2022","5304","N147PQ","JFK","11:59","11:57","142","140","-2","12:28","31","0","0","0","0","0"
"9E","12/17/2022","5387","N135EV","JFK","18:00","17:58","148","165","-2","18:46","48","0","0","15","0","0"
"9E","12/17/2023","5196","N313PQ","MSP","10:07","10:13","103","99","6","10:43","30","0","0","0","0","0"
"9E","12/18/2021","4762","N279PQ","JFK","07:00","06:59","142","122","-1","07:19","20","0","0","0","0","0"
"9E","12/18/2021","5244","N279PQ","JFK","14:44","14:44","140","115","0","14:59","15","0","0","0","0","0"
"9E","12/18/2022","5304","N906XJ","JFK","11:59","12:12","142","129","13","12:33","21","0","0","0","0","0"
"9E","12/18/2022","5387","N296PQ","JFK","18:00","18:08","148","134","8","18:36","28","0","0","0","0","0"
"9E","12/18/2023","5196","N678CA","MSP","10:07","10:11","103","83","4","10:24","13","0","0","0","0","0"
"9E","12/19/2022","5304","N907XJ","JFK","11:59","11:55","142","167","-4","12:18","23","0","0","21","0","0"
"9E","12/19/2022","5387","N903XJ","JFK","18:00","17:58","148","153","-2","18:16","18","0","0","0","0","0"
"9E","12/19/2023","5196","N132EV","MSP","10:07","10:07","103","89","0","10:30","23","0","0","0","0","0"
"9E","12/20/2022","5304","N341PQ","JFK","11:59","11:56","142","130","-3","12:12","16","0","0","0","0","0"
"9E","12/20/2022","5387","N146PQ","JFK","18:00","17:56","148","135","-4","18:27","31","0","0","0","0","0"
"9E","12/20/2023","5196","N315PQ","MSP","10:07","10:05","103","83","-2","10:24","19","0","0","0","0","0"
"9E","12/21/2022","5304","N341PQ","JFK","11:59","12:01","142","146","2","12:38","37","0","0","0","0","0"
"9E","12/21/2022","5387","N301PQ","JFK","18:00","18:15","148","132","15","18:37","22","0","0","0","0","0"
"9E","12/21/2023","5196","N341PQ","MSP","10:07","10:03","103","101","-4","10:32","29","0","0","0","0","0"
"9E","12/22/2022","5304","N300PQ","JFK","11:59","12:03","142","139","4","12:31","28","0","0","0","0","0"
"9E","12/22/2022","5387","N135EV","JFK","18:00","00:00","148","0","0","00:00","0","0","0","0","0","0"
"9E","12/22/2023","5196","N137EV","MSP","10:07","10:14","103","85","7","10:33","19","0","0","0","0","0"
"9E","12/23/2022","5304","N905XJ","JFK","11:59","00:00","142","0","0","00:00","0","0","0","0","0","0"
"9E","12/23/2022","5387","N294PQ","JFK","18:00","10:13","148","133","973","10:28","15","0","844","0","0","114"
"9E","12/23/2023","5196","N176PQ","MSP","10:07","10:18","103","91","11","10:38","20","0","0","0","0","0"
"9E","12/23/2023","5209","N920XJ","DTW","10:30","14:14","90","80","224","14:38","24","0","0","0","0","214"
"9E","12/24/2022","5244","N295PQ","JFK","15:20","11:57","141","158","1237","12:28","31","1237","0","17","0","0"
"9E","12/25/2022","5244","N335PQ","JFK","15:20","00:00","141","0","0","00:00","0","0","0","0","0","0"
"9E","12/26/2021","5305","N928XJ","DTW","14:05","14:03","84","70","-2","14:20","17","0","0","0","0","0"
"9E","12/26/2022","4989","N301PQ","JFK","15:20","15:22","141","163","2","15:51","29","0","0","24","0","0"
"9E","12/26/2023","5196","N183GJ","MSP","10:07","10:01","103","85","-6","10:25","24","0","0","0","0","0"
"9E","12/27/2022","4989","N195PQ","JFK","15:20","15:28","141","136","8","15:44","16","0","0","0","0","0"
"9E","12/27/2023","5196","N182GJ","MSP","10:07","10:05","103","74","-2","10:20","15","0","0","0","0","0"
"9E","12/28/2022","4989","N906XJ","JFK","15:20","16:20","141","130","60","16:40","20","49","0","0","0","0"
"9E","12/28/2023","5196","N183GJ","MSP","10:07","10:38","103","79","31","10:56","18","0","0","0","0","0"
"9E","12/29/2022","4989","N931XJ","JFK","15:20","15:23","141","145","3","15:43","20","0","0","0","0","0"
"9E","12/29/2023","5196","N930XJ","MSP","10:07","10:05","103","115","-2","11:01","56","0","0","0","0","0"
"9E","12/30/2022","4989","N903XJ","JFK","15:20","15:23","141","134","3","15:36","13","0","0","0","0","0"
"9E","12/31/2022","5244","N331PQ","JFK","15:20","17:24","141","144","124","17:47","23","124","0","3","0","0"

 SOURCE: Bureau of Transportation Statistics
