Detailed Statistics Departures  
Origin Airport: Alexandria, LA: Alexandria International (AEX)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3849","N619AE","DFW","06:00","05:52","79","77","-8","06:08","16","0","0","0","0","0"
"MQ","12/01/2021","3886","N616AE","DFW","18:26","18:16","78","75","-10","18:25","9","0","0","0","0","0"
"MQ","12/01/2021","4210","N928AE","DFW","10:21","10:15","78","85","-6","10:27","12","0","0","0","0","0"
"MQ","12/02/2021","3849","N676AE","DFW","06:00","05:57","79","71","-3","06:09","12","0","0","0","0","0"
"MQ","12/02/2021","3886","N689EC","DFW","18:36","18:41","78","76","5","18:52","11","0","0","0","0","0"
"MQ","12/02/2021","4210","N676AE","DFW","10:21","10:24","78","93","3","10:50","26","0","3","15","0","0"
"MQ","12/03/2021","3849","N607AE","DFW","06:00","05:50","79","82","-10","06:05","15","0","0","0","0","0"
"MQ","12/03/2021","3886","N928AE","DFW","18:36","18:43","78","84","7","18:51","8","0","0","0","0","0"
"MQ","12/03/2021","4210","N933JN","DFW","10:21","10:27","78","80","6","10:38","11","0","0","0","0","0"
"MQ","12/04/2021","3849","N667GB","DFW","06:00","05:56","79","72","-4","06:08","12","0","0","0","0","0"
"MQ","12/04/2021","3886","N932AE","DFW","18:36","18:34","78","91","-2","18:59","25","0","0","0","0","0"
"MQ","12/04/2021","4210","N619AE","DFW","10:21","10:17","78","72","-4","10:27","10","0","0","0","0","0"
"MQ","12/05/2021","3849","N689EC","DFW","06:00","05:53","79","87","-7","06:16","23","0","0","0","0","0"
"MQ","12/05/2021","3886","N671AE","DFW","18:36","18:41","78","79","5","18:54","13","0","0","0","0","0"
"MQ","12/05/2021","4210","N680AE","DFW","10:21","10:19","78","78","-2","10:28","9","0","0","0","0","0"
"MQ","12/06/2021","3849","N673AE","DFW","06:00","06:35","79","90","35","06:53","18","0","35","11","0","0"
"MQ","12/06/2021","3886","N607AE","DFW","18:36","18:38","78","82","2","18:48","10","0","0","0","0","0"
"MQ","12/06/2021","4210","N688AE","DFW","10:21","10:35","78","114","14","10:51","16","0","5","36","0","9"
"MQ","12/07/2021","3849","N671AE","DFW","06:00","05:59","79","76","-1","06:13","14","0","0","0","0","0"
"MQ","12/07/2021","3886","N611AE","DFW","18:36","18:25","78","89","-11","18:37","12","0","0","0","0","0"
"MQ","12/07/2021","4210","N931AE","DFW","10:21","10:12","78","78","-9","10:21","9","0","0","0","0","0"
"MQ","12/08/2021","3849","N653AE","DFW","06:00","05:55","79","78","-5","06:07","12","0","0","0","0","0"
"MQ","12/08/2021","3886","N923AE","DFW","18:36","18:35","78","79","-1","18:47","12","0","0","0","0","0"
"MQ","12/08/2021","4210","N680AE","DFW","10:21","10:10","78","110","-11","10:53","43","0","0","21","0","0"
"MQ","12/09/2021","3849","N932AE","DFW","06:00","05:47","79","79","-13","06:03","16","0","0","0","0","0"
"MQ","12/09/2021","3886","N931AE","DFW","18:36","18:41","78","75","5","18:51","10","0","0","0","0","0"
"MQ","12/09/2021","4210","N928AE","DFW","10:21","10:17","78","77","-4","10:29","12","0","0","0","0","0"
"MQ","12/10/2021","3849","N673AE","DFW","06:00","06:09","79","85","9","06:24","15","9","0","6","0","0"
"MQ","12/10/2021","3886","N928AE","DFW","18:36","18:58","78","71","22","19:09","11","0","7","0","0","8"
"MQ","12/10/2021","4210","N667GB","DFW","10:21","10:11","78","83","-10","10:21","10","0","0","0","0","0"
"MQ","12/11/2021","3849","N694AE","DFW","06:00","06:17","79","85","17","06:27","10","0","17","6","0","0"
"MQ","12/11/2021","3886","N694AE","DFW","18:36","18:25","78","83","-11","18:33","8","0","0","0","0","0"
"MQ","12/11/2021","4210","N693AE","DFW","10:21","11:16","78","72","55","11:24","8","0","0","0","0","49"
"MQ","12/12/2021","3849","N693AE","DFW","06:00","05:55","79","67","-5","06:06","11","0","0","0","0","0"
"MQ","12/12/2021","3886","N933JN","DFW","18:36","18:31","78","93","-5","18:40","9","0","0","0","0","0"
"MQ","12/12/2021","4210","N607AE","DFW","10:21","10:48","78","76","27","11:01","13","0","0","0","0","25"
"MQ","12/13/2021","3849","N653AE","DFW","06:00","05:51","79","69","-9","06:03","12","0","0","0","0","0"
"MQ","12/13/2021","3886","N616AE","DFW","18:36","18:28","78","76","-8","18:34","6","0","0","0","0","0"
"MQ","12/13/2021","4210","N923AE","DFW","10:21","10:38","78","75","17","10:53","15","0","0","0","0","0"
"MQ","12/14/2021","3849","N688AE","DFW","06:00","05:56","79","77","-4","06:08","12","0","0","0","0","0"
"MQ","12/14/2021","3886","N668HH","DFW","18:36","18:44","78","72","8","18:56","12","0","0","0","0","0"
"MQ","12/14/2021","4210","N694AE","DFW","10:21","10:14","78","80","-7","10:27","13","0","0","0","0","0"
"MQ","12/15/2021","3849","N689EC","DFW","06:00","05:55","79","74","-5","06:05","10","0","0","0","0","0"
"MQ","12/15/2021","4210","N618AE","DFW","10:21","10:11","78","80","-10","10:21","10","0","0","0","0","0"
"MQ","12/16/2021","3849","N693AE","DFW","06:00","05:52","87","80","-8","06:08","16","0","0","0","0","0"
"MQ","12/16/2021","3886","N925AE","DFW","18:18","18:09","86","85","-9","18:26","17","0","0","0","0","0"
"MQ","12/16/2021","4210","N611AE","DFW","10:41","10:35","86","76","-6","10:47","12","0","0","0","0","0"
"MQ","12/17/2021","3849","N932AE","DFW","06:00","05:50","87","70","-10","06:02","12","0","0","0","0","0"
"MQ","12/17/2021","3886","N611AE","DFW","18:18","18:16","86","82","-2","18:29","13","0","0","0","0","0"
"MQ","12/17/2021","4210","N688AE","DFW","10:41","11:07","86","96","26","11:19","12","0","6","10","0","20"
"MQ","12/18/2021","3849","N680AE","DFW","06:00","05:54","87","110","-6","06:03","9","0","0","17","0","0"
"MQ","12/18/2021","3886","N687JS","DFW","18:18","00:00","86","0","0","00:00","0","0","0","0","0","0"
"MQ","12/18/2021","4210","N932AE","DFW","10:41","11:56","86","112","75","12:13","17","0","11","26","0","64"
"MQ","12/19/2021","3849","N671AE","DFW","06:00","08:53","87","68","173","09:03","10","0","154","0","0","0"
"MQ","12/19/2021","3886","N931AE","DFW","18:18","18:40","86","69","22","18:49","9","0","0","0","0","0"
"MQ","12/19/2021","4210","N931AE","DFW","10:41","10:37","86","79","-4","10:52","15","0","0","0","0","0"
"MQ","12/20/2021","3849","N607AE","DFW","06:00","06:00","87","80","0","06:14","14","0","0","0","0","0"
"MQ","12/20/2021","3886","N687JS","DFW","18:18","18:23","86","79","5","18:37","14","0","0","0","0","0"
"MQ","12/20/2021","4210","N933JN","DFW","10:41","10:40","86","70","-1","10:48","8","0","0","0","0","0"
"MQ","12/21/2021","3849","N653AE","DFW","06:00","05:56","87","72","-4","06:06","10","0","0","0","0","0"
"MQ","12/21/2021","3886","N612AE","DFW","18:18","18:18","86","77","0","18:27","9","0","0","0","0","0"
"MQ","12/21/2021","4210","N922AE","DFW","10:41","11:48","86","70","67","11:57","9","0","0","0","0","51"
"MQ","12/22/2021","3849","N616AE","DFW","06:00","06:04","87","98","4","06:33","29","4","0","11","0","0"
"MQ","12/22/2021","3886","N680AE","DFW","18:18","18:12","86","83","-6","18:24","12","0","0","0","0","0"
"MQ","12/22/2021","4210","N612AE","DFW","10:41","10:35","86","77","-6","10:44","9","0","0","0","0","0"
"MQ","12/23/2021","3849","N932AE","DFW","06:00","05:47","87","79","-13","05:57","10","0","0","0","0","0"
"MQ","12/23/2021","3886","N612AE","DFW","18:18","18:10","86","98","-8","18:35","25","0","0","0","0","0"
"MQ","12/23/2021","4210","N653AE","DFW","10:41","10:32","86","73","-9","10:43","11","0","0","0","0","0"
"MQ","12/24/2021","3849","N684JW","DFW","06:00","05:55","87","86","-5","06:08","13","0","0","0","0","0"
"MQ","12/24/2021","4210","N673AE","DFW","10:41","10:36","86","67","-5","10:43","7","0","0","0","0","0"
"MQ","12/25/2021","3886","N611AE","DFW","18:18","18:12","86","81","-6","18:26","14","0","0","0","0","0"
"MQ","12/25/2021","4210","N607AE","DFW","10:41","10:30","86","88","-11","10:41","11","0","0","0","0","0"
"MQ","12/26/2021","3849","N689EC","DFW","06:00","05:53","87","88","-7","06:09","16","0","0","0","0","0"
"MQ","12/26/2021","3886","N667GB","DFW","18:18","18:16","86","87","-2","18:25","9","0","0","0","0","0"
"MQ","12/26/2021","4210","N689EC","DFW","10:41","10:37","86","80","-4","10:48","11","0","0","0","0","0"
"MQ","12/27/2021","3849","N607AE","DFW","06:00","05:57","87","79","-3","06:10","13","0","0","0","0","0"
"MQ","12/27/2021","3886","N931AE","DFW","18:18","23:35","86","68","317","23:44","9","41","0","0","0","258"
"MQ","12/27/2021","4210","N653AE","DFW","10:41","10:28","86","77","-13","10:41","13","0","0","0","0","0"
"MQ","12/28/2021","3849","N611AE","DFW","06:00","07:57","87","127","1557","08:33","36","1557","0","40","0","0"
"MQ","12/28/2021","3886","N612AE","DFW","18:18","18:52","86","67","34","19:01","9","6","0","0","0","9"
"MQ","12/28/2021","4210","N619AE","DFW","10:41","10:43","86","76","2","10:56","13","0","0","0","0","0"
"MQ","12/29/2021","3849","N933JN","DFW","06:00","05:56","87","83","-4","06:12","16","0","0","0","0","0"
"MQ","12/29/2021","3886","N931AE","DFW","18:18","18:06","86","102","-12","18:17","11","0","0","0","0","0"
"MQ","12/29/2021","4210","N673AE","DFW","10:41","11:11","86","80","30","11:29","18","11","0","0","0","13"
"MQ","12/30/2021","3849","N653AE","DFW","06:00","05:52","87","73","-8","06:04","12","0","0","0","0","0"
"MQ","12/30/2021","3886","N681AE","DFW","18:18","18:21","86","82","3","18:32","11","0","0","0","0","0"
"MQ","12/30/2021","4210","N928AE","DFW","10:41","10:31","86","88","-10","10:44","13","0","0","0","0","0"
"MQ","12/31/2021","3849","N909AE","DFW","06:00","05:55","87","79","-5","06:06","11","0","0","0","0","0"
"MQ","12/31/2021","4210","N676AE","DFW","10:41","10:39","86","80","-2","10:49","10","0","0","0","0","0"

