Detailed Statistics Departures  
Origin Airport: Cincinnati, OH: Cincinnati/Northern Kentucky International (CVG)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5118","N554NN","PHL","07:39","07:33","105","92","-6","07:45","12","0","0","0","0","0"
"OH","12/01/2021","5141","N591NN","CLT","15:28","15:28","106","97","0","15:45","17","0","0","0","0","0"
"OH","12/01/2021","5541","N523AE","PHL","12:30","12:20","101","94","-10","12:33","13","0","0","0","0","0"
"OH","12/01/2021","5578","N570NN","PHL","06:10","06:00","109","97","-10","06:19","19","0","0","0","0","0"
"OH","12/01/2021","5621","N588NN","PHL","17:25","17:29","100","88","4","17:44","15","0","0","0","0","0"
"OH","12/01/2022","5118","N527EA","PHL","08:00","07:55","103","90","-5","08:08","13","0","0","0","0","0"
"OH","12/01/2022","5229","N500AE","DCA","16:00","15:54","93","84","-6","16:10","16","0","0","0","0","0"
"OH","12/01/2022","5250","N548NN","CLT","12:05","12:01","99","107","-4","12:22","21","0","0","0","0","0"
"OH","12/01/2022","5445","N599NN","DCA","06:00","05:58","103","87","-2","06:18","20","0","0","0","0","0"
"OH","12/01/2022","5555","N566NN","CLT","08:40","08:32","110","109","-8","09:04","32","0","0","0","0","0"
"OH","12/01/2022","5578","N501BG","PHL","11:14","11:23","101","97","9","11:40","17","0","0","0","0","0"
"OH","12/01/2023","5141","N565NN","CLT","15:38","15:31","100","85","-7","15:43","12","0","0","0","0","0"
"OH","12/01/2023","5197","N548NN","PHL","16:09","16:01","101","91","-8","16:13","12","0","0","0","0","0"
"OH","12/01/2023","5241","N551NN","CLT","12:01","12:36","100","88","35","12:51","15","7","0","0","0","16"
"OH","12/01/2023","5375","N549NN","CLT","08:45","09:36","109","81","51","09:52","16","23","0","0","0","0"
"OH","12/01/2023","5426","N538EG","DCA","17:22","17:15","93","81","-7","17:32","17","0","0","0","0","0"
"OH","12/01/2023","5445","N507AE","DCA","07:23","10:35","95","82","192","10:53","18","179","0","0","0","0"
"OH","12/01/2023","5578","N601EN","PHL","08:00","07:54","110","101","-6","08:16","22","0","0","0","0","0"
"OH","12/02/2021","5118","N602NN","PHL","07:39","07:32","105","87","-7","07:48","16","0","0","0","0","0"
"OH","12/02/2021","5141","N551NN","CLT","15:28","16:24","106","80","56","16:43","19","1","0","0","0","29"
"OH","12/02/2021","5208","N600NN","CLT","06:44","06:45","108","96","1","07:16","31","0","0","0","0","0"
"OH","12/02/2021","5232","N614NN","CLT","10:15","10:07","107","78","-8","10:18","11","0","0","0","0","0"
"OH","12/02/2021","5541","N588NN","PHL","12:30","13:53","101","81","83","14:05","12","63","0","0","0","0"
"OH","12/02/2021","5578","N534AE","PHL","06:10","06:08","109","109","-2","06:29","21","0","0","0","0","0"
"OH","12/02/2021","5621","N601EN","PHL","17:25","17:24","100","85","-1","17:35","11","0","0","0","0","0"
"OH","12/02/2022","5118","N545PB","PHL","08:00","07:53","103","95","-7","08:04","11","0","0","0","0","0"
"OH","12/02/2022","5229","N542EA","DCA","16:00","16:28","93","77","28","16:40","12","0","0","0","0","0"
"OH","12/02/2022","5250","N566NN","CLT","12:05","11:58","99","102","-7","12:13","15","0","0","0","0","0"
"OH","12/02/2022","5445","N588NN","DCA","06:00","05:50","103","106","-10","06:17","27","0","0","0","0","0"
"OH","12/02/2022","5555","N502AE","CLT","08:40","08:37","110","103","-3","08:59","22","0","0","0","0","0"
"OH","12/02/2022","5578","N509AE","PHL","11:14","11:04","101","95","-10","11:20","16","0","0","0","0","0"
"OH","12/02/2023","5141","N549NN","CLT","15:38","16:02","100","91","24","16:18","16","0","0","0","0","15"
"OH","12/02/2023","5241","N585NN","CLT","12:01","12:10","100","101","9","12:32","22","0","0","0","0","0"
"OH","12/02/2023","5375","N563NN","CLT","08:45","08:40","109","126","-5","09:17","37","0","0","0","0","0"
"OH","12/02/2023","5445","N501BG","DCA","07:27","07:20","95","86","-7","07:33","13","0","0","0","0","0"
"OH","12/02/2023","5578","N564NN","PHL","08:00","08:25","110","91","25","08:45","20","0","0","0","0","0"
"OH","12/03/2021","5118","N606NN","PHL","07:39","07:27","105","89","-12","07:40","13","0","0","0","0","0"
"OH","12/03/2021","5141","N585NN","CLT","15:28","15:41","106","96","13","16:05","24","0","0","0","0","0"
"OH","12/03/2021","5208","N602NN","CLT","06:44","06:39","108","104","-5","07:09","30","0","0","0","0","0"
"OH","12/03/2021","5232","N580NN","CLT","10:15","10:10","107","87","-5","10:19","9","0","0","0","0","0"
"OH","12/03/2021","5541","N601EN","PHL","12:30","12:23","101","94","-7","12:43","20","0","0","0","0","0"
"OH","12/03/2021","5578","N543EA","PHL","06:10","06:00","109","89","-10","06:15","15","0","0","0","0","0"
"OH","12/03/2021","5621","N571NN","PHL","17:25","17:23","100","94","-2","17:35","12","0","0","0","0","0"
"OH","12/03/2022","5118","N517AE","PHL","08:00","11:13","103","136","193","12:09","56","193","0","33","0","0"
"OH","12/03/2022","5229","N519AE","DCA","15:12","15:11","93","79","-1","15:29","18","0","0","0","0","0"
"OH","12/03/2022","5250","N610NN","CLT","12:05","12:00","99","82","-5","12:13","13","0","0","0","0","0"
"OH","12/03/2022","5445","N601EN","DCA","06:00","05:53","103","88","-7","06:17","24","0","0","0","0","0"
"OH","12/03/2022","5555","N591NN","CLT","08:40","08:37","110","111","-3","09:12","35","0","0","0","0","0"
"OH","12/03/2023","5141","N537EA","CLT","15:38","15:29","98","86","-9","15:46","17","0","0","0","0","0"
"OH","12/03/2023","5197","N611NN","PHL","16:09","16:19","101","85","10","16:34","15","0","0","0","0","0"
"OH","12/03/2023","5241","N558NN","CLT","12:01","11:57","100","94","-4","12:12","15","0","0","0","0","0"
"OH","12/03/2023","5375","N554NN","CLT","08:45","08:36","109","116","-9","09:20","44","0","0","0","0","0"
"OH","12/03/2023","5426","N529EA","DCA","17:22","00:00","93","0","0","00:00","0","0","0","0","0","0"
"OH","12/03/2023","5523","N536EA","DCA","12:42","12:41","93","83","-1","12:59","18","0","0","0","0","0"
"OH","12/03/2023","5578","N603NN","PHL","08:00","07:59","110","98","-1","08:18","19","0","0","0","0","0"
"OH","12/04/2021","5043","N510AE","DCA","12:20","12:20","88","86","0","12:35","15","0","0","0","0","0"
"OH","12/04/2021","5118","N601EN","PHL","07:39","07:55","105","91","16","08:14","19","0","0","0","0","0"
"OH","12/04/2021","5208","N579NN","CLT","06:44","06:44","108","95","0","07:03","19","0","0","0","0","0"
"OH","12/04/2021","5232","N549NN","CLT","10:15","10:06","107","83","-9","10:18","12","0","0","0","0","0"
"OH","12/04/2021","5541","N528EG","PHL","12:02","11:51","101","84","-11","12:03","12","0","0","0","0","0"
"OH","12/04/2021","5578","N507AE","PHL","06:10","06:06","109","105","-4","06:29","23","0","0","0","0","0"
"OH","12/04/2021","5621","N708PS","PHL","17:25","17:17","100","102","-8","17:34","17","0","0","0","0","0"
"OH","12/04/2022","5076","N563NN","CLT","13:10","13:05","99","148","-5","13:18","13","0","0","44","0","0"
"OH","12/04/2022","5118","N517AE","PHL","08:00","07:58","103","85","-2","08:11","13","0","0","0","0","0"
"OH","12/04/2022","5229","N720PS","DCA","16:00","16:00","93","73","0","16:14","14","0","0","0","0","0"
"OH","12/04/2022","5250","N614NN","CLT","12:05","12:00","99","88","-5","12:14","14","0","0","0","0","0"
"OH","12/04/2022","5445","N610NN","DCA","06:00","05:50","103","79","-10","06:04","14","0","0","0","0","0"
"OH","12/04/2022","5555","N561NN","CLT","08:40","08:36","110","106","-4","09:13","37","0","0","0","0","0"
"OH","12/04/2022","5578","N534AE","PHL","11:14","11:18","101","87","4","11:30","12","0","0","0","0","0"
"OH","12/04/2023","5141","N594NN","CLT","15:38","15:40","100","94","2","16:00","20","0","0","0","0","0"
"OH","12/04/2023","5197","N619NN","PHL","16:09","16:00","101","100","-9","16:15","15","0","0","0","0","0"
"OH","12/04/2023","5241","N572NN","CLT","12:01","12:01","100","85","0","12:13","12","0","0","0","0","0"
"OH","12/04/2023","5375","N556NN","CLT","08:45","08:36","109","102","-9","09:03","27","0","0","0","0","0"
"OH","12/04/2023","5426","N501BG","DCA","17:22","17:12","93","81","-10","17:27","15","0","0","0","0","0"
"OH","12/04/2023","5445","N512AE","DCA","07:23","07:16","95","95","-7","07:47","31","0","0","0","0","0"
"OH","12/04/2023","5578","N550NN","PHL","08:00","07:56","110","89","-4","08:07","11","0","0","0","0","0"
"OH","12/05/2021","5118","N568NN","PHL","07:39","07:35","105","88","-4","07:48","13","0","0","0","0","0"
"OH","12/05/2021","5141","N572NN","CLT","15:28","15:27","106","109","-1","15:52","25","0","0","0","0","0"
"OH","12/05/2021","5208","N587NN","CLT","06:44","06:45","108","86","1","07:00","15","0","0","0","0","0"
"OH","12/05/2021","5541","N582NN","PHL","12:30","12:47","101","87","17","12:57","10","0","0","0","0","0"
"OH","12/05/2021","5578","N542EA","PHL","06:10","06:02","109","93","-8","06:21","19","0","0","0","0","0"
"OH","12/05/2021","5621","N582NN","PHL","17:25","17:23","100","97","-2","17:41","18","0","0","0","0","0"
"OH","12/05/2022","5076","N594NN","CLT","13:10","13:03","99","82","-7","13:16","13","0","0","0","0","0"
"OH","12/05/2022","5118","N518AE","PHL","08:00","07:55","103","94","-5","08:11","16","0","0","0","0","0"
"OH","12/05/2022","5229","N500AE","DCA","16:00","16:14","93","88","14","16:27","13","0","0","0","0","0"
"OH","12/05/2022","5250","N590NN","CLT","12:05","11:53","99","77","-12","12:04","11","0","0","0","0","0"
"OH","12/05/2022","5445","N604NN","DCA","06:00","05:55","103","105","-5","06:12","17","0","0","0","0","0"
"OH","12/05/2022","5555","N591NN","CLT","08:40","08:30","110","78","-10","08:46","16","0","0","0","0","0"
