Detailed Statistics Departures  
Origin Airport: Cincinnati, OH: Cincinnati/Northern Kentucky International (CVG)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3023","N508SY","ORD","13:31","13:29","91","69","-2","13:40","11","0","0","0","0","0"
"OO","12/01/2021","5376","N167SY","IAH","17:00","16:56","173","148","-4","17:09","13","0","0","0","0","0"
"OO","12/01/2021","5405","N612UX","DEN","09:00","09:00","201","199","0","09:12","12","0","0","0","0","0"
"OO","12/01/2022","4707","N142SY","ORD","18:00","17:48","90","112","-12","18:42","54","0","0","0","0","0"
"OO","12/01/2023","5797","N134SY","ORD","13:33","14:31","92","87","58","14:47","16","53","0","0","0","0"
"OO","12/02/2021","3021","N724EV","ORD","11:05","11:00","94","72","-5","11:10","10","0","0","0","0","0"
"OO","12/02/2021","3023","N776SK","ORD","13:36","14:30","91","78","54","14:47","17","0","0","0","0","41"
"OO","12/02/2021","5376","N151SY","IAH","17:00","16:59","173","173","-1","17:17","18","0","0","0","0","0"
"OO","12/02/2021","5405","N620UX","DEN","09:00","08:59","201","186","-1","09:12","13","0","0","0","0","0"
"OO","12/02/2022","4707","N105SY","ORD","18:00","17:52","90","117","-8","18:51","59","19","0","0","0","0"
"OO","12/02/2023","5228","N208SY","ORD","18:21","18:03","98","83","-18","18:15","12","0","0","0","0","0"
"OO","12/03/2021","3021","N730SK","ORD","11:05","10:56","94","70","-9","11:08","12","0","0","0","0","0"
"OO","12/03/2021","3023","N658CA","ORD","13:36","07:24","91","105","1068","08:02","38","0","0","0","0","1082"
"OO","12/03/2021","5376","N136SY","IAH","17:00","16:52","173","171","-8","17:09","17","0","0","0","0","0"
"OO","12/03/2021","5405","N614UX","DEN","09:00","08:53","201","191","-7","09:03","10","0","0","0","0","0"
"OO","12/03/2022","4707","N202SY","ORD","18:00","09:55","90","90","955","10:27","32","955","0","0","0","0"
"OO","12/03/2023","5797","N120SY","ORD","13:33","13:25","92","79","-8","13:38","13","0","0","0","0","0"
"OO","12/04/2021","3021","N603SK","ORD","11:05","11:25","94","90","20","11:53","28","0","0","0","0","16"
"OO","12/04/2021","3023","N658CA","ORD","13:36","13:39","91","72","3","13:52","13","0","0","0","0","0"
"OO","12/04/2021","5392","N615UX","DEN","09:00","08:54","201","204","-6","09:05","11","0","0","0","0","0"
"OO","12/04/2021","5637","N157SY","IAH","17:00","16:55","173","171","-5","17:06","11","0","0","0","0","0"
"OO","12/04/2022","4707","N204SY","ORD","18:00","17:54","90","75","-6","18:08","14","0","0","0","0","0"
"OO","12/04/2023","5797","N149SY","ORD","13:33","13:25","92","74","-8","13:37","12","0","0","0","0","0"
"OO","12/05/2021","3021","N708EV","ORD","11:05","11:00","94","75","-5","11:14","14","0","0","0","0","0"
"OO","12/05/2021","3023","N774SK","ORD","13:36","13:30","91","77","-6","13:41","11","0","0","0","0","0"
"OO","12/05/2021","5392","N613UX","DEN","09:00","08:51","201","213","-9","09:00","9","0","0","0","0","0"
"OO","12/05/2021","5637","N205SY","IAH","17:00","18:08","173","166","68","18:23","15","61","0","0","0","0"
"OO","12/05/2022","4707","N113SY","ORD","18:00","17:50","90","76","-10","18:07","17","0","0","0","0","0"
"OO","12/05/2023","5797","N161SY","ORD","13:33","13:27","92","77","-6","13:37","10","0","0","0","0","0"
"OO","12/06/2021","3021","N658CA","ORD","11:05","11:02","94","86","-3","11:22","20","0","0","0","0","0"
"OO","12/06/2021","3023","N603SK","ORD","13:36","14:42","91","77","66","14:55","13","0","0","0","0","52"
"OO","12/06/2021","5392","N611UX","DEN","09:00","08:56","201","208","-4","09:12","16","0","0","0","0","0"
"OO","12/06/2021","5637","N167SY","IAH","17:00","17:02","173","164","2","17:13","11","0","0","0","0","0"
"OO","12/06/2022","4707","N211SY","ORD","18:00","17:51","90","88","-9","18:01","10","0","0","0","0","0"
"OO","12/06/2023","5797","N208SY","ORD","13:33","13:27","92","79","-6","13:38","11","0","0","0","0","0"
"OO","12/07/2021","3021","N752SK","ORD","11:05","14:09","94","106","1624","14:45","36","1636","0","0","0","0"
"OO","12/07/2021","3023","N745SK","ORD","13:36","13:36","91","71","0","13:49","13","0","0","0","0","0"
