Detailed Statistics Departures  
Origin Airport: Cincinnati, OH: Cincinnati/Northern Kentucky International (CVG)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","0460","N27421","ORD","07:30","07:24","82","98","-6","07:54","30","0","0","0","0","0"
"UA","12/01/2021","0467","N425UA","DEN","15:30","15:25","189","170","-5","15:37","12","0","0","0","0","0"
"UA","12/01/2022","0272","N810UA","EWR","06:03","06:01","119","103","-2","06:15","14","0","0","0","0","0"
"UA","12/01/2022","0479","N37252","DEN","15:28","15:20","185","170","-8","15:31","11","0","0","0","0","0"
"UA","12/01/2022","0749","N78509","DEN","08:53","08:48","192","178","-5","09:00","12","0","0","0","0","0"
"UA","12/01/2022","1112","N813UA","IAH","07:01","06:56","154","163","-5","07:06","10","0","0","0","0","0"
"UA","12/01/2022","1944","N75426","ORD","11:08","11:05","77","65","-3","11:16","11","0","0","0","0","0"
"UA","12/01/2022","2238","N498UA","IAH","16:32","16:30","163","158","-2","16:42","12","0","0","0","0","0"
"UA","12/01/2022","2242","N26232","ORD","07:25","07:20","85","93","-5","07:55","35","0","0","0","0","0"
"UA","12/01/2023","0479","N456UA","DEN","15:25","15:15","194","191","-10","15:25","10","0","0","0","0","0"
"UA","12/01/2023","0497","N27323","DEN","08:57","08:55","193","186","-2","09:10","15","0","0","0","0","0"
"UA","12/01/2023","1112","N448UA","IAH","07:00","06:57","164","167","-3","07:19","22","0","0","0","0","0"
"UA","12/01/2023","1195","N37561","EWR","06:00","05:51","119","111","-9","06:05","14","0","0","0","0","0"
"UA","12/01/2023","1251","N37274","ORD","07:15","07:11","89","88","-4","07:31","20","0","0","0","0","0"
"UA","12/01/2023","1805","N76515","ORD","18:21","18:20","94","94","-1","18:34","14","0","0","0","0","0"
"UA","12/01/2023","2078","N71411","IAH","16:47","16:46","163","162","-1","17:00","14","0","0","0","0","0"
"UA","12/02/2021","0460","N37420","ORD","07:30","07:24","82","74","-6","07:35","11","0","0","0","0","0"
"UA","12/02/2021","0467","N465UA","DEN","15:30","15:25","189","171","-5","15:35","10","0","0","0","0","0"
"UA","12/02/2021","0685","N62889","IAH","07:00","06:57","163","143","-3","07:09","12","0","0","0","0","0"
"UA","12/02/2021","1228","N73251","IAD","06:00","05:56","95","73","-4","06:07","11","0","0","0","0","0"
"UA","12/02/2022","0272","N801UA","EWR","06:26","06:21","119","121","-5","06:38","17","0","0","0","0","0"
"UA","12/02/2022","0479","N36272","DEN","15:28","15:19","185","196","-9","15:42","23","0","0","0","0","0"
"UA","12/02/2022","0749","N76522","DEN","08:53","08:47","192","165","-6","08:57","10","0","0","0","0","0"
"UA","12/02/2022","1112","N871UA","IAH","07:01","07:01","154","159","0","07:13","12","0","0","0","0","0"
"UA","12/02/2022","1645","N24224","ORD","06:00","05:54","80","73","-6","06:07","13","0","0","0","0","0"
"UA","12/02/2022","1944","N39450","ORD","11:08","14:20","77","70","192","14:30","10","75","0","0","0","110"
"UA","12/02/2022","2238","N15712","IAH","16:32","16:29","163","148","-3","16:38","9","0","0","0","0","0"
"UA","12/02/2022","2242","N406UA","ORD","07:25","07:26","85","91","1","08:03","37","0","0","0","0","0"
"UA","12/02/2023","0479","N832UA","DEN","15:25","15:10","194","180","-15","15:22","12","0","0","0","0","0"
"UA","12/02/2023","0497","N68880","DEN","08:57","08:49","193","176","-8","09:00","11","0","0","0","0","0"
"UA","12/02/2023","1112","N488UA","IAH","07:00","10:07","164","149","187","10:17","10","172","0","0","0","0"
"UA","12/02/2023","1251","N78501","ORD","07:15","07:10","89","89","-5","07:31","21","0","0","0","0","0"
"UA","12/02/2023","2078","N30401","IAH","16:47","16:37","163","174","-10","16:51","14","0","0","0","0","0"
"UA","12/03/2021","0460","N69838","ORD","07:30","07:19","82","77","-11","07:30","11","0","0","0","0","0"
"UA","12/03/2021","0467","N427UA","DEN","15:30","15:23","189","169","-7","15:33","10","0","0","0","0","0"
"UA","12/03/2021","0641","N37419","IAD","06:00","05:54","95","82","-6","06:08","14","0","0","0","0","0"
"UA","12/03/2021","0685","N66837","IAH","07:00","06:54","163","150","-6","07:08","14","0","0","0","0","0"
"UA","12/03/2022","0272","N803UA","EWR","06:22","06:18","119","125","-4","06:51","33","0","0","0","0","0"
"UA","12/03/2022","0479","N836UA","DEN","15:28","15:26","185","188","-2","15:37","11","0","0","0","0","0"
"UA","12/03/2022","0749","N33266","DEN","08:53","08:51","192","220","-2","09:04","13","0","0","26","0","0"
"UA","12/03/2022","1112","N842UA","IAH","07:01","08:06","154","150","65","08:19","13","61","0","0","0","0"
"UA","12/03/2022","1645","N823UA","ORD","05:55","05:52","79","78","-3","06:14","22","0","0","0","0","0"
"UA","12/03/2022","1944","N24736","ORD","10:45","10:42","77","76","-3","10:55","13","0","0","0","0","0"
"UA","12/03/2022","2238","N27733","IAH","16:32","16:24","163","147","-8","16:36","12","0","0","0","0","0"
"UA","12/03/2022","2242","N423UA","ORD","07:25","07:30","85","95","5","08:01","31","0","0","15","0","0"
"UA","12/03/2023","0479","N487UA","DEN","15:25","15:18","194","174","-7","15:29","11","0","0","0","0","0"
"UA","12/03/2023","0497","N66848","DEN","08:57","08:50","193","187","-7","09:04","14","0","0","0","0","0"
"UA","12/03/2023","1112","N33203","IAH","07:00","07:03","164","163","3","07:17","14","0","0","0","0","0"
"UA","12/03/2023","1251","N874UA","ORD","07:15","07:06","89","72","-9","07:15","9","0","0","0","0","0"
"UA","12/03/2023","1805","N33209","ORD","18:21","18:11","94","123","-10","18:55","44","0","0","19","0","0"
"UA","12/03/2023","2078","N37556","IAH","16:47","16:40","163","180","-7","16:53","13","0","0","0","0","0"
"UA","12/04/2021","0472","N461UA","ORD","07:30","07:21","81","92","-9","07:48","27","0","0","0","0","0"
"UA","12/04/2021","0504","N463UA","DEN","15:30","15:23","189","175","-7","15:34","11","0","0","0","0","0"
"UA","12/04/2021","0685","N27724","IAH","07:00","07:28","163","147","28","07:41","13","0","0","0","0","0"
"UA","12/04/2022","0272","N416UA","EWR","06:26","06:15","119","130","-11","06:26","11","0","0","0","0","0"
"UA","12/04/2022","0479","N18243","DEN","15:28","15:20","185","177","-8","15:30","10","0","0","0","0","0"
"UA","12/04/2022","0749","N410UA","DEN","08:53","08:52","192","185","-1","09:06","14","0","0","0","0","0"
"UA","12/04/2022","1112","N27733","IAH","07:01","06:52","154","149","-9","07:05","13","0","0","0","0","0"
"UA","12/04/2022","1645","N813UA","ORD","06:00","05:51","80","70","-9","06:05","14","0","0","0","0","0"
"UA","12/04/2022","1944","N37419","ORD","11:08","11:03","77","83","-5","11:29","26","0","0","0","0","0"
"UA","12/04/2022","2238","N35260","IAH","16:09","16:14","163","144","5","16:23","9","0","0","0","0","0"
"UA","12/04/2022","2242","N409UA","ORD","07:25","07:17","85","68","-8","07:27","10","0","0","0","0","0"
"UA","12/04/2023","0479","N454UA","DEN","15:25","15:17","194","189","-8","15:29","12","0","0","0","0","0"
"UA","12/04/2023","0497","N38473","DEN","08:57","08:47","193","186","-10","09:02","15","0","0","0","0","0"
"UA","12/04/2023","1112","N491UA","IAH","07:00","06:56","164","158","-4","07:09","13","0","0","0","0","0"
"UA","12/04/2023","1195","N37538","EWR","06:00","05:47","119","99","-13","06:02","15","0","0","0","0","0"
"UA","12/04/2023","1251","N27256","ORD","07:15","07:12","89","94","-3","07:42","30","0","0","0","0","0"
"UA","12/04/2023","1805","N35260","ORD","18:21","18:03","94","76","-18","18:24","21","0","0","0","0","0"
"UA","12/04/2023","2078","N75410","IAH","16:47","16:39","163","159","-8","16:48","9","0","0","0","0","0"
"UA","12/05/2021","0472","N420UA","ORD","07:30","07:26","81","74","-4","07:34","8","0","0","0","0","0"
"UA","12/05/2021","0504","N452UA","DEN","15:30","15:25","189","207","-5","15:35","10","0","0","0","0","0"
"UA","12/05/2021","0685","N14704","IAH","07:00","07:06","163","168","6","07:16","10","0","0","0","0","0"
"UA","12/05/2022","0272","N37293","EWR","06:26","06:24","119","101","-2","06:36","12","0","0","0","0","0"
"UA","12/05/2022","0479","N78524","DEN","15:28","15:19","185","192","-9","15:29","10","0","0","0","0","0"
"UA","12/05/2022","0749","N16234","DEN","08:53","08:51","192","213","-2","09:04","13","0","0","19","0","0"
"UA","12/05/2022","1112","N26208","IAH","07:01","07:01","154","143","0","07:11","10","0","0","0","0","0"
"UA","12/05/2022","1645","N77520","ORD","06:00","05:59","80","80","-1","06:24","25","0","0","0","0","0"
"UA","12/05/2022","1944","N37465","ORD","11:08","11:04","77","68","-4","11:14","10","0","0","0","0","0"
"UA","12/05/2022","2238","N76519","IAH","16:32","16:24","163","141","-8","16:34","10","0","0","0","0","0"
"UA","12/05/2022","2242","N451UA","ORD","07:25","07:25","85","103","0","07:54","29","0","0","18","0","0"
"UA","12/05/2023","0479","N420UA","DEN","15:25","15:13","194","177","-12","15:23","10","0","0","0","0","0"
"UA","12/05/2023","0497","N38424","DEN","08:57","08:57","193","177","0","09:09","12","0","0","0","0","0"
"UA","12/05/2023","1112","N460UA","IAH","07:00","06:47","164","164","-13","07:03","16","0","0","0","0","0"
"UA","12/05/2023","1251","N26215","ORD","07:15","07:05","89","98","-10","07:23","18","0","0","0","0","0"
"UA","12/05/2023","1805","N87513","ORD","18:21","18:32","94","90","11","18:54","22","0","0","0","0","0"
"UA","12/05/2023","2078","N71411","IAH","16:47","16:38","163","152","-9","16:49","11","0","0","0","0","0"
"UA","12/06/2021","0472","N66825","ORD","07:30","07:25","82","84","-5","07:53","28","0","0","0","0","0"
"UA","12/06/2021","0504","N469UA","DEN","15:30","15:39","189","199","9","15:48","9","9","0","10","0","0"
"UA","12/06/2021","0685","N72405","IAH","07:00","07:08","163","180","8","07:23","15","8","0","17","0","0"
"UA","12/06/2022","0272","N13750","EWR","06:26","06:09","119","122","-17","06:30","21","0","0","0","0","0"
"UA","12/06/2022","0479","N26232","DEN","15:28","15:18","185","196","-10","15:33","15","0","0","0","0","0"
"UA","12/06/2022","0749","N76504","DEN","08:53","08:42","192","201","-11","08:51","9","0","0","0","0","0"
"UA","12/06/2022","1112","N835UA","IAH","07:01","06:57","154","156","-4","07:09","12","0","0","0","0","0"
"UA","12/06/2022","1645","N68452","ORD","06:00","05:53","80","79","-7","06:12","19","0","0","0","0","0"
"UA","12/06/2022","1944","N37525","ORD","11:08","10:57","77","75","-11","11:09","12","0","0","0","0","0"
"UA","12/06/2022","2238","N27277","IAH","16:32","16:17","163","142","-15","16:28","11","0","0","0","0","0"
"UA","12/06/2022","2242","N489UA","ORD","07:25","07:19","85","88","-6","07:38","19","0","0","0","0","0"
"UA","12/06/2023","0479","N483UA","DEN","15:25","15:16","194","170","-9","15:26","10","0","0","0","0","0"
"UA","12/06/2023","0497","N69833","DEN","08:57","08:57","193","183","0","09:09","12","0","0","0","0","0"
"UA","12/06/2023","1112","N447UA","IAH","07:00","06:55","164","141","-5","07:06","11","0","0","0","0","0"
"UA","12/06/2023","1251","N17306","ORD","07:15","07:07","89","93","-8","07:34","27","0","0","0","0","0"
"UA","12/06/2023","1805","N87512","ORD","18:21","18:19","94","119","-2","18:28","9","0","0","23","0","0"
"UA","12/06/2023","2078","N73406","IAH","16:47","16:38","163","160","-9","16:47","9","0","0","0","0","0"
"UA","12/07/2021","0472","N69839","ORD","07:30","07:24","82","97","-6","08:06","42","0","0","0","0","0"
"UA","12/07/2021","0504","N443UA","DEN","15:30","15:15","189","188","-15","15:24","9","0","0","0","0","0"
"UA","12/07/2021","0685","N72405","IAH","07:00","06:56","163","161","-4","07:10","14","0","0","0","0","0"
"UA","12/07/2022","0272","N1902U","EWR","06:26","07:14","119","100","48","07:25","11","29","0","0","0","0"
"UA","12/07/2022","0479","N12218","DEN","15:28","15:21","185","184","-7","15:30","9","0","0","0","0","0"
"UA","12/07/2022","0749","N76265","DEN","08:53","08:50","192","193","-3","09:02","12","0","0","0","0","0"
"UA","12/07/2022","1112","N879UA","IAH","07:01","07:04","154","154","3","07:18","14","0","0","0","0","0"
"UA","12/07/2022","1944","N39423","ORD","11:08","10:54","77","69","-14","11:05","11","0","0","0","0","0"
"UA","12/07/2022","2238","N17254","IAH","16:32","16:20","163","183","-12","16:32","12","0","0","0","0","0"
"UA","12/07/2022","2242","N434UA","ORD","07:25","07:23","85","96","-2","07:53","30","0","0","0","0","0"
"UA","12/07/2023","0479","N420UA","DEN","15:25","15:24","194","192","-1","15:40","16","0","0","0","0","0"
"UA","12/07/2023","0497","N38467","DEN","08:57","09:09","193","173","12","09:20","11","0","0","0","0","0"
"UA","12/07/2023","1112","N444UA","IAH","07:00","06:52","164","134","-8","07:03","11","0","0","0","0","0"
"UA","12/07/2023","1251","N14242","ORD","07:15","07:15","89","75","0","07:26","11","0","0","0","0","0"
"UA","12/07/2023","1805","N33209","ORD","18:21","18:12","94","74","-9","18:26","14","0","0","0","0","0"
"UA","12/07/2023","2078","N72405","IAH","16:47","16:50","163","146","3","16:59","9","0","0","0","0","0"
"UA","12/08/2021","0472","N69813","ORD","07:30","07:31","82","97","1","08:15","44","0","0","16","0","0"
"UA","12/08/2021","0504","N458UA","DEN","15:30","15:21","189","210","-9","15:32","11","0","0","0","0","0"
"UA","12/08/2022","0272","N895UA","EWR","06:26","06:25","119","96","-1","06:37","12","0","0","0","0","0"
"UA","12/08/2022","0479","N34222","DEN","15:28","15:37","185","183","9","15:48","11","0","0","0","0","0"
"UA","12/08/2022","0749","N76265","DEN","08:53","08:48","192","196","-5","09:02","14","0","0","0","0","0"
"UA","12/08/2022","1112","N838UA","IAH","07:01","06:53","154","157","-8","07:06","13","0","0","0","0","0"
"UA","12/08/2022","1944","N38458","ORD","11:08","11:02","77","77","-6","11:15","13","0","0","0","0","0"
"UA","12/08/2022","2238","N27258","IAH","16:32","16:29","163","146","-3","16:42","13","0","0","0","0","0"
"UA","12/08/2022","2242","N473UA","ORD","07:25","07:21","85","114","-4","08:00","39","0","0","25","0","0"
"UA","12/08/2023","0479","N455UA","DEN","15:25","15:24","194","170","-1","15:35","11","0","0","0","0","0"
"UA","12/08/2023","0497","N61882","DEN","08:57","08:55","193","183","-2","09:05","10","0","0","0","0","0"
"UA","12/08/2023","1112","N411UA","IAH","07:00","07:12","164","146","12","07:25","13","0","0","0","0","0"
"UA","12/08/2023","1251","N24212","ORD","07:15","07:13","89","90","-2","07:29","16","0","0","0","0","0"
"UA","12/08/2023","1805","N77536","ORD","18:21","18:12","94","75","-9","18:27","15","0","0","0","0","0"
"UA","12/08/2023","2078","N72405","IAH","16:47","16:43","163","159","-4","16:58","15","0","0","0","0","0"
"UA","12/09/2021","0472","N37456","ORD","07:30","07:51","82","80","21","08:11","20","19","0","0","0","0"
"UA","12/09/2021","0504","N489UA","DEN","15:30","15:38","189","189","8","15:49","11","0","0","0","0","0"
"UA","12/09/2021","0685","N77431","IAH","07:00","06:56","163","166","-4","07:20","24","0","0","0","0","0"
"UA","12/09/2022","0272","N880UA","EWR","06:26","06:30","119","101","4","06:47","17","0","0","0","0","0"
"UA","12/09/2022","0479","N77296","DEN","15:28","15:18","185","192","-10","15:38","20","0","0","0","0","0"
"UA","12/09/2022","0749","N86534","DEN","08:53","08:49","192","193","-4","09:00","11","0","0","0","0","0"
"UA","12/09/2022","1112","N879UA","IAH","07:01","07:00","154","156","-1","07:13","13","0","0","0","0","0"
"UA","12/09/2022","1645","N27246","ORD","06:00","05:54","80","78","-6","06:11","17","0","0","0","0","0"
"UA","12/09/2022","1944","N37474","ORD","11:08","11:06","77","78","-2","11:16","10","0","0","0","0","0"
"UA","12/09/2022","2238","N17264","IAH","16:32","16:22","163","144","-10","16:33","11","0","0","0","0","0"
"UA","12/09/2022","2242","N403UA","ORD","07:25","07:20","85","152","-5","08:01","41","0","0","62","0","0"
"UA","12/09/2023","0479","N479UA","DEN","15:25","16:10","194","173","45","16:20","10","2","0","0","0","22"
"UA","12/09/2023","0497","N53442","DEN","08:57","08:50","193","196","-7","09:01","11","0","0","0","0","0"
"UA","12/09/2023","1112","N426UA","IAH","07:00","06:53","164","164","-7","07:05","12","0","0","0","0","0"
"UA","12/09/2023","1251","N14242","ORD","07:15","07:08","89","88","-7","07:30","22","0","0","0","0","0"
"UA","12/09/2023","2078","N71411","IAH","16:47","16:35","163","201","-12","16:47","12","0","0","26","0","0"
"UA","12/10/2021","0472","N39461","ORD","07:30","07:28","82","76","-2","07:38","10","0","0","0","0","0"
"UA","12/10/2021","0504","N463UA","DEN","15:30","15:42","189","195","12","16:04","22","12","0","6","0","0"
"UA","12/10/2021","0685","N62895","IAH","07:00","06:55","163","147","-5","07:08","13","0","0","0","0","0"
"UA","12/10/2022","0272","N876UA","EWR","06:22","06:25","119","104","3","06:36","11","0","0","0","0","0"
"UA","12/10/2022","0479","N875UA","DEN","15:28","15:22","185","181","-6","15:32","10","0","0","0","0","0"
"UA","12/10/2022","0749","N76533","DEN","08:53","08:58","192","185","5","09:10","12","0","0","0","0","0"
"UA","12/10/2022","1112","N828UA","IAH","07:01","06:56","154","150","-5","07:07","11","0","0","0","0","0"
"UA","12/10/2022","1645","N425UA","ORD","06:00","05:56","80","67","-4","06:08","12","0","0","0","0","0"
"UA","12/10/2022","1944","N38459","ORD","11:08","11:05","77","73","-3","11:16","11","0","0","0","0","0"
"UA","12/10/2022","2238","N76523","IAH","16:32","20:20","163","170","228","20:31","11","9","0","7","0","219"
"UA","12/10/2022","2242","N496UA","ORD","07:25","08:01","85","84","36","08:22","21","35","0","0","0","0"
"UA","12/10/2023","0479","N467UA","DEN","15:25","15:22","194","182","-3","15:33","11","0","0","0","0","0"
"UA","12/10/2023","0497","N62849","DEN","08:57","08:47","193","180","-10","08:57","10","0","0","0","0","0"
"UA","12/10/2023","1112","N78501","IAH","07:00","06:56","164","168","-4","07:10","14","0","0","0","0","0"
"UA","12/10/2023","1251","N851UA","ORD","07:15","07:02","89","64","-13","07:14","12","0","0","0","0","0"
"UA","12/10/2023","1805","N823UA","ORD","18:21","18:21","94","92","0","18:51","30","0","0","0","0","0"
"UA","12/10/2023","2078","N33209","IAH","16:47","16:43","163","147","-4","16:55","12","0","0","0","0","0"
"UA","12/11/2021","0472","N443UA","ORD","07:30","07:22","81","90","-8","07:42","20","0","0","0","0","0"
"UA","12/11/2021","0504","N422UA","DEN","15:30","15:28","189","183","-2","15:38","10","0","0","0","0","0"
"UA","12/11/2021","0685","N67846","IAH","07:00","07:02","162","175","2","07:19","17","0","0","15","0","0"
"UA","12/11/2022","0272","N498UA","EWR","06:26","06:37","119","103","11","06:47","10","0","0","0","0","0"
