Detailed Statistics Departures  
Origin Airport: Clarksburg/Fairmont, WV: North Central West Virginia (CKB)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","2823","337NV","SFB","15:31","15:37","117","112","6","15:46","9","0","0","0","0","0"
"G4","12/02/2022","1025","312NV","PIE","20:22","20:17","132","113","-5","20:25","8","0","0","0","0","0"
"G4","12/03/2021","2228","244NV","SFB","15:33","15:56","118","120","23","16:04","8","0","0","2","0","23"
"G4","12/03/2023","1265","229NV","SFB","21:19","21:12","120","115","-7","21:17","5","0","0","0","0","0"
"G4","12/04/2022","2823","216NV","SFB","15:31","15:29","117","118","-2","15:48","19","0","0","0","0","0"
"G4","12/05/2022","0987","312NV","PIE","20:22","20:13","132","123","-9","20:24","11","0","0","0","0","0"
"G4","12/06/2021","2237","247NV","SFB","15:33","16:01","118","125","28","16:07","6","0","8","7","0","20"
"G4","12/07/2023","2825","332NV","SFB","21:25","21:25","121","114","0","21:35","10","0","0","0","0","0"
"G4","12/08/2022","1316","229NV","SFB","15:37","16:41","120","112","64","16:48","7","0","0","0","0","56"
"G4","12/09/2022","0987","279NV","PIE","20:24","21:38","132","129","74","21:42","4","7","0","0","0","64"
"G4","12/10/2021","2228","294NV","SFB","15:33","15:34","118","113","1","15:44","10","0","0","0","0","0"
"G4","12/10/2023","2825","275NV","SFB","21:28","23:54","121","131","146","23:59","5","0","0","10","0","146"
"G4","12/11/2022","2953","244NV","SFB","15:37","15:59","120","115","22","16:09","10","6","0","0","0","11"
"G4","12/12/2022","0987","311NV","PIE","20:24","22:14","132","108","110","22:19","5","86","0","0","0","0"
"G4","12/13/2021","2237","285NV","SFB","15:33","15:36","118","105","3","15:42","6","0","0","0","0","0"
"G4","12/14/2023","2825","332NV","SFB","21:19","21:06","121","112","-13","21:11","5","0","0","0","0","0"
"G4","12/16/2022","2823","235NV","SFB","14:50","14:47","120","118","-3","14:55","8","0","0","0","0","0"
"G4","12/17/2021","2252","310NV","SFB","15:27","15:40","117","123","13","15:55","15","1","0","6","0","12"
"G4","12/17/2022","2713","237NV","PIE","09:00","08:49","132","136","-11","08:57","8","0","0","0","0","0"
"G4","12/17/2023","2825","244NV","SFB","21:19","21:16","121","124","-3","21:28","12","0","0","0","0","0"
"G4","12/19/2022","2974","224NV","SFB","21:44","21:43","120","106","-1","21:48","5","0","0","0","0","0"
"G4","12/20/2021","2253","338NV","SFB","21:34","22:17","117","127","43","22:29","12","1","0","10","0","42"
"G4","12/20/2022","2620","238NV","PIE","09:00","08:53","132","136","-7","09:02","9","0","0","0","0","0"
"G4","12/21/2022","2823","240NV","SFB","15:16","16:18","120","113","62","16:22","4","3","0","0","0","52"
"G4","12/21/2023","1319","220NV","SFB","15:36","15:25","121","116","-11","15:37","12","0","0","0","0","0"
"G4","12/22/2021","2253","287NV","SFB","08:46","08:40","117","113","-6","08:47","7","0","0","0","0","0"
"G4","12/22/2023","1032","283NV","PIE","21:27","21:33","136","115","6","21:42","9","0","0","0","0","0"
"G4","12/23/2022","1215","224NV","SFB","21:44","21:56","120","119","12","22:01","5","0","0","0","0","0"
"G4","12/23/2022","2709","260NV","PIE","14:19","17:25","132","133","186","17:33","8","7","110","1","0","69"
"G4","12/23/2023","2825","328NV","SFB","16:34","16:34","121","110","0","16:42","8","0","0","0","0","0"
"G4","12/24/2021","2419","307NV","SFB","14:50","14:41","117","114","-9","14:53","12","0","0","0","0","0"
"G4","12/25/2023","1320","209NV","SFB","18:59","18:47","121","121","-12","18:57","10","0","0","0","0","0"
"G4","12/26/2022","1239","240NV","SFB","15:27","15:40","120","162","13","16:25","45","0","4","42","0","9"
"G4","12/26/2023","2677","337NV","PIE","21:17","21:55","136","130","38","21:59","4","6","0","0","0","26"
"G4","12/27/2021","2253","311NV","SFB","21:17","21:20","117","108","3","21:30","10","0","0","0","0","0"
"G4","12/27/2022","1052","205NV","PIE","09:10","09:07","132","133","-3","09:17","10","0","0","0","0","0"
"G4","12/27/2023","1237","224NV","SFB","21:03","23:06","120","146","123","23:18","12","0","0","26","0","123"
"G4","12/28/2022","2823","222NV","SFB","15:16","16:24","120","106","68","16:30","6","8","0","0","0","46"
"G4","12/29/2021","2413","326NV","SFB","21:19","21:16","117","117","-3","21:28","12","0","0","0","0","0"
"G4","12/29/2023","1032","238NV","PIE","21:27","22:10","136","122","43","22:15","5","0","10","0","0","19"
"G4","12/30/2022","1215","334NV","SFB","21:35","22:40","120","117","65","22:48","8","0","0","15","0","47"
"G4","12/30/2022","2709","260NV","PIE","14:19","14:06","132","127","-13","14:13","7","0","0","0","0","0"
"G4","12/30/2023","2825","328NV","SFB","16:34","16:47","121","106","13","16:53","6","0","0","0","0","0"
"G4","12/31/2021","2381","311NV","SFB","14:15","15:04","117","106","49","15:09","5","15","0","0","0","23"

 SOURCE: Bureau of Transportation Statistics
