Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4909","N478PX","LGA","19:59","19:44","108","100","-15","20:06","22","0","0","0","0","0"
"9E","12/01/2021","4922","N920XJ","LGA","14:10","14:05","106","89","-5","14:20","15","0","0","0","0","0"
"9E","12/01/2021","4974","N912XJ","LGA","17:15","17:10","103","89","-5","17:25","15","0","0","0","0","0"
"9E","12/01/2021","5018","N298PQ","JFK","16:52","16:47","113","88","-5","16:55","8","0","0","0","0","0"
"9E","12/01/2021","5365","N605LR","JFK","06:05","06:00","109","99","-5","06:24","24","0","0","0","0","0"
"9E","12/01/2021","5369","N921XJ","LGA","06:05","06:09","104","96","4","06:34","25","0","0","0","0","0"
"9E","12/01/2021","5424","N605LR","JFK","11:45","11:40","104","93","-5","11:57","17","0","0","0","0","0"
"9E","12/01/2021","5446","N920XJ","LGA","09:25","09:19","103","97","-6","09:37","18","0","0","0","0","0"
"9E","12/01/2022","4909","N925XJ","LGA","19:40","19:35","109","95","-5","19:52","17","0","0","0","0","0"
"9E","12/01/2022","4918","N302PQ","DTW","17:56","17:51","59","52","-5","18:05","14","0","0","0","0","0"
"9E","12/01/2022","4944","N186PQ","JFK","16:49","16:44","110","124","-5","16:59","15","0","0","0","0","0"
"9E","12/01/2022","4950","N182GJ","LGA","09:10","09:25","107","98","15","09:42","17","0","0","0","0","0"
