Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3012","N758EV","ORD","16:00","15:53","95","80","-7","16:05","12","0","0","0","0","0"
"OO","12/01/2021","3174","N724EV","ORD","18:41","18:33","108","81","-8","18:44","11","0","0","0","0","0"
"OO","12/01/2021","3687","N803SK","DTW","14:20","14:38","57","44","18","14:47","9","0","0","0","0","0"
"OO","12/01/2021","3705","N306SY","MSP","16:20","16:18","125","133","-2","16:31","13","0","0","0","0","0"
"OO","12/01/2021","3789","N839SK","DTW","17:55","17:51","61","44","-4","18:01","10","0","0","0","0","0"
"OO","12/01/2021","3952","N259SY","MSP","06:50","06:46","132","133","-4","07:09","23","0","0","0","0","0"
"OO","12/01/2021","3971","N296SY","MSP","11:11","11:08","124","116","-3","11:18","10","0","0","0","0","0"
"OO","12/01/2021","4071","N307SY","MSP","19:15","19:11","128","122","-4","19:17","6","0","0","0","0","0"
"OO","12/01/2021","4453","N805SK","DTW","10:55","10:46","50","56","-9","10:56","10","0","0","0","0","0"
"OO","12/01/2022","3680","N250SY","BOS","06:00","06:00","113","96","0","06:11","11","0","0","0","0","0"
"OO","12/01/2022","3681","N294SY","BOS","11:00","10:58","99","92","-2","11:09","11","0","0","0","0","0"
"OO","12/01/2022","3777","N297SY","MSP","19:14","19:28","138","126","14","19:47","19","0","0","0","0","0"
"OO","12/01/2022","3778","N257SY","MSP","16:22","16:21","129","125","-1","16:35","14","0","0","0","0","0"
"OO","12/01/2022","3952","N306SY","MSP","06:54","06:51","142","152","-3","07:16","25","0","0","0","0","0"
"OO","12/01/2022","3983","N250SY","MSP","11:55","14:55","136","116","180","15:07","12","160","0","0","0","0"
"OO","12/01/2023","3627","N254SY","MSP","16:24","16:23","131","120","-1","16:33","10","0","0","0","0","0"
"OO","12/01/2023","3825","N322SY","JFK","06:02","06:01","117","114","-1","06:13","12","0","0","0","0","0"
"OO","12/01/2023","3931","N250SY","JFK","16:43","16:36","117","124","-7","16:48","12","0","0","0","0","0"
"OO","12/02/2021","2977","N730SK","ORD","08:52","08:45","111","88","-7","09:00","15","0","0","0","0","0"
"OO","12/02/2021","3012","N707SK","ORD","16:00","15:54","95","86","-6","16:10","16","0","0","0","0","0"
"OO","12/02/2021","3174","N751SK","ORD","18:41","18:37","108","100","-4","18:52","15","0","0","0","0","0"
"OO","12/02/2021","3687","N897SK","DTW","14:20","14:16","57","71","-4","14:41","25","0","0","0","0","0"
"OO","12/02/2021","3705","N260SY","MSP","16:20","16:14","125","127","-6","16:24","10","0","0","0","0","0"
"OO","12/02/2021","3789","N834SK","DTW","17:55","17:46","61","57","-9","18:03","17","0","0","0","0","0"
