Detailed Statistics Departures  
Origin Airport: Cleveland, OH: Cleveland-Hopkins International (CLE)
Airline: Spirit Airlines (NK)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"NK","12/01/2021","0251","N644NK","ATL","07:14","07:02","111","105","-12","07:12","10","0","0","0","0","0"
"NK","12/01/2021","0708","N636NK","MCO","18:45","18:37","155","143","-8","18:46","9","0","0","0","0","0"
"NK","12/01/2021","1069","N606NK","LAS","19:22","19:44","279","253","22","19:54","10","0","0","0","0","0"
"NK","12/01/2021","3159","N630NK","MIA","14:35","14:30","191","153","-5","14:38","8","0","0","0","0","0"
"NK","12/01/2021","3317","N937NK","TPA","09:15","09:27","156","152","12","09:38","11","0","0","0","0","0"
"NK","12/01/2022","0185","N964NK","LAX","05:45","05:45","307","305","0","06:00","15","0","0","0","0","0"
"NK","12/01/2022","0251","N693NK","ATL","15:25","15:19","108","102","-6","15:27","8","0","0","0","0","0"
"NK","12/01/2022","0419","N955NK","FLL","06:35","08:22","165","198","107","08:33","11","107","0","33","0","0"
"NK","12/01/2022","0708","N964NK","MCO","18:20","18:18","154","156","-2","18:28","10","0","0","0","0","0"
"NK","12/01/2022","1069","N958NK","LAS","20:33","20:30","274","284","-3","20:45","15","0","0","0","0","0"
"NK","12/01/2022","1080","N958NK","ATL","07:40","08:38","108","100","58","08:47","9","50","0","0","0","0"
"NK","12/01/2022","1378","N945NK","TPA","16:45","17:02","149","141","17","17:11","9","0","0","0","0","0"
"NK","12/01/2022","3159","N945NK","MIA","09:05","09:37","177","164","32","09:46","9","19","0","0","0","0"
"NK","12/01/2023","0185","N942NK","LAX","21:39","21:42","316","300","3","21:53","11","0","0","0","0","0"
"NK","12/01/2023","0419","N659NK","FLL","05:30","05:27","171","161","-3","05:37","10","0","0","0","0","0"
"NK","12/01/2023","0531","N963NK","MCO","10:02","09:57","154","142","-5","10:10","13","0","0","0","0","0"
"NK","12/01/2023","1069","N984NK","LAS","21:30","21:33","275","277","3","21:44","11","0","0","0","0","0"
"NK","12/01/2023","1080","N917NK","ATL","14:40","14:36","105","112","-4","14:47","11","0","0","0","0","0"
"NK","12/01/2023","1085","N986NK","ATL","08:34","08:35","110","115","1","08:45","10","0","0","0","0","0"
"NK","12/01/2023","3351","N970NK","FLL","07:58","08:00","172","184","2","08:14","14","0","0","0","0","0"
"NK","12/01/2023","3353","N969NK","MIA","17:34","17:43","174","168","9","17:56","13","0","0","0","0","0"
"NK","12/02/2021","0185","N906NK","LAX","09:16","09:20","315","292","4","09:30","10","0","0","0","0","0"
"NK","12/02/2021","0251","N612NK","ATL","07:14","07:10","111","99","-4","07:23","13","0","0","0","0","0"
