Detailed Statistics Departures  
Origin Airport: College Station/Bryan, TX: Easterwood Field (CLL)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3666","N667GB","DFW","16:05","15:54","57","57","-11","16:05","11","0","0","0","0","0"
"MQ","12/01/2021","3681","N676AE","DFW","06:30","06:22","58","62","-8","06:36","14","0","0","0","0","0"
"MQ","12/01/2021","4010","N612AE","DFW","20:16","21:55","59","49","99","22:02","7","89","0","0","0","0"
"MQ","12/01/2021","4433","N653AE","DFW","10:29","10:17","65","62","-12","10:26","9","0","0","0","0","0"
"MQ","12/01/2022","3595","N247NN","DFW","18:17","18:09","67","83","-8","18:22","13","0","0","0","0","0"
"MQ","12/01/2023","3683","N258NN","DFW","05:00","09:15","71","46","255","09:24","9","0","230","0","0","0"
"MQ","12/01/2023","3783","N771JV","DFW","18:46","18:34","71","60","-12","18:44","10","0","0","0","0","0"
"MQ","12/02/2021","3666","N676AE","DFW","16:05","16:05","57","55","0","16:17","12","0","0","0","0","0"
"MQ","12/02/2021","3681","N923AE","DFW","06:30","06:26","58","57","-4","06:35","9","0","0","0","0","0"
"MQ","12/02/2021","4010","N607AE","DFW","20:16","20:07","59","70","-9","20:22","15","0","0","0","0","0"
"MQ","12/02/2021","4433","N693AE","DFW","10:29","11:04","65","61","35","11:14","10","4","0","0","0","27"
"MQ","12/02/2022","3595","N267NN","DFW","18:17","18:07","67","68","-10","18:22","15","0","0","0","0","0"
"MQ","12/02/2023","3683","N826MD","DFW","05:00","04:58","71","63","-2","05:12","14","0","0","0","0","0"
"MQ","12/03/2021","3666","N653AE","DFW","16:05","15:56","57","54","-9","16:01","5","0","0","0","0","0"
"MQ","12/03/2021","3681","N922AE","DFW","06:30","06:23","58","67","-7","06:33","10","0","0","0","0","0"
"MQ","12/03/2021","4010","N667GB","DFW","20:16","20:53","59","50","37","20:59","6","28","0","0","0","0"
"MQ","12/03/2021","4433","N618AE","DFW","10:29","10:18","65","60","-11","10:28","10","0","0","0","0","0"
"MQ","12/03/2022","3706","N225NN","DFW","18:36","18:31","67","85","-5","19:12","41","0","0","0","0","0"
"MQ","12/03/2023","3683","N635RW","DFW","05:00","04:49","71","57","-11","05:00","11","0","0","0","0","0"
"MQ","12/03/2023","3783","N643RW","DFW","18:46","18:49","71","73","3","19:16","27","0","0","0","0","0"
"MQ","12/04/2021","3666","N684JW","DFW","16:05","15:55","57","49","-10","15:59","4","0","0","0","0","0"
"MQ","12/04/2021","3681","N612AE","DFW","06:30","06:26","58","79","-4","06:42","16","0","0","17","0","0"
"MQ","12/04/2021","4433","N667GB","DFW","10:29","10:27","65","59","-2","10:38","11","0","0","0","0","0"
"MQ","12/04/2022","3595","N262NN","DFW","18:17","18:13","67","56","-4","18:24","11","0","0","0","0","0"
"MQ","12/04/2023","3683","N299JJ","DFW","05:00","04:49","71","54","-11","05:00","11","0","0","0","0","0"
"MQ","12/04/2023","3783","N238NN","DFW","18:46","18:42","71","74","-4","18:57","15","0","0","0","0","0"
"MQ","12/05/2021","3666","N694AE","DFW","16:05","16:02","57","55","-3","16:08","6","0","0","0","0","0"
"MQ","12/05/2021","3681","N923AE","DFW","06:30","06:27","58","69","-3","06:37","10","0","0","0","0","0"
"MQ","12/05/2021","4010","N673AE","DFW","20:16","20:06","59","60","-10","20:15","9","0","0","0","0","0"
"MQ","12/05/2021","4433","N922AE","DFW","10:29","10:44","65","57","15","10:48","4","0","0","0","0","0"
"MQ","12/05/2022","3595","N236NN","DFW","18:17","18:07","67","62","-10","18:16","9","0","0","0","0","0"
