Detailed Statistics Departures  
Origin Airport: Colorado Springs, CO: City of Colorado Springs Municipal (COS)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2023","6143","N87318","IAH","12:20","12:13","140","127","-7","12:27","14","0","0","0","0","0"
"YV","12/02/2023","6143","","IAH","12:20","00:00","140","0","0","00:00","0","0","0","0","0","0"
"YV","12/04/2023","6143","N87345","IAH","12:20","12:14","140","124","-6","12:27","13","0","0","0","0","0"
"YV","12/05/2023","6143","N86347","IAH","12:20","12:18","140","133","-2","12:33","15","0","0","0","0","0"
"YV","12/06/2023","6143","N89315","IAH","12:20","12:10","140","126","-10","12:22","12","0","0","0","0","0"
"YV","12/07/2023","6143","N88335","IAH","12:20","12:16","140","130","-4","12:32","16","0","0","0","0","0"
"YV","12/08/2023","6143","N82338","IAH","12:20","14:29","140","128","129","14:44","15","0","0","0","0","117"
"YV","12/11/2023","6143","N87339","IAH","12:20","13:56","140","127","96","14:15","19","3","0","0","0","80"
"YV","12/12/2023","6143","N88341","IAH","12:20","12:17","140","127","-3","12:32","15","0","0","0","0","0"
"YV","12/13/2023","6143","N86336","IAH","12:20","12:17","140","136","-3","12:33","16","0","0","0","0","0"
"YV","12/14/2023","6143","N87360","IAH","12:20","12:55","140","149","35","13:14","19","0","7","9","0","28"
"YV","12/15/2023","6143","N80348","IAH","12:20","12:25","140","131","5","12:41","16","0","0","0","0","0"
"YV","12/16/2023","6143","N86336","IAH","12:20","12:23","140","121","3","12:38","15","0","0","0","0","0"
"YV","12/18/2023","6143","N85354","IAH","12:20","12:19","140","117","-1","12:34","15","0","0","0","0","0"
"YV","12/19/2023","6143","N87337","IAH","12:20","12:42","140","124","22","12:57","15","0","0","0","0","0"
"YV","12/20/2023","6143","N87319","IAH","12:20","12:15","140","132","-5","12:31","16","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
