Detailed Statistics Departures  
Origin Airport: Colorado Springs, CO: City of Colorado Springs Municipal (COS)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3058","N751EV","DFW","08:31","08:26","112","119","-5","08:50","24","0","0","0","0","0"
"OO","12/01/2021","3118","N870DC","DFW","16:46","16:38","109","125","-8","16:53","15","0","0","0","0","0"
"OO","12/01/2021","3127","N742SK","DFW","18:36","18:28","110","116","-8","18:44","16","0","0","0","0","0"
"OO","12/01/2021","4305","N441SW","SLC","12:30","12:20","110","74","-10","12:31","11","0","0","0","0","0"
"OO","12/01/2021","4310","N496CA","SLC","08:25","08:22","112","103","-3","08:42","20","0","0","0","0","0"
"OO","12/01/2021","4336","N442SW","SLC","18:00","17:52","111","100","-8","18:13","21","0","0","0","0","0"
"OO","12/01/2021","4656","N961SW","IAH","12:10","12:02","145","141","-8","12:22","20","0","0","0","0","0"
"OO","12/01/2021","4754","N980SW","ORD","06:00","05:59","167","165","-1","06:18","19","0","0","0","0","0"
"OO","12/01/2021","5242","N492SW","DEN","09:30","09:24","60","71","-6","10:00","36","0","0","0","0","0"
"OO","12/01/2021","5291","N494CA","DEN","06:10","06:03","60","46","-7","06:23","20","0","0","0","0","0"
"OO","12/01/2021","5325","N929EV","IAH","07:30","07:23","152","136","-7","07:37","14","0","0","0","0","0"
"OO","12/01/2021","5367","N947SW","LAX","07:00","06:55","178","142","-5","07:12","17","0","0","0","0","0"
"OO","12/01/2021","5702","N709BR","DEN","15:15","15:14","55","77","-1","15:36","22","21","0","0","0","0"
"OO","12/01/2022","3198","N707SK","DFW","16:52","16:56","111","115","4","17:15","19","0","0","0","0","0"
"OO","12/01/2022","3199","N758SK","DFW","08:30","08:24","113","101","-6","08:41","17","0","0","0","0","0"
"OO","12/01/2022","3873","N288SY","SLC","12:32","12:29","109","102","-3","12:43","14","0","0","0","0","0"
"OO","12/01/2022","4164","N253SY","SLC","08:24","08:20","119","108","-4","08:34","14","0","0","0","0","0"
"OO","12/01/2022","4175","N268SY","SLC","18:14","18:11","115","107","-3","18:26","15","0","0","0","0","0"
"OO","12/01/2022","4630","N623UX","DEN","12:50","13:30","54","47","40","13:44","14","0","0","0","0","33"
"OO","12/01/2022","5242","N788SK","DEN","09:02","08:58","63","52","-4","09:18","20","0","0","0","0","0"
"OO","12/01/2022","5291","N621UX","DEN","07:55","07:48","60","68","-7","08:24","36","0","0","0","0","0"
"OO","12/01/2022","5325","N795SK","IAH","07:41","07:34","147","134","-7","07:52","18","0","0","0","0","0"
"OO","12/01/2022","5367","N466SW","LAX","09:40","10:05","171","164","25","10:25","20","18","0","0","0","0"
"OO","12/01/2022","5472","N157SY","IAH","12:10","12:04","140","136","-6","12:24","20","0","0","0","0","0"
"OO","12/01/2023","3059","N744SK","DFW","07:16","07:06","122","129","-10","07:38","32","0","0","0","0","0"
"OO","12/01/2023","3940","N281SY","SLC","08:25","08:16","112","124","-9","08:41","25","0","0","0","0","0"
"OO","12/01/2023","4673","N146SY","ORD","13:15","13:08","160","134","-7","13:22","14","0","0","0","0","0"
"OO","12/01/2023","4711","N943SW","DEN","07:00","06:54","67","51","-6","07:16","22","0","0","0","0","0"
"OO","12/01/2023","4774","N973SW","DEN","18:35","18:34","64","40","-1","18:45","11","0","0","0","0","0"
"OO","12/01/2023","4831","N705SK","DFW","14:49","14:39","118","110","-10","14:53","14","0","0","0","0","0"
"OO","12/01/2023","5235","N168SY","DEN","17:09","17:04","61","48","-5","17:15","11","0","0","0","0","0"
"OO","12/01/2023","5242","N958SW","DEN","09:05","09:04","67","65","-1","09:21","17","0","0","0","0","0"
"OO","12/01/2023","5291","N788SK","DEN","06:00","05:48","65","60","-12","06:23","35","0","0","0","0","0"
"OO","12/01/2023","5325","N791SK","IAH","07:40","08:38","148","127","58","08:47","9","37","0","0","0","0"
"OO","12/01/2023","5423","N119SY","DEN","15:30","15:24","65","38","-6","15:37","13","0","0","0","0","0"
"OO","12/01/2023","5675","N615UX","ORD","09:00","08:53","167","133","-7","09:05","12","0","0","0","0","0"
"OO","12/02/2021","3058","N708SK","DFW","08:31","08:15","112","125","-16","08:43","28","0","0","0","0","0"
"OO","12/02/2021","3118","N613SK","DFW","16:46","16:40","109","116","-6","17:03","23","0","0","0","0","0"
"OO","12/02/2021","3127","N632SK","DFW","18:36","18:28","110","113","-8","18:43","15","0","0","0","0","0"
"OO","12/02/2021","4305","N446SW","SLC","12:30","12:28","110","94","-2","12:44","16","0","0","0","0","0"
"OO","12/02/2021","4310","N445SW","SLC","08:25","08:20","112","98","-5","08:35","15","0","0","0","0","0"
"OO","12/02/2021","4336","N496CA","SLC","18:00","17:52","111","98","-8","18:09","17","0","0","0","0","0"
"OO","12/02/2021","4656","N433SW","IAH","12:10","12:04","145","136","-6","12:20","16","0","0","0","0","0"
"OO","12/02/2021","4754","N435SW","ORD","06:00","05:54","167","157","-6","06:12","18","0","0","0","0","0"
"OO","12/02/2021","5242","N874AS","DEN","09:30","09:22","60","68","-8","10:01","39","0","0","0","0","0"
"OO","12/02/2021","5291","N472CA","DEN","06:10","06:01","60","48","-9","06:16","15","0","0","0","0","0"
"OO","12/02/2021","5325","N920EV","IAH","07:30","07:27","152","133","-3","07:39","12","0","0","0","0","0"
"OO","12/02/2021","5367","N430SW","LAX","07:00","12:28","178","143","328","12:48","20","293","0","0","0","0"
"OO","12/02/2021","5702","N912SW","DEN","15:15","15:05","55","41","-10","15:19","14","0","0","0","0","0"
"OO","12/02/2022","3198","N707SK","DFW","16:52","16:59","111","110","7","17:20","21","0","0","0","0","0"
"OO","12/02/2022","3199","N746SK","DFW","08:30","08:23","113","117","-7","08:51","28","0","0","0","0","0"
"OO","12/02/2022","3873","N292SY","SLC","12:32","12:29","109","115","-3","12:48","19","0","0","0","0","0"
"OO","12/02/2022","4164","N290SY","SLC","08:24","13:12","119","105","288","13:25","13","0","274","0","0","0"
"OO","12/02/2022","4175","N272SY","SLC","18:14","18:06","115","114","-8","18:27","21","0","0","0","0","0"
"OO","12/02/2022","4630","N149SY","DEN","12:50","13:13","54","46","23","13:31","18","15","0","0","0","0"
"OO","12/02/2022","5242","N782SK","DEN","09:02","09:13","63","67","11","09:41","28","15","0","0","0","0"
"OO","12/02/2022","5291","N143SY","DEN","07:55","07:54","60","52","-1","08:10","16","0","0","0","0","0"
"OO","12/02/2022","5325","N785SK","IAH","07:41","07:41","147","139","0","08:06","25","0","0","0","0","0"
"OO","12/02/2022","5367","N875AS","LAX","09:40","09:31","171","190","-9","09:51","20","0","0","0","0","0"
"OO","12/02/2022","5472","N166SY","IAH","12:10","12:09","140","150","-1","12:22","13","0","0","0","0","0"
"OO","12/02/2023","3059","N753EV","DFW","07:16","07:11","122","110","-5","07:33","22","0","0","0","0","0"
"OO","12/02/2023","3940","N298SY","SLC","08:25","08:15","112","117","-10","08:35","20","0","0","0","0","0"
"OO","12/02/2023","4673","N206SY","ORD","13:15","13:13","160","146","-2","13:30","17","0","0","0","0","0"
"OO","12/02/2023","4711","N463SW","DEN","07:00","06:59","67","55","-1","07:31","32","0","0","0","0","0"
