Detailed Statistics Departures  
Origin Airport: Colorado Springs, CO: City of Colorado Springs Municipal (COS)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0221","N8524Z","LAS","15:00","14:53","115","113","-7","15:03","10","0","0","0","0","0"
"WN","12/01/2021","0746","N8320J","LAS","11:50","11:54","110","97","4","12:03","9","0","0","0","0","0"
"WN","12/01/2021","0995","N8326F","PHX","13:50","13:47","110","125","-3","13:59","12","0","0","0","0","0"
"WN","12/01/2021","1005","N494WN","MDW","08:35","09:08","150","145","33","09:21","13","28","0","0","0","0"
"WN","12/01/2021","1971","N479WN","DAL","16:10","16:13","125","127","3","16:30","17","0","0","0","0","0"
"WN","12/01/2021","3015","N733SA","PHX","17:00","16:58","110","93","-2","17:10","12","0","0","0","0","0"
"WN","12/01/2021","3852","N8665D","DAL","12:45","13:43","115","99","58","13:53","10","0","0","42","0","0"
"WN","12/01/2021","3928","N7811F","DEN","06:25","06:22","45","36","-3","06:32","10","0","0","0","0","0"
"WN","12/01/2021","4276","N474WN","DAL","07:10","07:02","125","98","-8","07:14","12","0","0","0","0","0"
"WN","12/01/2021","4955","N7734H","PHX","07:15","07:14","115","98","-1","07:26","12","0","0","0","0","0"
"WN","12/01/2021","5785","N7859B","DEN","11:20","11:19","45","43","-1","11:31","12","0","0","0","0","0"
"WN","12/01/2021","5940","N413WN","DEN","16:25","16:21","45","38","-4","16:35","14","0","0","0","0","0"
"WN","12/01/2022","0284","N401WN","LAS","05:30","05:27","125","113","-3","05:38","11","0","0","0","0","0"
"WN","12/01/2022","0492","N8814K","LAS","19:30","20:11","120","122","41","20:23","12","7","0","2","0","34"
"WN","12/01/2022","0636","N7880D","DAL","09:40","09:35","115","96","-5","09:47","12","0","0","0","0","0"
"WN","12/01/2022","1614","N205WN","DAL","12:55","12:55","110","92","0","13:06","11","0","0","0","0","0"
"WN","12/01/2022","1917","N8680C","DAL","16:20","16:23","110","98","3","16:34","11","0","0","0","0","0"
"WN","12/01/2022","2444","N8685B","DEN","06:25","06:24","55","43","-1","06:35","11","0","0","0","0","0"
"WN","12/01/2022","2476","N927WN","DEN","11:15","11:15","60","41","0","11:25","10","0","0","0","0","0"
"WN","12/01/2022","2628","N8614M","DEN","17:15","17:10","55","54","-5","17:29","19","0","0","0","0","0"
"WN","12/01/2022","3123","N7739A","PHX","17:30","17:30","115","113","0","17:46","16","0","0","0","0","0"
"WN","12/01/2022","3265","N8709Q","DEN","19:50","19:41","50","49","-9","19:55","14","0","0","0","0","0"
"WN","12/01/2022","3347","N929WN","MDW","12:50","12:46","135","124","-4","12:55","9","0","0","0","0","0"
